v1,v2,I
-1.009043,-1.225645,-0.758754
-1.212855,-1.086957,-0.992891
-1.404137,-0.944465,-1.177654
-1.472706,-0.831301,-1.324341
-1.511659,-0.776241,-1.442551
-1.537933,-0.728954,-1.544631
-1.553121,-0.714634,-1.634586
-1.566087,-0.698884,-1.716400
-1.549533,-0.697393,-1.791919
-1.529032,-0.693083,-1.859600
-1.493650,-0.670922,-1.919143
-1.434526,-0.647556,-1.967382
-1.391275,-0.599216,-2.001617
-1.320363,-0.531112,-2.020774
-1.239108,-0.465507,-2.021300
-1.150467,-0.360822,-2.001885
-1.052035,-0.254767,-1.959259
-0.952683,-0.119400,-1.892035
-0.849177,0.017802,-1.799109
-0.742925,0.165227,-1.680096
-0.655144,0.305583,-1.536134
-0.542593,0.435641,-1.370621
-0.447465,0.541030,-1.184700
-0.359002,0.633502,-0.984686
-0.289648,0.691531,-0.775825
-0.219025,0.723895,-0.565150
-0.162552,0.728339,-0.359091
-0.115167,0.710413,-0.164603
-0.074730,0.671112,0.012912
-0.038990,0.614927,0.168917
-0.006315,0.543396,0.300002
0.023717,0.459425,0.403863
0.050690,0.364956,0.479118
0.073978,0.263572,0.525486
0.093139,0.159411,0.543794
0.108040,0.057919,0.536091
0.118863,-0.035513,0.505530
0.126080,-0.115984,0.456188
0.130419,-0.180164,0.392717
0.132800,-0.226395,0.320007
0.134322,-0.254689,0.242830
0.136172,-0.266171,0.165580
0.139545,-0.262664,0.092093
0.145610,-0.246269,0.025551
0.155462,-0.219174,-0.031551
0.170077,-0.183539,-0.077389
0.190318,-0.141490,-0.110778
0.217001,-0.095093,-0.131126
0.250991,-0.046331,-0.138378
0.292967,0.002965,-0.132941
0.343761,0.051134,-0.115623
0.404161,0.096867,-0.087521
0.474899,0.139225,-0.049925
0.556913,0.177790,-0.004184
0.651324,0.212799,0.048453
0.758571,0.245280,0.107029
0.876145,0.277044,0.171047
0.993740,0.310378,0.240527
1.096795,0.346795,0.315665
1.188354,0.386162,0.396473
1.275954,0.428524,0.483556
1.362150,0.474233,0.577509
1.442929,0.524358,0.678965
1.518072,0.578829,0.788181
1.585883,0.636398,0.905439
1.674358,0.695876,1.030340
1.676264,0.759166,1.165441
1.717205,0.829366,1.300094
1.744927,0.847410,1.440867
1.733871,0.907359,1.579078
1.716004,0.923175,1.712705
1.713296,0.938910,1.838761
1.630356,0.925446,1.956068
1.559763,0.938321,2.055821
1.484749,0.847011,2.140033
1.375895,0.813692,2.197819
1.263821,0.681972,2.234299
1.138004,0.585811,2.236706
1.006023,0.394182,2.210228
0.865832,0.234784,2.143260
0.724639,-0.008469,2.039852
0.582507,-0.217882,1.894070
0.445619,-0.466191,1.708457
0.311253,-0.665848,1.486862
0.186864,-0.844689,1.231974
0.072005,-0.963864,0.955587
-0.032409,-1.036107,0.665173
-0.130113,-1.058042,0.375453
-0.225205,-1.043139,0.096604
-0.323903,-0.996517,-0.160180
-0.429947,-0.925737,-0.387761
-0.544210,-0.832498,-0.580210
-0.666620,-0.721164,-0.734422
-0.797255,-0.598297,-0.849903
-0.932953,-0.477499,-0.930117
-1.034136,-0.376380,-0.982481
-1.072509,-0.308190,-1.014939
-1.099311,-0.266501,-1.033196
-1.125500,-0.237587,-1.043986
-1.151015,-0.225384,-1.050731
-1.173035,-0.223475,-1.056475
-1.198626,-0.231443,-1.063293
-1.219588,-0.244682,-1.073061
-1.235405,-0.264161,-1.086276
-1.253071,-0.282907,-1.103083
-1.260139,-0.301860,-1.123754
-1.262595,-0.319368,-1.146630
-1.265194,-0.329811,-1.171108
-1.258564,-0.336811,-1.196070
-1.244349,-0.338801,-1.219669
-1.230160,-0.332591,-1.240620
-1.204053,-0.319830,-1.257837
-1.181166,-0.301632,-1.269176
-1.158470,-0.274126,-1.274552
-1.115760,-0.246635,-1.273039
-1.086369,-0.212396,-1.262649
-1.039791,-0.170186,-1.244882
-0.994172,-0.130887,-1.216998
-0.951049,-0.080214,-1.180061
-0.907162,-0.034295,-1.133938
-0.864780,0.013718,-1.078858
-0.824719,0.056792,-1.016230
-0.787518,0.096549,-0.946917
-0.754239,0.129495,-0.872747
-0.723621,0.155875,-0.795280
-0.706010,0.174439,-0.716408
-0.688645,0.183729,-0.638725
-0.680212,0.184081,-0.563583
-0.679790,0.176349,-0.493587
-0.687325,0.159872,-0.430284
-0.704156,0.135921,-0.375458
-0.729126,0.104561,-0.330584
-0.762895,0.067071,-0.296776
-0.804761,0.024033,-0.275020
-0.855822,-0.023415,-0.265883
-0.913362,-0.074798,-0.269877
-0.976921,-0.128936,-0.287030
-1.045087,-0.185166,-0.317362
-1.117846,-0.242688,-0.360554
-1.190575,-0.301281,-0.416333
-1.263437,-0.360118,-0.483960
-1.333617,-0.418733,-0.562912
-1.385267,-0.476660,-0.652188
-1.468543,-0.530269,-0.749341
-1.517846,-0.582860,-0.857130
-1.562820,-0.642035,-0.969668
-1.601586,-0.685786,-1.088595
-1.623903,-0.731786,-1.210619
-1.623278,-0.766200,-1.333000
-1.629097,-0.791376,-1.452348
-1.605754,-0.797465,-1.567423
-1.579499,-0.806235,-1.673005
-1.521931,-0.780890,-1.768571
-1.461191,-0.761356,-1.848156
-1.392630,-0.692532,-1.911165
-1.300637,-0.632763,-1.952830
-1.203722,-0.530586,-1.971722
-1.095475,-0.420160,-1.963973
-0.982148,-0.276879,-1.927815
-0.863418,-0.123657,-1.860775
-0.743808,0.049602,-1.761944
-0.632420,0.222522,-1.631377
-0.507706,0.391499,-1.471090
-0.396309,0.538917,-1.283147
-0.295574,0.666139,-1.073156
-0.202565,0.754258,-0.847865
-0.119908,0.809112,-0.614645
-0.046522,0.828288,-0.382973
0.019843,0.818463,-0.160662
0.082885,0.782779,0.044572
0.146078,0.726474,0.227129
0.211162,0.651968,0.382486
0.278275,0.562266,0.507727
0.347059,0.460290,0.601223
0.417418,0.351404,0.663079
0.489594,0.242803,0.695262
0.563424,0.143457,0.701710
0.634507,0.061878,0.687975
0.690018,0.003768,0.660373
0.727766,-0.031129,0.624551
0.762490,-0.046954,0.585417
0.802572,-0.046811,0.547469
