v1,v2,I
-0.859118,0.041346,-1.433570
-0.768785,0.128816,-1.344747
-0.676703,0.209586,-1.239759
-0.588946,0.285334,-1.120583
-0.506996,0.353338,-0.989452
-0.432005,0.410662,-0.849229
-0.369265,0.459332,-0.703447
-0.309492,0.486206,-0.554361
-0.263202,0.500799,-0.407518
-0.227810,0.498504,-0.266042
-0.200841,0.476684,-0.134030
-0.183062,0.437173,-0.015617
-0.172241,0.380377,0.085231
-0.167791,0.308782,0.165555
-0.170117,0.227098,0.223110
-0.181519,0.141261,0.257569
-0.199899,0.054180,0.268891
-0.227585,-0.028577,0.258926
-0.263753,-0.104789,0.230200
-0.313164,-0.167380,0.185665
-0.372558,-0.219108,0.129471
-0.445952,-0.255484,0.065279
-0.533338,-0.277864,-0.003051
-0.634711,-0.288308,-0.072409
-0.749084,-0.290482,-0.140414
-0.874358,-0.290045,-0.205346
-1.005501,-0.295894,-0.266830
-1.130342,-0.321431,-0.327634
-1.232125,-0.376474,-0.396523
-1.315615,-0.447420,-0.479711
-1.394052,-0.519174,-0.575386
-1.470565,-0.585281,-0.682593
-1.540530,-0.644622,-0.800465
-1.600635,-0.696304,-0.926102
-1.653329,-0.734421,-1.057579
-1.688726,-0.766848,-1.191036
-1.703755,-0.792213,-1.324032
-1.722867,-0.783531,-1.453918
-1.710392,-0.775276,-1.575664
-1.689787,-0.742297,-1.686894
-1.647223,-0.697911,-1.784155
-1.581110,-0.644474,-1.863868
-1.511895,-0.562688,-1.923202
-1.421618,-0.472529,-1.959536
-1.319035,-0.368336,-1.970825
-1.199496,-0.258586,-1.955055
-1.073480,-0.137404,-1.911484
-0.942321,-0.008634,-1.839873
-0.799638,0.115523,-1.740011
-0.662957,0.246288,-1.613615
-0.522629,0.367209,-1.462168
-0.390281,0.483924,-1.288665
-0.265060,0.588783,-1.096278
-0.149753,0.679233,-0.889632
-0.041968,0.747036,-0.673010
0.055716,0.791837,-0.452970
0.145825,0.808849,-0.235799
0.237876,0.789664,-0.029125
0.334397,0.735968,0.159106
0.439275,0.650741,0.321525
0.548583,0.546589,0.452891
0.666851,0.428509,0.550748
0.792531,0.308563,0.614352
0.915950,0.205095,0.647654
1.005078,0.153691,0.659388
1.036861,0.168678,0.667349
1.063058,0.192163,0.680679
1.087917,0.218712,0.698753
1.116797,0.242845,0.721797
1.144625,0.267239,0.750142
1.166640,0.292708,0.783342
1.193471,0.313123,0.818424
1.220713,0.327416,0.859181
1.240434,0.343282,0.901525
1.254255,0.358205,0.944908
1.266497,0.367170,0.988920
1.272452,0.372894,1.032849
1.274051,0.373080,1.075265
1.270790,0.367919,1.114884
1.262387,0.357434,1.150600
1.247911,0.342058,1.181606
1.228478,0.321075,1.206709
1.203935,0.295032,1.225064
1.172610,0.266212,1.235827
1.137913,0.232349,1.238315
1.099096,0.195229,1.232138
1.057287,0.155632,1.216753
1.012777,0.114613,1.192240
0.966952,0.072717,1.158735
0.921735,0.030108,1.116589
0.875967,-0.009946,1.066449
0.831449,-0.047231,1.009035
0.790499,-0.081737,0.945528
0.753814,-0.112224,0.877180
0.720888,-0.136167,0.805398
0.694179,-0.154219,0.731761
0.674058,-0.165354,0.658050
0.661935,-0.169615,0.586021
0.656891,-0.165227,0.517432
0.660179,-0.152763,0.454047
0.672797,-0.132926,0.397598
0.694406,-0.105452,0.349612
0.725724,-0.071401,0.311448
0.765725,-0.030502,0.284352
0.814401,0.016265,0.269255
0.870913,0.068411,0.266934
0.937488,0.122404,0.277523
1.006638,0.183063,0.302184
1.080965,0.245854,0.340544
1.157716,0.310673,0.392682
1.235396,0.376028,0.458220
1.311370,0.441048,0.536656
1.384358,0.503599,0.626909
1.452401,0.561965,0.727657
1.514069,0.613687,0.837468
1.567320,0.658249,0.953258
1.610198,0.693177,1.073672
1.641167,0.717352,1.195672
1.656104,0.732334,1.316272
1.661633,0.729129,1.432702
1.650679,0.713483,1.541503
1.622303,0.685231,1.639744
1.580726,0.640011,1.724453
1.524614,0.579839,1.792250
1.451423,0.508443,1.841076
1.367104,0.422099,1.868435
1.269450,0.325944,1.872412
1.160075,0.221884,1.851777
1.039927,0.113606,1.805414
0.918497,-0.003626,1.733579
0.790569,-0.119225,1.636450
0.664440,-0.235807,1.515397
0.539528,-0.346727,1.372296
0.420272,-0.450531,1.209632
0.317660,-0.552978,1.031663
0.202378,-0.617400,0.839149
0.111158,-0.679107,0.640933
0.027577,-0.716458,0.439970
-0.049243,-0.727059,0.242433
-0.122433,-0.708633,0.055120
-0.196318,-0.660006,-0.115121
-0.275337,-0.582280,-0.261899
-0.356608,-0.485837,-0.380160
-0.442062,-0.376853,-0.467745
-0.531158,-0.264654,-0.523822
-0.625780,-0.156028,-0.549851
-0.717860,-0.065229,-0.550566
-0.793297,-0.011962,-0.532898
-0.835288,-0.010963,-0.508942
-0.866016,-0.033274,-0.489980
-0.898923,-0.061954,-0.478929
-0.936270,-0.096219,-0.475874
-0.976655,-0.137253,-0.481443
-1.019472,-0.181221,-0.496158
-1.070286,-0.221243,-0.520885
-1.129268,-0.254039,-0.558319
-1.173473,-0.307486,-0.598490
-1.225467,-0.347962,-0.651876
-1.271298,-0.392289,-0.711247
-1.316030,-0.431278,-0.777967
-1.358310,-0.464725,-0.850681
-1.393301,-0.494368,-0.927595
-1.422113,-0.517353,-1.007299
-1.442684,-0.533286,-1.088211
-1.454698,-0.541212,-1.168062
-1.457528,-0.540375,-1.245127
-1.450939,-0.529760,-1.317201
-1.433573,-0.510302,-1.382079
-1.404763,-0.482469,-1.438008
-1.368491,-0.442429,-1.483176
-1.321747,-0.394350,-1.515606
