V_(n),V_(n-1),I_(n),V_(n)',V_(n-1)',I_(n)'
-4060356.421370,-4065176.024240,25972.348978,-45.520460,-45.665830,0.452910
-4050668.584520,-4055476.681904,25910.387486,-45.378030,-45.520460,0.459620
-4040380.312629,-4045176.147313,25844.585450,-45.291040,-45.378030,0.465200
-4029623.324566,-4034406.368060,25775.784811,-45.221780,-45.291040,0.471210
-4018778.566724,-4023548.738767,25706.423358,-45.160340,-45.221780,0.478010
-4006938.077331,-4011694.287787,25630.693690,-45.000090,-45.160340,0.486250
-3994085.377624,-3998826.347924,25548.489862,-44.822880,-45.000090,0.494120
-3980725.812794,-3985450.900207,25463.043001,-44.675900,-44.822880,0.501360
-3967728.148550,-3972437.813474,25379.911120,-44.522430,-44.675900,0.508160
-3955249.208279,-3959944.039925,25300.096280,-44.386990,-44.522430,0.515620
-3942999.260263,-3947679.520921,25221.746417,-44.288360,-44.386990,0.520710
-3930537.263699,-3935202.766878,25142.040122,-44.152280,-44.288360,0.525770
-3918121.132516,-3922771.902833,25062.627009,-44.009050,-44.152280,0.532930
-3904786.891796,-3909421.828737,24977.342180,-43.878870,-44.009050,0.540970
-3891147.564493,-3895766.341540,24890.105782,-43.711110,-43.878870,0.549060
-3877830.681680,-3882433.625080,24804.931529,-43.576900,-43.711110,0.554470
-3864200.333321,-3868787.120489,24717.751597,-43.418780,-43.576900,0.559560
-3850922.387138,-3855493.409066,24632.825762,-43.261580,-43.418780,0.565680
-3837585.170559,-3842140.332841,24547.521137,-43.139920,-43.261580,0.572170
-3824406.786865,-3828946.333146,24463.233153,-42.987590,-43.139920,0.579090
-3811139.773420,-3815663.564400,24378.377777,-42.844240,-42.987590,0.586820
-3796855.573216,-3801362.404209,24287.015915,-42.706760,-42.844240,0.593810
-3782019.715023,-3786508.945706,24192.124855,-42.559570,-42.706760,0.599920
-3766930.976477,-3771402.316395,24095.615710,-42.394480,-42.559570,0.604320
-3751151.005406,-3755603.640045,23994.685574,-42.204100,-42.394480,0.607940
-3735309.324980,-3739743.151896,23893.360240,-42.015330,-42.204100,0.614350
-3719824.046467,-3724239.471368,23794.316024,-41.853850,-42.015330,0.621200
-3704259.609038,-3708656.575089,23694.765716,-41.672510,-41.853850,0.629270
-3688712.166917,-3693090.649679,23595.323574,-41.519800,-41.672510,0.636340
-3672648.054998,-3677007.463030,23492.576491,-41.380400,-41.519800,0.641370
-3657641.841216,-3661983.486056,23396.595507,-41.185400,-41.380400,0.647550
-3643216.785136,-3647541.308986,23304.332229,-40.996400,-41.185400,0.653130
-3628299.075260,-3632605.890761,23208.917710,-40.800780,-40.996400,0.658890
-3613162.464268,-3617451.236418,23112.101638,-40.687680,-40.800780,0.664980
-3597772.052132,-3602042.558381,23013.662874,-40.573460,-40.687680,0.669540
-3582987.851391,-3587240.865444,22919.101093,-40.401930,-40.573460,0.675120
-3567476.214295,-3571710.857075,22819.886995,-40.189740,-40.401930,0.679360
-3551410.792902,-3555626.356126,22717.130217,-39.985460,-40.189740,0.683820
-3535561.183972,-3539757.891912,22615.753469,-39.828710,-39.985460,0.689530
-3520373.530381,-3524552.212381,22518.611463,-39.667750,-39.828710,0.694780
-3505764.983758,-3509926.317754,22425.173421,-39.516260,-39.667750,0.699920
-3491133.890493,-3495277.864593,22331.590769,-39.358410,-39.516260,0.704610
-3475953.302970,-3480079.268175,22234.493606,-39.190340,-39.358410,0.708040
-3460238.308459,-3464345.615961,22133.977426,-39.025310,-39.190340,0.712920
-3443963.616158,-3448051.605186,22029.881640,-38.865880,-39.025310,0.718000
-3427137.406408,-3431205.456105,21922.258328,-38.669220,-38.865880,0.723010
-3410519.396120,-3414567.714551,21815.966144,-38.480810,-38.669220,0.727820
-3393687.770905,-3397716.120394,21708.307551,-38.285660,-38.480810,0.731310
-3377106.758406,-3381115.430319,21602.251473,-38.080470,-38.285660,0.734470
-3360561.149420,-3364550.136603,21496.421332,-37.928160,-38.080470,0.737920
-3343790.625013,-3347759.724841,21389.152900,-37.754180,-37.928160,0.741660
-3327478.889839,-3331428.634482,21284.819080,-37.573370,-37.754180,0.745530
-3311116.211949,-3315046.543939,21180.159421,-37.386990,-37.573370,0.749100
-3295589.603480,-3299501.525237,21080.847720,-37.176610,-37.386990,0.751970
-3280398.240790,-3284292.099731,20983.679941,-37.001900,-37.176610,0.754690
-3265026.929831,-3268902.520030,20885.360979,-36.846310,-37.001900,0.758180
-3249249.041365,-3253105.871894,20784.441133,-36.727970,-36.846310,0.762040
-3233219.461247,-3237057.302861,20681.911635,-36.568820,-36.727970,0.765120
-3216914.004527,-3220732.535343,20577.617324,-36.370090,-36.568820,0.767560
-3199840.618669,-3203638.917184,20468.410668,-36.132490,-36.370090,0.769780
-3182210.823101,-3185988.154404,20355.644461,-35.940570,-36.132490,0.771830
-3164951.419763,-3168708.246045,20245.247072,-35.765950,-35.940570,0.774310
-3148836.063256,-3152573.761123,20142.167652,-35.594620,-35.765950,0.775970
-3133564.934991,-3137284.528067,20044.488291,-35.397850,-35.594620,0.776980
-3118652.601393,-3122354.475321,19949.103413,-35.222820,-35.397850,0.777970
-3103676.038476,-3107360.119442,19853.308095,-35.061740,-35.222820,0.779310
-3089088.323251,-3092755.065982,19759.999518,-34.926440,-35.061740,0.781790
-3074248.206726,-3077897.351539,19665.077315,-34.774450,-34.926440,0.783270
-3059096.253535,-3062727.433159,19568.159568,-34.600510,-34.774450,0.785280
-3042512.265703,-3046123.762766,19462.081878,-34.428000,-34.600510,0.786190
-3024758.030363,-3028348.467777,19348.518148,-34.237250,-34.428000,0.786500
-3006519.148365,-3010087.936203,19231.854107,-34.052760,-34.237250,0.786290
-2988585.883081,-2992133.427203,19117.145211,-33.822330,-34.052760,0.786580
-2971098.341757,-2974625.131314,19005.287386,-33.591300,-33.822330,0.787540
-2953663.643117,-2957169.711169,18893.767486,-33.384420,-33.591300,0.788040
-2936941.874599,-2940428.044768,18786.807045,-33.231560,-33.384420,0.787750
-2921423.761435,-2924891.519584,18687.545614,-33.070290,-33.231560,0.787220
-2907320.356959,-2910771.394566,18597.333099,-32.889510,-33.070290,0.787020
-2893454.798604,-2896889.381174,18508.642079,-32.705130,-32.889510,0.785940
-2880027.045857,-2883445.656067,18422.750820,-32.553360,-32.705130,0.784210
-2867308.625297,-2870712.105827,18341.396624,-32.439860,-32.553360,0.782580
-2854559.964921,-2857948.332771,18259.849246,-32.303640,-32.439860,0.782070
-2841404.209663,-2844776.957386,18175.697931,-32.170940,-32.303640,0.781700
-2826977.720729,-2830333.351000,18083.418397,-32.037540,-32.170940,0.780870
-2812237.855610,-2815576.036901,17989.133990,-31.850870,-32.037540,0.779400
-2797006.616337,-2800326.717714,17891.706548,-31.671380,-31.850870,0.776660
-2781325.647140,-2784627.148426,17791.401560,-31.473560,-31.671380,0.774910
-2765550.733360,-2768833.476746,17690.495950,-31.314280,-31.473560,0.772780
-2749987.208900,-2753251.481107,17590.941913,-31.150120,-31.314280,0.771700
-2735176.615832,-2738423.314617,17496.204048,-30.983320,-31.150120,0.768940
-2719870.875759,-2723099.429516,17398.298476,-30.790860,-30.983320,0.764590
-2704421.213273,-2707631.402504,17299.471305,-30.624020,-30.790860,0.760840
-2687802.306387,-2690992.757406,17193.165214,-30.476250,-30.624020,0.757430
-2671249.408042,-2674420.247256,17087.281853,-30.282440,-30.476250,0.753590
-2655922.325682,-2659074.965374,16989.239135,-30.107360,-30.282440,0.749690
-2638574.504994,-2641706.616611,16878.271507,-29.863070,-30.107360,0.746100
-2604973.312828,-2608065.481139,16663.338093,-29.675750,-29.863070,0.742940
-2534033.281949,-2537041.137647,16209.564898,-29.590230,-29.675750,0.739580
-2402932.121425,-2405784.586149,15370.970584,-29.307840,-29.590230,0.736000
-2185662.722528,-2188258.282368,13981.205882,-28.030220,-29.307840,0.731950
-1833413.580536,-1835592.430589,11728.048551,-25.366420,-28.030220,0.728510
-1309334.813853,-1310893.137484,8375.787664,-21.109900,-25.366420,0.725420
-613435.979788,-614170.070382,3924.486016,-15.175470,-21.109900,0.722460
206539.102800,206775.168836,-1320.450320,-6.087210,-15.175470,0.721410
1064880.412969,1066132.625008,-6810.781186,5.658400,-6.087210,0.720950
1885104.220298,1887329.013079,-12057.286764,18.403080,5.658400,0.717920
2572416.832581,2575459.291618,-16453.638762,29.354730,18.403080,0.711900
3054934.347465,3058553.534248,-19540.041686,36.186900,29.354730,0.702620
3292463.780864,3296368.373698,-21059.392618,39.593500,36.186900,0.693210
3299301.578464,3303217.419531,-21103.138612,39.827970,39.593500,0.683550
3130457.358821,3134174.976280,-20023.142379,37.912720,39.827970,0.674400
2834398.210943,2837766.089459,-18129.423355,34.307450,37.912720,0.666320
2457962.394710,2460884.321253,-15721.576657,29.856700,34.307450,0.658430
2031918.208639,2034334.893905,-12996.411782,24.956640,29.856700,0.651430
1583213.191538,1585097.470903,-10126.296851,19.867670,24.956640,0.643950
1126593.546469,1127935.901385,-7205.556093,14.731800,19.867670,0.636760
673404.280917,674208.800971,-4306.758494,9.502660,14.731800,0.630330
232082.705317,232363.299311,-1483.871259,4.382400,9.502660,0.623900
-189811.977468,-190032.299234,1214.751741,-0.598650,4.382400,0.618340
-583634.655435,-584322.730102,3733.814094,-5.270740,-0.598650,0.612700
-942879.742932,-943994.600030,6031.701462,-9.570500,-5.270740,0.607450
-1263305.400012,-1264801.043530,8081.282528,-13.408770,-9.570500,0.600350
-1543744.205885,-1545573.205633,9875.088557,-16.766520,-13.408770,0.593430
-1785486.812270,-1787603.286870,11421.377147,-19.577210,-16.766520,0.585960
-1990950.556415,-1993311.333004,12735.609161,-21.968760,-19.577210,0.578970
-2163645.853911,-2166211.995938,13840.239807,-23.969700,-21.968760,0.571970
-2308214.025990,-2310952.053701,14764.956092,-25.687590,-23.969700,0.565340
-2428224.347140,-2431105.119613,15532.589645,-27.103150,-25.687590,0.558250
-2527564.663726,-2530563.596391,16168.008163,-28.274310,-27.103150,0.551160
-2608844.040414,-2611939.684663,16687.900984,-29.207170,-28.274310,0.544250
-2675324.843292,-2678499.577252,17113.135167,-29.959920,-29.207170,0.537460
-2729421.853292,-2732660.931523,17459.156829,-30.580060,-29.959920,0.529950
-2773063.618206,-2776354.605054,17738.301523,-31.092180,-30.580060,0.522270
-2807827.169551,-2811159.504041,17960.656659,-31.518720,-31.092180,0.514070
-2835654.143653,-2839019.592600,18138.642474,-31.862430,-31.518720,0.505230
-2857989.487723,-2861381.556788,18281.501435,-32.097100,-31.862430,0.497350
-2876110.251195,-2879523.900526,18397.402564,-32.256310,-32.097100,0.489340
-2890546.589547,-2893977.379471,18489.736255,-32.414210,-32.256310,0.481730
-2902516.758062,-2905961.765582,18566.294802,-32.559520,-32.414210,0.474750
-2912601.890554,-2916058.872651,18630.795969,-32.704710,-32.559520,0.466530
-2920736.617778,-2924203.299573,18682.821039,-32.802730,-32.704710,0.458150
-2926823.419063,-2930297.357134,18721.746627,-32.871220,-32.802730,0.449040
-2930975.968102,-2934454.866768,18748.300161,-32.905570,-32.871220,0.440350
-2933946.456625,-2937428.890810,18767.292341,-32.932990,-32.905570,0.433300
-2935961.141600,-2939445.983942,18780.171761,-32.941320,-32.932990,0.425700
-2937478.570959,-2940965.206859,18789.869494,-32.958270,-32.941320,0.418120
-2938371.084072,-2941858.779932,18795.570246,-32.975050,-32.958270,0.408390
-2939125.318544,-2942613.918672,18800.385896,-32.981900,-32.975050,0.399190
-2939332.927201,-2942821.782533,18801.705464,-32.981530,-32.981900,0.391160
-2939828.591485,-2943318.044710,18804.868219,-32.968330,-32.981530,0.383660
-2940788.479786,-2944279.066698,18811.000453,-32.966490,-32.968330,0.376190
-2941882.021020,-2945373.916067,18817.987587,-32.947440,-32.966490,0.368140
-2943084.191972,-2946577.462287,18825.668825,-32.984400,-32.947440,0.359920
-2943358.426524,-2946852.022202,18827.414210,-33.022440,-32.984400,0.352020
-2944130.936513,-2947625.474693,18832.347247,-33.030110,-33.022440,0.343360
-2944599.790570,-2948094.908590,18835.337732,-33.023510,-33.030110,0.334260
-2945067.636948,-2948563.355949,18838.322557,-32.958380,-33.023510,0.324620
-2945739.548365,-2949235.994234,18842.612138,-32.974440,-32.958380,0.316940
-2946971.609325,-2950469.511205,18850.485509,-32.991220,-32.974440,0.310730
-2949322.268109,-2952822.942289,18865.514412,-33.030070,-32.991220,0.303970
-2951221.258671,-2954724.200173,18877.653651,-33.051710,-33.030070,0.296680
-2953104.950463,-2956610.120543,18889.694676,-33.082490,-33.051710,0.287980
-2954436.045215,-2957942.816971,18898.200781,-33.093480,-33.082490,0.279690
-2955785.375806,-2959293.770259,18906.823578,-33.077870,-33.093480,0.271770
-2957150.875701,-2960660.866152,18915.550113,-33.092890,-33.077870,0.263230
-2958911.357453,-2962423.447057,18926.802760,-33.094650,-33.092890,0.255540
-2961723.237869,-2965238.645759,18944.781059,-33.116860,-33.094650,0.247440
-2965744.569052,-2969264.739524,18970.495161,-33.150420,-33.116860,0.239890
-2969777.198625,-2973302.154191,18996.282006,-33.185780,-33.150420,0.231400
-2973916.068014,-2977445.909631,19022.747812,-33.241430,-33.185780,0.222600
-2977800.997663,-2981335.424055,19047.589514,-33.336300,-33.241430,0.214340
-2981518.871595,-2985057.788558,19071.363422,-33.341070,-33.336300,0.207990
-2986116.556474,-2989660.912734,19100.765304,-33.369660,-33.341070,0.201270
-2990763.991853,-2994313.877443,19130.485371,-33.387130,-33.369660,0.193780
-2996765.801171,-3000322.795757,19168.868065,-33.410850,-33.387130,0.185590
-3003283.210867,-3006847.859790,19210.548039,-33.526070,-33.410850,0.177250
-3010680.611761,-3014254.052780,19257.857118,-33.623680,-33.526070,0.169540
-3018925.225250,-3022508.459755,19310.585866,-33.717550,-33.623680,0.161430
-3026776.866723,-3030369.447643,19360.801327,-33.780730,-33.717550,0.153520
-3034354.211982,-3037955.775595,19409.262419,-33.857350,-33.780730,0.146490
-3041341.787000,-3044951.638217,19453.951382,-33.939370,-33.857350,0.140310
-3048139.572171,-3051757.484820,19497.426466,-34.028930,-33.939370,0.134260
-3055207.578008,-3058833.890469,19542.629971,-34.108820,-34.028930,0.127770
-3062536.037486,-3066171.074206,19589.499379,-34.163390,-34.108820,0.120320
-3070380.533219,-3074024.881358,19639.669577,-34.213800,-34.163390,0.112310
-3079087.198970,-3082741.842110,19695.354226,-34.308490,-34.213800,0.105200
-3088699.293427,-3092365.338352,19756.831214,-34.407640,-34.308490,0.098880
-3099417.700207,-3103096.441654,19825.384506,-34.532600,-34.407640,0.093650
-3110263.075893,-3113954.681265,19894.750341,-34.669310,-34.532600,0.087530
-3120451.679368,-3124155.395441,19959.914537,-34.785210,-34.669310,0.080280
-3129792.601539,-3133507.397809,20019.656418,-34.908880,-34.785210,0.072490
-3138748.968700,-3142474.417882,20076.938187,-35.013790,-34.908880,0.066440
-3148039.434104,-3151775.958206,20136.358305,-35.067140,-35.013790,0.059740
-3157536.616465,-3161284.398279,20197.100249,-35.136190,-35.067140,0.053070
-3166864.041469,-3170622.854394,20256.756141,-35.245870,-35.136190,0.046300
-3176603.274094,-3180373.616385,20319.046258,-35.385930,-35.245870,0.039710
-3186878.047497,-3190660.590176,20384.762224,-35.523500,-35.385930,0.034060
-3197785.105451,-3201580.636149,20454.523392,-35.617140,-35.523500,0.028250
-3208081.710011,-3211889.474839,20520.379847,-35.698900,-35.617140,0.022420
-3217813.869774,-3221633.157718,20582.625383,-35.804810,-35.698900,0.017630
-3228140.302236,-3231971.808902,20648.671894,-35.957440,-35.804810,0.012720
-3238955.918095,-3242800.311682,20717.847961,-36.055880,-35.957440,0.006070
-3250080.635197,-3253938.230585,20789.000465,-36.154740,-36.055880,-0.001460
-3260771.754336,-3264642.010766,20857.379496,-36.287720,-36.154740,-0.008590
-3271788.644821,-3275671.991228,20927.843138,-36.403370,-36.287720,-0.013530
-3283478.155853,-3287375.367740,21002.609825,-36.529940,-36.403370,-0.017110
-3295177.855245,-3299088.957231,21077.442269,-36.654260,-36.529940,-0.021310
-3307150.422786,-3311075.735669,21154.019704,-36.775700,-36.654260,-0.026040
-3320077.975954,-3324018.612819,21236.705439,-36.920250,-36.775700,-0.031540
-3333450.849536,-3337407.370628,21322.240247,-37.054800,-36.920250,-0.036960
-3346278.601686,-3350250.343278,21404.288712,-37.188550,-37.054800,-0.041120
-3358332.086737,-3362318.083589,21481.385308,-37.379270,-37.188550,-0.044350
-3370411.533133,-3374411.903195,21558.649611,-37.536030,-37.379270,-0.045360
-3382573.104389,-3386587.974634,21636.440020,-37.624040,-37.536030,-0.044550
-3392694.154838,-3396721.030485,21701.179213,-37.719130,-37.624040,-0.045050
-3401426.131451,-3405463.327196,21757.031636,-37.858860,-37.719130,-0.044840
-3410219.198827,-3414266.839287,21813.275257,-37.996900,-37.858860,-0.046720
-3420188.487499,-3424248.034482,21877.042763,-38.054390,-37.996900,-0.048170
-3430065.441720,-3434136.711945,21940.219071,-38.116550,-38.054390,-0.048110
-3439022.872500,-3443104.738525,21997.514489,-38.208150,-38.116550,-0.049690
-3447942.647451,-3452035.027315,22054.567605,-38.381610,-38.208150,-0.050740
-3457349.229553,-3461452.813085,22114.735580,-38.513460,-38.381610,-0.052210
-3466905.431869,-3471020.411218,22175.861029,-38.593210,-38.513460,-0.052640
-3475516.567053,-3479641.788916,22230.941679,-38.647110,-38.593210,-0.052210
-3483712.913076,-3487847.826615,22283.369183,-38.742490,-38.647110,-0.052690
-3491341.170287,-3495485.129919,22332.162723,-38.844780,-38.742490,-0.052920
-3499252.288719,-3503405.628083,22382.765107,-38.955540,-38.844780,-0.052790
-3506510.016859,-3510671.983822,22429.188774,-39.059870,-38.955540,-0.053530
-3513402.572525,-3517572.773633,22473.276130,-39.101930,-39.059870,-0.053580
-3520015.569687,-3524193.598348,22515.575642,-39.173040,-39.101930,-0.054750
-3527084.723054,-3531271.155526,22560.792549,-39.226970,-39.173040,-0.054830
-3535690.696900,-3539887.325313,22615.840102,-39.302410,-39.226970,-0.055380
-3544919.600986,-3549127.163542,22674.872076,-39.395920,-39.302410,-0.056210
-3554432.908714,-3558651.723786,22735.722916,-39.529410,-39.395920,-0.056620
-3563375.750198,-3567605.168897,22792.924840,-39.675470,-39.529410,-0.056380
-3572141.314345,-3576381.169103,22848.993165,-39.788150,-39.675470,-0.056120
-3581141.507484,-3585392.087420,22906.562263,-39.860860,-39.788150,-0.056550
-3589959.620895,-3594220.699918,22962.966730,-39.898110,-39.860860,-0.057670
-3598363.506879,-3602634.514951,23016.720708,-39.980060,-39.898110,-0.058510
-3606587.241085,-3610867.948309,23069.322332,-40.127860,-39.980060,-0.059900
-3614399.548173,-3618689.542925,23119.292593,-40.261560,-40.127860,-0.060970
-3622165.413065,-3626464.669881,23168.966404,-40.346080,-40.261560,-0.061310
-3629682.306964,-3633990.515391,23217.048343,-40.408480,-40.346080,-0.060610
-3637359.515727,-3641676.879834,23266.156206,-40.419480,-40.408480,-0.059070
-3645392.603783,-3649719.438492,23317.539935,-40.498600,-40.419480,-0.058640
-3653264.287354,-3657600.413103,23367.890300,-40.630190,-40.498600,-0.059200
-3661306.463696,-3665652.123246,23419.330537,-40.773990,-40.630190,-0.060140
-3668371.509649,-3672725.591076,23464.520820,-40.882380,-40.773990,-0.060780
-3674585.723408,-3678947.237023,23504.268788,-40.932580,-40.882380,-0.061460
-3680433.544052,-3684802.030761,23541.673893,-40.952820,-40.932580,-0.063800
-3686188.648338,-3690563.968360,23578.485401,-40.967960,-40.952820,-0.064590
-3692695.958685,-3697078.943650,23620.108771,-41.042200,-40.967960,-0.064500
-3699693.876012,-3704085.124927,23664.870488,-41.163360,-41.042200,-0.063910
-3707579.291823,-3711979.914655,23715.309238,-41.264360,-41.163360,-0.063630
-3716050.831173,-3720461.514596,23769.496850,-41.366060,-41.264360,-0.064080
-3724269.485033,-3728689.966839,23822.066899,-41.420000,-41.366060,-0.064250
-3731630.049191,-3736059.247448,23869.147750,-41.494050,-41.420000,-0.064630
-3738572.123101,-3743009.523944,23913.551701,-41.606050,-41.494050,-0.066320
-3746300.393443,-3750746.980570,23962.984504,-41.709720,-41.606050,-0.067630
-3754456.738131,-3758913.059191,24015.156544,-41.753860,-41.709720,-0.067540
-3762489.879360,-3766955.705982,24066.540556,-41.829290,-41.753860,-0.065940
-3769553.355709,-3774027.538473,24111.722474,-41.935060,-41.829290,-0.065070
-3777151.625440,-3781634.824378,24160.324807,-42.038910,-41.935060,-0.064860
-3784447.085198,-3788938.951363,24206.989804,-42.143250,-42.038910,-0.064700
-3791348.864988,-3795848.976840,24251.136969,-42.182890,-42.143250,-0.064740
-3797851.485519,-3802359.285671,24292.730274,-42.261930,-42.182890,-0.064860
-3804252.546012,-3808767.962611,24333.674100,-42.315980,-42.261930,-0.065330
-3811593.108036,-3816117.216840,24380.627053,-42.395000,-42.315980,-0.066120
-3818260.089835,-3822792.112136,24423.271557,-42.471660,-42.395000,-0.066850
-3824912.653479,-3829452.549943,24465.823726,-42.568680,-42.471660,-0.067650
-3831231.037938,-3835778.436049,24506.238517,-42.670730,-42.568680,-0.068460
-3837921.788709,-3842477.186833,24549.035917,-42.705960,-42.670730,-0.067800
-3845292.050318,-3849856.183490,24596.179386,-42.759960,-42.705960,-0.066340
-3852686.102565,-3857259.007527,24643.475699,-42.815690,-42.759960,-0.067270
-3860368.112755,-3864950.088760,24692.612322,-42.917860,-42.815690,-0.068290
-3867140.303755,-3871730.282746,24735.929459,-43.058720,-42.917860,-0.069770
-3873616.957654,-3878214.656826,24777.356523,-43.164400,-43.058720,-0.069860
-3879929.055882,-3884534.303476,24817.731939,-43.217220,-43.164400,-0.068850
-3886316.500394,-3890929.382516,24858.589945,-43.211700,-43.217220,-0.068100
-3892654.049157,-3897274.415431,24899.128195,-43.247640,-43.211700,-0.068140
-3899435.118071,-3904063.473783,24942.502696,-43.339660,-43.247640,-0.068390
-3907402.978749,-3912040.744524,24993.468174,-43.485550,-43.339660,-0.068740
-3915950.239233,-3920598.190019,25048.140058,-43.587290,-43.485550,-0.069130
-3923566.498086,-3928223.509547,25096.857048,-43.669240,-43.587290,-0.069130
-3929934.165316,-3934598.740671,25137.586876,-43.743270,-43.669240,-0.068670
-3936019.381754,-3940691.186098,25176.510875,-43.816560,-43.743270,-0.069930
-3942671.809210,-3947351.546016,25219.062459,-43.847770,-43.816560,-0.070360
-3949522.135084,-3954209.977093,25262.880625,-43.908150,-43.847770,-0.071570
-3956437.120191,-3961133.141190,25307.111947,-43.994320,-43.908150,-0.070710
-3964654.319856,-3969360.065734,25359.673412,-44.113020,-43.994320,-0.068380
-3973642.320927,-3978358.764221,25417.165515,-44.202250,-44.113020,-0.066930
-3982597.701478,-3987324.783624,25474.448644,-44.277620,-44.202250,-0.068420
-3990329.586625,-3995065.806670,25523.904229,-44.396860,-44.277620,-0.070000
-3997452.301374,-4002196.981575,25569.463311,-44.508360,-44.396860,-0.070460
-4004535.425156,-4009288.542693,25614.770025,-44.592620,-44.508360,-0.069730
-4010906.955581,-4015667.681396,25655.525012,-44.627970,-44.592620,-0.068920
-4016348.419830,-4021115.593111,25690.331201,-44.674600,-44.627970,-0.071200
-4021087.074206,-4025859.845897,25720.640675,-44.749190,-44.674600,-0.072820
-4026428.955968,-4031208.071417,25754.809469,-44.820030,-44.749190,-0.073390
-4032099.572550,-4036885.439081,25791.082074,-44.872330,-44.820030,-0.071780
-4037866.454759,-4042659.177277,25827.970406,-44.908780,-44.872330,-0.069030
-4043266.529023,-4048065.627332,25862.512753,-44.984360,-44.908780,-0.069150
-4049080.034991,-4053886.034456,25899.698151,-45.054860,-44.984360,-0.069530
-4055969.876058,-4060784.049868,25943.768448,-45.133980,-45.054860,-0.071080
-4062713.817384,-4067536.022613,25986.906035,-45.182180,-45.133980,-0.071670
-4069232.373676,-4074062.285578,26028.601879,-45.259940,-45.182180,-0.070360
-4074976.657190,-4079813.361824,26065.346078,-45.368590,-45.259940,-0.069370
-4081032.889045,-4085876.817803,26104.085636,-45.436410,-45.368590,-0.067150
-4087697.257867,-4092549.113359,26146.715023,-45.492050,-45.436410,-0.065420
-4093853.459680,-4098712.645807,26186.093935,-45.520950,-45.492050,-0.065400
-4099089.286672,-4103954.646837,26219.584029,-45.588970,-45.520950,-0.065600
-4104207.519765,-4109078.910000,26252.321790,-45.705590,-45.588970,-0.066960
-4109464.734075,-4114342.409669,26285.948670,-45.780340,-45.705590,-0.067540
-4114527.121185,-4119410.866359,26318.330035,-45.784350,-45.780340,-0.067720
-4118847.332362,-4123736.169216,26345.963834,-45.832760,-45.784350,-0.067860
-4122830.140399,-4127723.711578,26371.439636,-45.870770,-45.832760,-0.067470
-4129024.227587,-4133925.132970,26411.059666,-45.926070,-45.870770,-0.067610
-4135889.818145,-4140798.868022,26454.975091,-45.992850,-45.926070,-0.068860
-4142876.012767,-4147793.355561,26499.661687,-46.045510,-45.992850,-0.069150
-4149850.507940,-4154776.043202,26544.272957,-46.197020,-46.045510,-0.068880
-4156690.350016,-4161624.058163,26588.024190,-46.290430,-46.197020,-0.068850
-4163822.651973,-4168764.870035,26633.646123,-46.336530,-46.290430,-0.068350
-4168973.747737,-4173922.074171,26666.595397,-46.391320,-46.336530,-0.068350
-4172605.715215,-4177558.344476,26689.827524,-46.450950,-46.391320,-0.067590
-4176492.999834,-4181450.234785,26714.692628,-46.523260,-46.450950,-0.066000
-4180819.504447,-4185781.928437,26742.368018,-46.542200,-46.523260,-0.065930
-4185985.581201,-4190954.157032,26775.413383,-46.534470,-46.542200,-0.065970
-4191948.479532,-4196924.069123,26813.554617,-46.597420,-46.534470,-0.065400
-4198506.029948,-4203489.379245,26855.500279,-46.681560,-46.597420,-0.065440
-4206137.994880,-4211130.370081,26904.317535,-46.797120,-46.681560,-0.064580
-4213074.437053,-4218075.043932,26948.686400,-46.920380,-46.797120,-0.065120
-4219364.586424,-4224372.713289,26988.921403,-46.981180,-46.920380,-0.065090
-4225222.893253,-4230237.978579,27026.393754,-47.044620,-46.981180,-0.063740
-4229789.965753,-4234810.514169,27055.607753,-47.061650,-47.044620,-0.063470
-4234440.612559,-4239466.654424,27085.355328,-47.102450,-47.061650,-0.063370
-4238734.846576,-4243765.950429,27112.822775,-47.187590,-47.102450,-0.064250
-4244084.710966,-4249122.201624,27147.043150,-47.225840,-47.187590,-0.065050
-4250079.506867,-4255124.094405,27185.388317,-47.291810,-47.225840,-0.064170
-4255915.208930,-4260966.741712,27222.717027,-47.330840,-47.291810,-0.063810
-4262246.089723,-4267305.093116,27263.212319,-47.419500,-47.330840,-0.062990
-4267926.372167,-4272992.122294,27299.546065,-47.502250,-47.419500,-0.062810
-4273460.374689,-4278532.697853,27334.944230,-47.578270,-47.502250,-0.063240
-4278139.905667,-4283217.793268,27364.876069,-47.649230,-47.578270,-0.062880
-4282493.106516,-4287576.205260,27392.721651,-47.670460,-47.649230,-0.063760
-4286790.274003,-4291878.467777,27420.208170,-47.701280,-47.670460,-0.063320
-4290808.897824,-4295901.859636,27445.913271,-47.731040,-47.701280,-0.062890
-4294626.138388,-4299723.600081,27470.330422,-47.793320,-47.731040,-0.063200
-4298044.019433,-4303145.528244,27492.192355,-47.865190,-47.793320,-0.062590
-4301101.763681,-4306206.923516,27511.751626,-47.916930,-47.865190,-0.063150
-4303628.425225,-4308736.623456,27527.913718,-47.926840,-47.916930,-0.062580
-4306064.476169,-4311175.573663,27543.496449,-47.929890,-47.926840,-0.061290
-4309095.681276,-4314210.372774,27562.886512,-47.937250,-47.929890,-0.060460
-4313396.570985,-4318516.347767,27590.397666,-47.963330,-47.937250,-0.059900
-4318554.328473,-4323680.188774,27623.389536,-48.028620,-47.963330,-0.060420
-4323894.514690,-4329026.685763,27657.548038,-48.121390,-48.028620,-0.059960
