N,a,p,iss,reg,in_connectivity,rc_connectivity,load_time,init_time,states_time,train_time,test_time,mae,mse,rmse,nrmse,r2,max_err,iter_time
1500,0.88,0.82,0.88,0.0004,1.0,0.003,0.06299999984912574,1.422000000020489,46.03099999995902,1.6090000001713634,13.452999999979511,0.3062139944079392,0.1840045346902756,0.42895749753358503,1.1722768646621657,-0.37423317600555817,6.566700129747445,62.57799999997951
1500,0.94,0.66,1.2,0.0004,1.0,0.003,0.07899999991059303,1.421000000089407,45.687999999849126,1.577999999979511,13.484000000171363,0.24968887906438852,0.18489142201698766,0.4299900254854613,1.1750986095601128,-0.38085687139327296,6.0090274788209905,62.25
1500,0.88,0.58,1.2,0.0004,1.0,0.003,0.06299999984912574,1.422000000020489,46.10899999993853,1.5780000002123415,13.5,0.3695424620656508,0.18600245400853385,0.43128001809559163,1.1786239669699634,-0.3891545854955709,3.823005953645022,62.67200000002049
1500,0.7,0.74,0.88,0.0004,1.0,0.003,0.06299999984912574,1.422000000020489,45.765000000130385,1.577999999979511,13.422000000020489,0.31402372698648,0.19315927348773124,0.43949888906313656,1.2010849155354846,-0.44260510930766483,1.091139808047623,62.25
1500,0.76,0.5,0.88,0.0004,1.0,0.003,0.06200000015087426,1.4219999997876585,45.70300000021234,1.5939999998081475,13.452999999979511,0.28421851383785357,0.20084260652464012,0.4481546680830627,1.224739868646295,-0.4999878862016831,2.227775328791957,62.23399999993853
1500,0.76,0.9,0.88,0.0004,1.0,0.003,0.06199999991804361,1.4060000001918525,45.781999999890104,1.6399999998975545,13.422000000020489,0.3274661274747799,0.20301398487901207,0.4505707323817339,1.231342612034984,-0.5162047700804477,7.553283499061827,62.311999999918044
1500,0.94,0.74,1.04,0.0004,1.0,0.003,0.06299999984912574,1.422000000020489,46.015000000130385,1.6879999998491257,13.483999999938533,0.367223178064887,0.2114214475577676,0.45980588029924935,1.2565808939339704,-0.5789956907423885,1.917892629080626,62.67199999978766
1500,0.7,0.58,1.04,0.0004,1.0,0.003,0.06199999991804361,1.422000000020489,46.29700000002049,1.625,13.452999999979511,0.392095557731999,0.21780216923319892,0.46669279963719057,1.275401817347323,-0.6266499478942307,1.5202602270562515,62.85899999993853
1500,0.7,0.74,1.04,0.0004,1.0,0.003,0.06299999984912574,1.422000000020489,45.67200000002049,1.6089999999385327,13.484000000171363,0.38819939519061497,0.2203563777900184,0.46942132225754124,1.2828584627281256,-0.6457259893794416,1.2181503592207572,62.25
1500,0.88,0.74,0.88,0.0004,1.0,0.003,0.06300000008195639,1.421000000089407,46.04700000002049,1.6409999998286366,13.422000000020489,0.25397163039518056,0.22061380236458503,0.4696954357502157,1.2836075740214394,-0.6476485582513667,9.240969688356452,62.59400000004098
