N,a,p,iss,reg,in_connectivity,rc_connectivity,load_time,init_time,states_time,train_time,test_time,mae,mse,rmse,nrmse,r2,max_err,iter_time
1500.0,0.7,0.8200000000000001,0.56,0.0004,1.0,0.003,0.0227908830056549,3.272646025005088,108.23437985299825,56.87955729999521,36.106387451000046,0.1755075474229564,0.0794979808102801,0.2819538629107254,0.3965844364520277,0.8427207901051946,5.645004559597467,204.5160830650057
1500.0,0.94,0.66,1.2,0.0004,1.0,0.003,0.0300500860030297,3.313085124013014,108.49189427400415,56.92361224599881,36.17312706200755,0.1551385929866885,0.0813939669305576,0.2852962792091015,0.4012857385388138,0.8389697615139099,5.334281170592255,204.9321125869901
1500.0,0.7,0.74,0.56,0.0004,1.0,0.003,0.0237547490032739,3.3043930919957347,108.155458524001,56.91092846999527,36.11510940000153,0.1793329181009025,0.0817923876471339,0.2859936846280594,0.4022666796481172,0.8381815239401986,5.657080723994534,204.509969605002
1500.0,1.0,0.58,1.2,0.0004,1.0,0.003,0.02637034500367,3.255459083011374,108.24257860099895,57.17987985099899,35.85725484401337,0.1664490773034464,0.0832661827430707,0.2885588029207752,0.4058746670757324,0.8352657602205016,5.242471224226106,204.56188066701
1500.0,1.0,0.66,1.04,0.0004,1.0,0.003,0.0224774349917424,3.297841375999269,107.94454450499325,56.53537242299353,36.077245153996046,0.1636971870982511,0.0839269172206088,0.289701427715862,0.4074818350207203,0.8339585597668769,5.263779225720143,203.87782171300205
1500.0,0.82,0.66,1.04,0.0004,1.0,0.003,0.0244034659990575,3.3929162389977137,109.66857327699836,57.03563080599997,36.43616777800344,0.1671469216937965,0.0840433998456983,0.2899023971023666,0.4077645101012042,0.8337281099484813,5.331045283901508,206.55802668499385
1500.0,0.94,0.58,1.04,0.0004,1.0,0.003,0.02333189600904,3.330808383005205,108.65584866500284,57.20470392500283,36.175904389994685,0.1675930715611897,0.0842848903251393,0.2903186014108282,0.4083499255639191,0.8332503439547231,5.279812234806448,205.3909391410125
1500.0,0.7,0.9,1.04,0.0004,1.0,0.003,0.0251389459954225,3.33806044299854,109.229415531001,57.47465446999559,36.3193663389975,0.1621854478539809,0.0852086767460746,0.2919052530292571,0.4105816429500347,0.8314227201972972,5.66971681398714,206.3869619909965
1500.0,0.76,0.66,1.04,0.0004,1.0,0.003,0.0232592600004863,3.30689146000077,108.04196623199825,56.95677181400242,36.03807341699576,0.1670406743944931,0.0859373288900818,0.2931506931427621,0.4123334265945295,0.8299811510866162,5.314945182150538,204.36728293200576
1500.0,0.88,0.74,1.04,0.0004,1.0,0.003,0.0238170270022237,3.3446243930084165,108.52299088500148,57.37669266300509,36.23812484800874,0.1673189029577257,0.0873109360956679,0.2954842400123362,0.4156156954049323,0.8272635995991644,5.277474276086847,205.50662178300263
1500.0,1.0,0.74,0.8799999999999999,0.0004,1.0,0.003,0.0222165640007006,3.238946686004056,108.85620876999748,57.56449223200616,36.05449704299099,0.1744033113395302,0.0878499009521456,0.2963948396179421,0.4168965064840732,0.8261973087836759,5.319826814146147,205.73669022100512
1500.0,0.94,0.74,1.04,0.0004,1.0,0.003,0.0229393110057571,3.333591682006954,108.1928058850026,56.10302896499343,35.79392190100043,0.1606297223903812,0.088201492610336,0.2969873610279333,0.4177299221608129,0.8255017180574441,5.371961787535171,203.44661779400485
1500.0,0.7,0.9,1.2,0.0004,1.0,0.003,0.0227789690034114,3.320465516000695,109.31442402600078,57.50512666699797,36.48315368399926,0.1533302653123609,0.0882889710460079,0.2971346008899131,0.417937023553515,0.8253286502750289,5.837512456434631,206.64628995300157
1500.0,1.0,0.74,1.04,0.0004,1.0,0.003,0.0269974410039139,3.3313060350046726,108.50014312499844,57.28011900000274,36.07199926699104,0.1615866461742639,0.0885750894877149,0.2976156741297657,0.4186136809248648,0.824762592093559,5.345999104192002,205.2108939550089
1500.0,0.94,0.74,0.8799999999999999,0.0004,1.0,0.003,0.0238140910078072,3.3597337289975258,108.52648212001075,56.78086135099875,36.12982866000675,0.1696879005887517,0.088680565796585,0.297792823614984,0.4188628519347521,0.8245539172271961,5.400239377712281,204.8210601880128
