file_N:23,train,seed:None,percent:5275,measured,n:2,N:4
t,I,V,V'
527.5,1.26182,-42.20847,-42.11325
527.51,1.23861,-42.11325,-42.02932
527.52,1.21457,-42.02932,-41.95524
527.53,1.19021,-41.95524,-41.8975
527.54,1.16531,-41.8975,-41.84388
527.55,1.14013,-41.84388,-41.79711
527.5600000000001,1.1145,-41.79711,-41.75878
527.57,1.08855,-41.75878,-41.73446
527.58,1.06208,-41.73446,-41.71544
527.59,1.03585,-41.71544,-41.70524
527.6,1.00999,-41.70524,-41.70259
527.61,0.98419,-41.70259,-41.71248
527.62,0.95845,-41.71248,-41.72669
527.63,0.93254,-41.72669,-41.74806
527.64,0.90634,-41.74806,-41.77333
527.65,0.88009,-41.77333,-41.80508
527.66,0.85376,-41.80508,-41.8426
527.67,0.8275,-41.8426,-41.88966
527.6800000000001,0.80135,-41.88966,-41.94252
527.69,0.77521,-41.94252,-42.00501
527.7,0.74909,-42.00501,-42.06815
527.71,0.723,-42.06815,-42.13237
527.72,0.69697,-42.13237,-42.20314
527.73,0.67097,-42.20314,-42.28476
527.74,0.645,-42.28476,-42.36456
527.75,0.61927,-42.36456,-42.44131
527.76,0.59393,-42.44131,-42.52374
527.77,0.56892,-42.52374,-42.61559
527.78,0.54444,-42.61559,-42.71231
527.79,0.52006,-42.71231,-42.81713
527.8,0.49587,-42.81713,-42.92242
527.8100000000001,0.47177,-42.92242,-43.02852
527.82,0.44785,-43.02852,-43.13733
527.83,0.42431,-43.13733,-43.25063
527.84,0.40144,-43.25063,-43.36243
527.85,0.37876,-43.36243,-43.47176
527.86,0.35641,-43.47176,-43.58184
527.87,0.33426,-43.58184,-43.69319
527.88,0.31245,-43.69319,-43.81311
527.89,0.2909,-43.81311,-43.94727
527.9,0.26981,-43.94727,-44.0813
527.91,0.24897,-44.0813,-44.21511
527.92,0.22853,-44.21511,-44.35356
527.9300000000001,0.20852,-44.35356,-44.49974
527.94,0.1892,-44.49974,-44.65083
527.95,0.17014,-44.65083,-44.81007
527.96,0.15152,-44.81007,-44.96854
527.97,0.13294,-44.96854,-45.12574
527.98,0.11444,-45.12574,-45.28731
527.99,0.09628,-45.28731,-45.45614
528.0,0.0787,-45.45614,-45.61912
528.01,0.06159,-45.61912,-45.77237
528.02,0.04527,-45.77237,-45.91768
528.03,0.02974,-45.91768,-46.04979
528.04,0.01555,-46.04979,-46.18822
528.05,0.00242,-46.18822,-46.33718
528.0600000000001,-0.00895,-46.33718,-46.47998
528.07,-0.01918,-46.47998,-46.61255
528.08,-0.02748,-46.61255,-46.73934
528.09,-0.03459,-46.73934,-46.85652
528.1,-0.0397,-46.85652,-46.98101
528.11,-0.04406,-46.98101,-47.11767
528.12,-0.04715,-47.11767,-47.25357
528.13,-0.04984,-47.25357,-47.38824
528.14,-0.05188,-47.38824,-47.5237
528.15,-0.05377,-47.5237,-47.66046
528.16,-0.05544,-47.66046,-47.78783
528.17,-0.05697,-47.78783,-47.89956
528.1800000000001,-0.05831,-47.89956,-48.00617
528.19,-0.05963,-48.00617,-48.10426
528.2,-0.06092,-48.10426,-48.20989
528.21,-0.06227,-48.20989,-48.32804
528.22,-0.06371,-48.32804,-48.43203
528.23,-0.06502,-48.43203,-48.51243
528.24,-0.06612,-48.51243,-48.58785
528.25,-0.06704,-48.58785,-48.65498
528.26,-0.06769,-48.65498,-48.72974
528.27,-0.06849,-48.72974,-48.8172
528.28,-0.06954,-48.8172,-48.90437
528.29,-0.07065,-48.90437,-48.99106
528.3,-0.07184,-48.99106,-49.07629
528.3100000000001,-0.07304,-49.07629,-49.15905
528.32,-0.07427,-49.15905,-49.24153
528.33,-0.07538,-49.24153,-49.32354
528.34,-0.07627,-49.32354,-49.40609
528.35,-0.07715,-49.40609,-49.48953
528.36,-0.07802,-49.48953,-49.57129
528.37,-0.07885,-49.57129,-49.65024
528.38,-0.07963,-49.65024,-49.71807
528.39,-0.08016,-49.71807,-49.76738
528.4,-0.08028,-49.76738,-49.81372
528.41,-0.08044,-49.81372,-49.85512
528.42,-0.08068,-49.85512,-49.90074
528.4300000000001,-0.08117,-49.90074,-49.95341
528.44,-0.08209,-49.95341,-50.00532
528.45,-0.08304,-50.00532,-50.05598
528.46,-0.08403,-50.05598,-50.11084
528.47,-0.08502,-50.11084,-50.17269
528.48,-0.08601,-50.17269,-50.23408
528.49,-0.08698,-50.23408,-50.29472
528.5,-0.0879,-50.29472,-50.34918
528.51,-0.0887,-50.34918,-50.39337
528.52,-0.08931,-50.39337,-50.43565
528.53,-0.08972,-50.43565,-50.47474
528.54,-0.08977,-50.47474,-50.5122
528.55,-0.08996,-50.5122,-50.54696
528.5600000000001,-0.09038,-50.54696,-50.57692
528.57,-0.09103,-50.57692,-50.59889
528.58,-0.09205,-50.59889,-50.62325
528.59,-0.09313,-50.62325,-50.6516
528.6,-0.09427,-50.6516,-50.68128
528.61,-0.09527,-50.68128,-50.71317
528.62,-0.09602,-50.71317,-50.74843
528.63,-0.09673,-50.74843,-50.78932
528.64,-0.09735,-50.78932,-50.83427
528.65,-0.09782,-50.83427,-50.88599
528.66,-0.09806,-50.88599,-50.93854
528.67,-0.09814,-50.93854,-50.99248
528.6800000000001,-0.09795,-50.99248,-51.04257
528.69,-0.09757,-51.04257,-51.08624
528.7,-0.09686,-51.08624,-51.12307
528.71,-0.09646,-51.12307,-51.14846
528.72,-0.09656,-51.14846,-51.17698
528.73,-0.09677,-51.17698,-51.21071
528.74,-0.09715,-51.21071,-51.24155
528.75,-0.09746,-51.24155,-51.26761
528.76,-0.09767,-51.26761,-51.29162
528.77,-0.09787,-51.29162,-51.31221
528.78,-0.09805,-51.31221,-51.33437
528.79,-0.09832,-51.33437,-51.35914
528.8,-0.09872,-51.35914,-51.38797
528.8100000000001,-0.09914,-51.38797,-51.42356
528.82,-0.09959,-51.42356,-51.45951
528.83,-0.1001,-51.45951,-51.49609
528.84,-0.10074,-51.49609,-51.52774
528.85,-0.10135,-51.52774,-51.55115
528.86,-0.10192,-51.55115,-51.57147
528.87,-0.10251,-51.57147,-51.58663
528.88,-0.10312,-51.58663,-51.60608
528.89,-0.10379,-51.60608,-51.63269
528.9,-0.10456,-51.63269,-51.66063
528.91,-0.10519,-51.66063,-51.69082
528.92,-0.10556,-51.69082,-51.72181
528.9300000000001,-0.10583,-51.72181,-51.75412
528.94,-0.1059,-51.75412,-51.78289
528.95,-0.10593,-51.78289,-51.80573
528.96,-0.10588,-51.80573,-51.83157
528.97,-0.10573,-51.83157,-51.86241
528.98,-0.10542,-51.86241,-51.89194
528.99,-0.10518,-51.89194,-51.91925
529.0,-0.10506,-51.91925,-51.9443
529.01,-0.10503,-51.9443,-51.96559
529.02,-0.10514,-51.96559,-51.99342
529.03,-0.10525,-51.99342,-52.03218
529.04,-0.10535,-52.03218,-52.06723
529.05,-0.10554,-52.06723,-52.0961
529.0600000000001,-0.10587,-52.0961,-52.12394
529.07,-0.10614,-52.12394,-52.15006
529.08,-0.10631,-52.15006,-52.17428
529.09,-0.10648,-52.17428,-52.1953
529.1,-0.10665,-52.1953,-52.20917
529.11,-0.10682,-52.20917,-52.2111
529.12,-0.10697,-52.2111,-52.21482
529.13,-0.10724,-52.21482,-52.22155
529.14,-0.10771,-52.22155,-52.22526
529.15,-0.10799,-52.22526,-52.22396
529.16,-0.10798,-52.22396,-52.22428
529.17,-0.10795,-52.22428,-52.22732
529.1800000000001,-0.10791,-52.22732,-52.24343
529.19,-0.10785,-52.24343,-52.28136
529.2,-0.10774,-52.28136,-52.31748
529.21,-0.10758,-52.31748,-52.35059
529.22,-0.10735,-52.35059,-52.38101
529.23,-0.10723,-52.38101,-52.40694
529.24,-0.1073,-52.40694,-52.43648
529.25,-0.10741,-52.43648,-52.47207
529.26,-0.10759,-52.47207,-52.50014
529.27,-0.10775,-52.50014,-52.51564
529.28,-0.10786,-52.51564,-52.53218
529.29,-0.10808,-52.53218,-52.55042
529.3,-0.10848,-52.55042,-52.56796
