file_N:21,train,seed:None,percent:21100,measured,n:1,N:1
t,I,V,I',V'
0.0,-0.04166,-67.61595,-0.04176,-67.59748
0.01,-0.04176,-67.59748,-0.04184,-67.57935
0.02,-0.04184,-67.57935,-0.04206,-67.57598
0.03,-0.04206,-67.57598,-0.04229,-67.57554
0.04,-0.04229,-67.57554,-0.04212,-67.55051
0.05,-0.04212,-67.55051,-0.04186,-67.52062
0.06,-0.04186,-67.52062,-0.04203,-67.50792
0.07,-0.04203,-67.50792,-0.04229,-67.49862
0.08,-0.04229,-67.49862,-0.04261,-67.4994
0.09,-0.04261,-67.4994,-0.04295,-67.50218
0.1,-0.04295,-67.50218,-0.04286,-67.50119
0.11,-0.04286,-67.50119,-0.04268,-67.49946
0.12,-0.04268,-67.49946,-0.04248,-67.52346
0.13,-0.04248,-67.52346,-0.04227,-67.55255
0.14,-0.04227,-67.55255,-0.04194,-67.57275
0.15,-0.04194,-67.57275,-0.04159,-67.59118
0.16,-0.04159,-67.59118,-0.04131,-67.60253
0.17,-0.04131,-67.60253,-0.04104,-67.61249
0.18,-0.04104,-67.61249,-0.04138,-67.62231
0.19,-0.04138,-67.62231,-0.04184,-67.6321
0.2,-0.04184,-67.6321,-0.04216,-67.62595
0.21,-0.04216,-67.62595,-0.04246,-67.61664
0.22,-0.04246,-67.61664,-0.04304,-67.60887
0.23,-0.04304,-67.60887,-0.04367,-67.6014
0.24,-0.04367,-67.6014,-0.04409,-67.5935
0.25,-0.04409,-67.5935,-0.04447,-67.5855
0.26,-0.04447,-67.5855,-0.0443,-67.57499
0.27,-0.0443,-67.57499,-0.04402,-67.56398
0.28,-0.04402,-67.56398,-0.04364,-67.56017
0.29,-0.04364,-67.56017,-0.04323,-67.55779
0.3,-0.04323,-67.55779,-0.04302,-67.56984
0.31,-0.04302,-67.56984,-0.04285,-67.58475
0.32,-0.04285,-67.58475,-0.04266,-67.58692
0.33,-0.04266,-67.58692,-0.04247,-67.58655
0.34,-0.04247,-67.58655,-0.04222,-67.59104
0.35000000000000003,-0.04222,-67.59104,-0.04197,-67.59649
0.36,-0.04197,-67.59649,-0.04163,-67.61783
0.37,-0.04163,-67.61783,-0.04127,-67.64232
0.38,-0.04127,-67.64232,-0.04134,-67.65347
0.39,-0.04134,-67.65347,-0.0415,-67.66197
0.4,-0.0415,-67.66197,-0.0414,-67.65653
0.41000000000000003,-0.0414,-67.65653,-0.04125,-67.64833
0.42,-0.04125,-67.64833,-0.0408,-67.62492
0.43,-0.0408,-67.62492,-0.0403,-67.5985
0.44,-0.0403,-67.5985,-0.04041,-67.5799
0.45,-0.04041,-67.5799,-0.04065,-67.56286
0.46,-0.04065,-67.56286,-0.0408,-67.54435
0.47000000000000003,-0.0408,-67.54435,-0.04093,-67.52554
0.48,-0.04093,-67.52554,-0.04107,-67.51414
0.49,-0.04107,-67.51414,-0.0412,-67.50421
0.5,-0.0412,-67.50421,-0.04151,-67.5053
0.51,-0.04151,-67.5053,-0.04186,-67.50857
0.52,-0.04186,-67.50857,-0.042,-67.5207
0.53,-0.042,-67.5207,-0.0421,-67.53459
0.54,-0.0421,-67.53459,-0.04217,-67.54455
