file_N:28,train,seed:None,percent:5025,measured,n:3,N:4
t,I,V,V'
1005.0,0.02051,-39.50595,-39.53019
1005.01,0.02077,-39.53019,-39.54043
1005.02,0.02077,-39.54043,-39.54935
1005.03,0.02075,-39.54935,-39.55481
1005.0400000000001,0.02071,-39.55481,-39.55995
1005.0500000000001,0.02067,-39.55995,-39.57821
1005.0600000000001,0.02095,-39.57821,-39.59771
1005.07,0.02125,-39.59771,-39.6105
1005.08,0.02192,-39.6105,-39.62266
1005.09,0.02263,-39.62266,-39.63283
1005.1,0.02417,-39.63283,-39.64282
1005.11,0.02578,-39.64282,-39.66722
1005.12,0.02702,-39.66722,-39.69298
1005.13,0.02822,-39.69298,-39.72645
1005.14,0.03004,-39.72645,-39.76065
1005.15,0.03192,-39.76065,-39.77876
1005.16,0.03394,-39.77876,-39.79534
1005.1700000000001,0.03599,-39.79534,-39.80996
1005.1800000000001,0.03799,-39.80996,-39.82439
1005.19,0.04,-39.82439,-39.82267
1005.2,0.04171,-39.82267,-39.81941
1005.21,0.04339,-39.81941,-39.82329
1005.22,0.0452,-39.82329,-39.82785
1005.23,0.04703,-39.82785,-39.83867
1005.24,0.04839,-39.83867,-39.85008
1005.25,0.0497,-39.85008,-39.84695
1005.26,0.05144,-39.84695,-39.84244
1005.27,0.05322,-39.84244,-39.84668
1005.28,0.05491,-39.84668,-39.85175
1005.2900000000001,0.05658,-39.85175,-39.85358
1005.3000000000001,0.0589,-39.85358,-39.8551
1005.3100000000001,0.06127,-39.8551,-39.84155
1005.32,0.06382,-39.84155,-39.82657
1005.33,0.06639,-39.82657,-39.81917
1005.34,0.06892,-39.81917,-39.81248
1005.35,0.07144,-39.81248,-39.79173
1005.36,0.07361,-39.79173,-39.76965
1005.37,0.07575,-39.76965,-39.76486
1005.38,0.07826,-39.76486,-39.76171
1005.39,0.08081,-39.76171,-39.77158
1005.4,0.08321,-39.77158,-39.7827
1005.41,0.0856,-39.7827,-39.78363
1005.4200000000001,0.08776,-39.78363,-39.7836
1005.4300000000001,0.0899,-39.7836,-39.79094
1005.44,0.09203,-39.79094,-39.79898
1005.45,0.09417,-39.79898,-39.79874
1005.46,0.09651,-39.79874,-39.79772
1005.47,0.09887,-39.79772,-39.80037
1005.48,0.1007,-39.80037,-39.80338
1005.49,0.10248,-39.80338,-39.7955
1005.5,0.10399,-39.7955,-39.78658
1005.51,0.10548,-39.78658,-39.75544
1005.52,0.10742,-39.75544,-39.72218
1005.53,0.10941,-39.72218,-39.69395
1005.5400000000001,0.11185,-39.69395,-39.66621
1005.5500000000001,0.11433,-39.66621,-39.6393
1005.5600000000001,0.11709,-39.6393,-39.61246
1005.57,0.11988,-39.61246,-39.58258
1005.58,0.12233,-39.58258,-39.55241
1005.59,0.12476,-39.55241,-39.53682
1005.6,0.1269,-39.53682,-39.52262
1005.61,0.12901,-39.52262,-39.51962
1005.62,0.13109,-39.51962,-39.51769
1005.63,0.13316,-39.51769,-39.5093
1005.64,0.13468,-39.5093,-39.5003
1005.65,0.13614,-39.5003,-39.50548
1005.66,0.13742,-39.50548,-39.512
1005.6700000000001,0.13868,-39.512,-39.5112
1005.6800000000001,0.14035,-39.5112,-39.50969
1005.69,0.14205,-39.50969,-39.49443
1005.7,0.14395,-39.49443,-39.47785
1005.71,0.14586,-39.47785,-39.46338
1005.72,0.14784,-39.46338,-39.44911
1005.73,0.14982,-39.44911,-39.43347
1005.74,0.15153,-39.43347,-39.4177
1005.75,0.15322,-39.4177,-39.39094
1005.76,0.1548,-39.39094,-39.36313
1005.77,0.15636,-39.36313,-39.33693
1005.78,0.15784,-39.33693,-39.31089
1005.7900000000001,0.15931,-39.31089,-39.26924
1005.8000000000001,0.1608,-39.26924,-39.22611
1005.8100000000001,0.1623,-39.22611,-39.21705
1005.82,0.16321,-39.21705,-39.21123
1005.83,0.16407,-39.21123,-39.19442
1005.84,0.1653,-39.19442,-39.17655
1005.85,0.16657,-39.17655,-39.15518
1005.86,0.16798,-39.15518,-39.13349
1005.87,0.16941,-39.13349,-39.13838
1005.88,0.17044,-39.13838,-39.14581
1005.89,0.17143,-39.14581,-39.14309
1005.9,0.17251,-39.14309,-39.13941
1005.91,0.1736,-39.13941,-39.12051
1005.9200000000001,0.1749,-39.12051,-39.10014
1005.9300000000001,0.17622,-39.10014,-39.08851
1005.94,0.17759,-39.08851,-39.07771
1005.95,0.17897,-39.07771,-39.06417
1005.96,0.18,-39.06417,-39.05036
1005.97,0.181,-39.05036,-39.04638
1005.98,0.18138,-39.04638,-39.04334
1005.99,0.18169,-39.04334,-39.01349
1006.0,0.18221,-39.01349,-38.98108
1006.01,0.18275,-38.98108,-38.95083
1006.02,0.18305,-38.95083,-38.92079
1006.03,0.18332,-38.92079,-38.91644
1006.0400000000001,0.18368,-38.91644,-38.91454
1006.0500000000001,0.18405,-38.91454,-38.90558
1006.0600000000001,0.1845,-38.90558,-38.89596
1006.07,0.18495,-38.89596,-38.877
1006.08,0.18544,-38.877,-38.85715
1006.09,0.18593,-38.85715,-38.8471
1006.1,0.18633,-38.8471,-38.83798
1006.11,0.18672,-38.83798,-38.83881
1006.12,0.18713,-38.83881,-38.8406
1006.13,0.18755,-38.8406,-38.84273
1006.14,0.18787,-38.84273,-38.84489
1006.15,0.18818,-38.84489,-38.81643
1006.16,0.18869,-38.81643,-38.78504
1006.1700000000001,0.18922,-38.78504,-38.76602
1006.1800000000001,0.18947,-38.76602,-38.74818
1006.19,0.1897,-38.74818,-38.74949
1006.2,0.19025,-38.74949,-38.75262
1006.21,0.19083,-38.75262,-38.74285
1006.22,0.19089,-38.74285,-38.73183
1006.23,0.19091,-38.73183,-38.71563
1006.24,0.19091,-38.71563,-38.69894
1006.25,0.1909,-38.69894,-38.69767
1006.26,0.19053,-38.69767,-38.69789
1006.27,0.19012,-38.69789,-38.69193
1006.28,0.18985,-38.69193,-38.68537
1006.2900000000001,0.1896,-38.68537,-38.67625
1006.3000000000001,0.18934,-38.67625,-38.66689
1006.3100000000001,0.18908,-38.66689,-38.66006
1006.32,0.18884,-38.66006,-38.65347
1006.33,0.18861,-38.65347,-38.64281
1006.34,0.18845,-38.64281,-38.63176
1006.35,0.18831,-38.63176,-38.63669
1006.36,0.18833,-38.63669,-38.64314
1006.37,0.18837,-38.64314,-38.6261
1006.38,0.18816,-38.6261,-38.60679
1006.39,0.18792,-38.60679,-38.59067
1006.4,0.18807,-38.59067,-38.57485
1006.41,0.18825,-38.57485,-38.56424
1006.4200000000001,0.18791,-38.56424,-38.55413
1006.4300000000001,0.18752,-38.55413,-38.53119
1006.44,0.18695,-38.53119,-38.50701
1006.45,0.18637,-38.50701,-38.48885
1006.46,0.18605,-38.48885,-38.47126
1006.47,0.18576,-38.47126,-38.45883
1006.48,0.1852,-38.45883,-38.44689
1006.49,0.1846,-38.44689,-38.42904
1006.5,0.18389,-38.42904,-38.41063
1006.51,0.18317,-38.41063,-38.4286
1006.52,0.18282,-38.4286,-38.45007
1006.53,0.1825,-38.45007,-38.4531
1006.5400000000001,0.18197,-38.4531,-38.45435
1006.5500000000001,0.18142,-38.45435,-38.46002
1006.5600000000001,0.18116,-38.46002,-38.46611
1006.57,0.18094,-38.46611,-38.4709
1006.58,0.18048,-38.4709,-38.47555
1006.59,0.17999,-38.47555,-38.47507
1006.6,0.17957,-38.47507,-38.4741
1006.61,0.17916,-38.4741,-38.48195
1006.62,0.17838,-38.48195,-38.49065
1006.63,0.17757,-38.49065,-38.49179
1006.64,0.17607,-38.49179,-38.49221
1006.65,0.1745,-38.49221,-38.49191
1006.66,0.1728,-38.49191,-38.49155
1006.6700000000001,0.1711,-38.49155,-38.50547
1006.6800000000001,0.16958,-38.50547,-38.52076
1006.69,0.16808,-38.52076,-38.52936
1006.7,0.16651,-38.52936,-38.53732
1006.71,0.16493,-38.53732,-38.5263
1006.72,0.16407,-38.5263,-38.51345
1006.73,0.16329,-38.51345,-38.50922
1006.74,0.16234,-38.50922,-38.50582
1006.75,0.16138,-38.50582,-38.516
1006.76,0.16064,-38.516,-38.5275
1006.77,0.15992,-38.5275,-38.54035
1006.78,0.15887,-38.54035,-38.55333
1006.7900000000001,0.1578,-38.55333,-38.56347
1006.8000000000001,0.15688,-38.56347,-38.57335
1006.8100000000001,0.15597,-38.57335,-38.57431
1006.82,0.15515,-38.57431,-38.57441
1006.83,0.15434,-38.57441,-38.56698
1006.84,0.1528,-38.56698,-38.55882
1006.85,0.15118,-38.55882,-38.56367
1006.86,0.14979,-38.56367,-38.56978
1006.87,0.14841,-38.56978,-38.55752
1006.88,0.14745,-38.55752,-38.54348
1006.89,0.14653,-38.54348,-38.55106
1006.9,0.14475,-38.55106,-38.56072
1006.91,0.14289,-38.56072,-38.57911
1006.9200000000001,0.14124,-38.57911,-38.59835
1006.9300000000001,0.13961,-38.59835,-38.60848
1006.94,0.13804,-38.60848,-38.61773
1006.95,0.13647,-38.61773,-38.62646
1006.96,0.13514,-38.62646,-38.63515
1006.97,0.13384,-38.63515,-38.64212
1006.98,0.13248,-38.64212,-38.64892
1006.99,0.13111,-38.64892,-38.6605
1007.0,0.12926,-38.6605,-38.67254
1007.01,0.12736,-38.67254,-38.68965
1007.02,0.12546,-38.68965,-38.70725
1007.03,0.12356,-38.70725,-38.72168
1007.0400000000001,0.12196,-38.72168,-38.7358
1007.0500000000001,0.12038,-38.7358,-38.76948
1007.0600000000001,0.11852,-38.76948,-38.80505
1007.07,0.11663,-38.80505,-38.82728
1007.08,0.1145,-38.82728,-38.84822
1007.09,0.11234,-38.84822,-38.8574
1007.1,0.1104,-38.8574,-38.86544
1007.11,0.10847,-38.86544,-38.86443
1007.12,0.10667,-38.86443,-38.86255
1007.13,0.10488,-38.86255,-38.86362
1007.14,0.10307,-38.86362,-38.86497
1007.15,0.10126,-38.86497,-38.87807
1007.16,0.09947,-38.87807,-38.89231
1007.1700000000001,0.09767,-38.89231,-38.89266
1007.1800000000001,0.09583,-38.89266,-38.89167
1007.19,0.09398,-38.89167,-38.90037
1007.2,0.09163,-38.90037,-38.91002
1007.21,0.08923,-38.91002,-38.93255
1007.22,0.08712,-38.93255,-38.95633
1007.23,0.08505,-38.95633,-38.9662
1007.24,0.08277,-38.9662,-38.97472
1007.25,0.08048,-38.97472,-38.98663
1007.26,0.07853,-38.98663,-38.99886
1007.27,0.07662,-38.99886,-39.00389
1007.28,0.07478,-39.00389,-39.00822
1007.2900000000001,0.07295,-39.00822,-39.0167
1007.3000000000001,0.07125,-39.0167,-39.02558
1007.3100000000001,0.06957,-39.02558,-39.05057
1007.32,0.06791,-39.05057,-39.07713
1007.33,0.06625,-39.07713,-39.1107
1007.34,0.06459,-39.1107,-39.14494
1007.35,0.06292,-39.14494,-39.17782
1007.36,0.0607,-39.17782,-39.21057
1007.37,0.05842,-39.21057,-39.25117
1007.38,0.05654,-39.25117,-39.29254
1007.39,0.05471,-39.29254,-39.32354
1007.4,0.0528,-39.32354,-39.35353
1007.41,0.05089,-39.35353,-39.36724
1007.4200000000001,0.04915,-39.36724,-39.37938
1007.4300000000001,0.04743,-39.37938,-39.41216
1007.44,0.04562,-39.41216,-39.44693
1007.45,0.0438,-39.44693,-39.46854
1007.46,0.0422,-39.46854,-39.48887
