file_N:23,train,seed:None,percent:5074,integrated,n:2,N:2
t,V,V'
1050.190746,-66.704282,-66.705474
1050.210829,-66.705474,-66.706555
1050.232875,-66.706555,-66.707121
1050.254842,-66.707121,-66.707795
1050.275189,-66.707795,-66.709203
1050.295592,-66.709203,-66.711349
1050.315875,-66.711349,-66.713882
1050.337169,-66.713882,-66.716304
1050.358416,-66.716304,-66.718628
1050.37985,-66.718628,-66.720281
1050.399866,-66.720281,-66.720863
1050.420043,-66.720863,-66.720697
1050.441335,-66.720697,-66.720483
1050.463068,-66.720483,-66.719988
1050.485264,-66.719988,-66.719664
1050.506668,-66.719664,-66.719904
1050.529406,-66.719904,-66.720807
1050.549577,-66.720807,-66.722229
1050.571633,-66.722229,-66.723763
1050.592989,-66.723763,-66.725563
1050.613767,-66.725563,-66.72759
1050.633842,-66.72759,-66.730221
1050.655261,-66.730221,-66.733094
1050.67597,-66.733094,-66.735684
1050.696691,-66.735684,-66.737533
1050.718456,-66.737533,-66.738447
1050.74046,-66.738447,-66.738754
1050.761008,-66.738754,-66.738828
1050.785066,-66.738828,-66.739333
1050.806296,-66.739333,-66.740394
1050.827471,-66.740394,-66.74137
1050.847907,-66.74137,-66.742339
1050.86857,-66.742339,-66.743498
1050.888842,-66.743498,-66.745195
1050.910203,-66.745195,-66.747242
1050.930367,-66.747242,-66.749575
1050.952004,-66.749575,-66.751617
1050.97382,-66.751617,-66.752686
1050.995066,-66.752686,-66.753076
1051.017824,-66.753076,-66.753493
1051.040341,-66.753493,-66.754127
1051.060948,-66.754127,-66.755059
1051.082532,-66.755059,-66.756253
1051.102634,-66.756253,-66.757174
1051.122808,-66.757174,-66.757927
1051.144248,-66.757927,-66.758897
1051.16549,-66.758897,-66.760145
1051.185602,-66.760145,-66.761811
1051.206706,-66.761811,-66.763388
1051.22754,-66.763388,-66.764727
1051.248878,-66.764727,-66.765683
1051.268952,-66.765683,-66.766792
1051.289597,-66.766792,-66.7685
1051.310839,-66.7685,-66.770188
1051.331437,-66.770188,-66.77219
1051.351899,-66.77219,-66.774727
1051.373288,-66.774727,-66.776977
1051.394683,-66.776977,-66.778534
1051.415,-66.778534,-66.779634
1051.436857,-66.779634,-66.780622
1051.457411,-66.780622,-66.781063
1051.479297,-66.781063,-66.781155
1051.502362,-66.781155,-66.781644
1051.522806,-66.781644,-66.782501
1051.545035,-66.782501,-66.783649
1051.565497,-66.783649,-66.784805
1051.587596,-66.784805,-66.785508
1051.609021,-66.785508,-66.78623
1051.630963,-66.78623,-66.786986
1051.653049,-66.786986,-66.787798
1051.674624,-66.787798,-66.788735
1051.695859,-66.788735,-66.789953
1051.716092,-66.789953,-66.791517
1051.737451,-66.791517,-66.792816
1051.758853,-66.792816,-66.793822
1051.778997,-66.793822,-66.794999
1051.799176,-66.794999,-66.796803
1051.820388,-66.796803,-66.799442
1051.841951,-66.799442,-66.801838
1051.863116,-66.801838,-66.803683
1051.885104,-66.803683,-66.804369
1051.907472,-66.804369,-66.803835
1051.929525,-66.803835,-66.802927
1051.951172,-66.802927,-66.802533
1051.973315,-66.802533,-66.803476
1051.994873,-66.803476,-66.805245
1052.016166,-66.805245,-66.807099
1052.036513,-66.807099,-66.80881
1052.056914,-66.80881,-66.810531
1052.077532,-66.810531,-66.812151
1052.098211,-66.812151,-66.813605
1052.119334,-66.813605,-66.814996
1052.140848,-66.814996,-66.816371
