file_N:28,train,seed:None,percent:2417,integrated,n:0, N:4
t,V,V'
3.966346,-63.95238,-63.953193
3.986387,-63.953193,-63.953583
4.008302,-63.953583,-63.953293
4.029657,-63.953293,-63.952734
4.049741,-63.952734,-63.952997
4.072149,-63.952997,-63.954113
4.09327,-63.954113,-63.955675
4.114196,-63.955675,-63.957862
4.135781,-63.957862,-63.959905
4.156866,-63.959905,-63.96099
4.177322,-63.96099,-63.961268
4.199586,-63.961268,-63.961325
4.223261,-63.961325,-63.96131
4.246147,-63.96131,-63.961302
4.266548,-63.961302,-63.961298
4.290048,-63.961298,-63.961092
4.310095,-63.961092,-63.960762
4.33254,-63.960762,-63.960592
4.354822,-63.960592,-63.961227
4.376834,-63.961227,-63.962115
4.397624,-63.962115,-63.963041
4.417803,-63.963041,-63.963802
4.438031,-63.963802,-63.964133
4.458126,-63.964133,-63.964456
4.480057,-63.964456,-63.964816
4.50178,-63.964816,-63.965421
4.522447,-63.965421,-63.966418
4.54299,-63.966418,-63.967408
4.56502,-63.967408,-63.967963
4.586239,-63.967963,-63.968417
4.606734,-63.968417,-63.969487
4.62787,-63.969487,-63.970726
4.649229,-63.970726,-63.972003
4.670581,-63.972003,-63.973312
4.691591,-63.973312,-63.973918
4.714019,-63.973918,-63.973397
4.735828,-63.973397,-63.972656
4.7573,-63.972656,-63.97226
4.779251,-63.97226,-63.972677
4.800113,-63.972677,-63.973698
4.82122,-63.973698,-63.975278
4.842268,-63.975278,-63.977232
4.864094,-63.977232,-63.978841
4.886114,-63.978841,-63.980085
4.907084,-63.980085,-63.980843
4.929312,-63.980843,-63.980795
4.951287,-63.980795,-63.9802
4.972736,-63.9802,-63.97973
4.994939,-63.97973,-63.979816
5.016724,-63.979816,-63.980099
5.03724,-63.980099,-63.980157
5.05846,-63.980157,-63.979967
5.078574,-63.979967,-63.97976
5.099219,-63.97976,-63.979518
5.119955,-63.979518,-63.979132
5.141801,-63.979132,-63.978835
5.163354,-63.978835,-63.978467
5.18591,-63.978467,-63.977641
5.208138,-63.977641,-63.976308
5.229932,-63.976308,-63.97535
5.251416,-63.97535,-63.975525
5.272896,-63.975525,-63.976447
5.294943,-63.976447,-63.977439
5.31502,-63.977439,-63.978692
5.336527,-63.978692,-63.979655
5.358311,-63.979655,-63.980052
5.380261,-63.980052,-63.979908
5.401361,-63.979908,-63.979383
5.42263,-63.979383,-63.978931
5.442749,-63.978931,-63.978628
5.463814,-63.978628,-63.978963
5.484342,-63.978963,-63.98031
5.504912,-63.98031,-63.98247
5.526689,-63.98247,-63.984538
5.54785,-63.984538,-63.986206
5.569656,-63.986206,-63.987101
5.591064,-63.987101,-63.987235
5.612051,-63.987235,-63.987248
5.633144,-63.987248,-63.987317
5.655919,-63.987317,-63.987186
5.678353,-63.987186,-63.986773
5.700957,-63.986773,-63.986325
5.721608,-63.986325,-63.986016
5.742633,-63.986016,-63.986102
5.764904,-63.986102,-63.986726
5.786719,-63.986726,-63.987591
5.807597,-63.987591,-63.988416
5.828027,-63.988416,-63.989013
5.84924,-63.989013,-63.989386
5.869607,-63.989386,-63.989602
5.892365,-63.989602,-63.990137
5.914444,-63.990137,-63.991287
5.935052,-63.991287,-63.993063
5.955424,-63.993063,-63.995103
5.976948,-63.995103,-63.997024
5.998443,-63.997024,-63.998476
6.018568,-63.998476,-63.999546
6.03971,-63.999546,-64.000103
6.060756,-64.000103,-64.000309
6.082059,-64.000309,-64.000091
6.104871,-64.000091,-63.999278
6.125203,-63.999278,-63.998471
6.145372,-63.998471,-63.998036
6.16738,-63.998036,-63.998086
6.188311,-63.998086,-63.998489
6.208468,-63.998489,-63.998937
6.228898,-63.998937,-63.99931
6.24977,-63.99931,-63.999673
6.271273,-63.999673,-64.000212
6.292039,-64.000212,-64.001155
6.312975,-64.001155,-64.002215
6.335178,-64.002215,-64.003222
6.357294,-64.003222,-64.003969
6.378085,-64.003969,-64.005082
6.398374,-64.005082,-64.006794
6.418866,-64.006794,-64.008756
6.440577,-64.008756,-64.010579
6.46232,-64.010579,-64.011704
6.482963,-64.011704,-64.011814
6.505549,-64.011814,-64.010962
6.526097,-64.010962,-64.009539
6.547522,-64.009539,-64.008054
6.568099,-64.008054,-64.006694
6.588744,-64.006694,-64.005651
6.610157,-64.005651,-64.005173
6.631484,-64.005173,-64.00489
6.653526,-64.00489,-64.004348
6.674526,-64.004348,-64.003581
6.696155,-64.003581,-64.002697
6.716613,-64.002697,-64.001959
6.737354,-64.001959,-64.00129
6.758589,-64.00129,-64.000864
6.781084,-64.000864,-64.000674
6.804088,-64.000674,-64.000111
6.826537,-64.000111,-63.999219
6.847461,-63.999219,-63.9983
6.867554,-63.9983,-63.99811
6.889739,-63.99811,-63.999061
6.910884,-63.999061,-64.000975
6.931452,-64.000975,-64.003769
6.951984,-64.003769,-64.006751
6.973696,-64.006751,-64.008886
6.994205,-64.008886,-64.009996
7.014427,-64.009996,-64.010143
7.034882,-64.010143,-64.010515
7.05536,-64.010515,-64.011154
7.077758,-64.011154,-64.011889
7.099673,-64.011889,-64.012708
7.120136,-64.012708,-64.012946
7.142936,-64.012946,-64.012877
7.164507,-64.012877,-64.013058
7.185593,-64.013058,-64.013544
7.207335,-64.013544,-64.014175
7.229565,-64.014175,-64.014746
7.251591,-64.014746,-64.014968
7.272611,-64.014968,-64.014503
7.293351,-64.014503,-64.01347
7.313942,-64.01347,-64.01289
7.334428,-64.01289,-64.013154
7.354635,-64.013154,-64.013784
7.374973,-64.013784,-64.014711
7.395871,-64.014711,-64.01603
7.417409,-64.01603,-64.017277
7.438621,-64.017277,-64.018283
7.460291,-64.018283,-64.018661
7.482039,-64.018661,-64.018402
7.503555,-64.018402,-64.017819
7.523998,-64.017819,-64.0172
7.545826,-64.0172,-64.016644
7.568082,-64.016644,-64.016336
7.58881,-64.016336,-64.016377
7.611853,-64.016377,-64.016147
7.633035,-64.016147,-64.015409
7.653102,-64.015409,-64.014595
7.673634,-64.014595,-64.014295
7.695955,-64.014295,-64.014609
7.716725,-64.014609,-64.015057
7.738114,-64.015057,-64.016015
7.759695,-64.016015,-64.01723
7.781139,-64.01723,-64.018215
7.803369,-64.018215,-64.019076
7.823568,-64.019076,-64.019715
7.844509,-64.019715,-64.020365
7.866547,-64.020365,-64.021131
7.887783,-64.021131,-64.021683
7.909328,-64.021683,-64.021991
7.930218,-64.021991,-64.021889
7.952593,-64.021889,-64.02162
7.973818,-64.02162,-64.021069
7.994692,-64.021069,-64.020398
8.016484,-64.020398,-64.019818
8.038316,-64.019818,-64.019288
8.058486,-64.019288,-64.018362
8.079489,-64.018362,-64.017313
8.101604,-64.017313,-64.016773
8.122526,-64.016773,-64.016755
8.142995,-64.016755,-64.01726
8.163884,-64.01726,-64.01837
8.184483,-64.01837,-64.019756
8.205529,-64.019756,-64.020821
8.226869,-64.020821,-64.021686
8.247137,-64.021686,-64.022748
8.267138,-64.022748,-64.024538
8.28776,-64.024538,-64.026512
8.309259,-64.026512,-64.028255
8.331157,-64.028255,-64.029566
8.351635,-64.029566,-64.029915
8.37233,-64.029915,-64.029073
8.393551,-64.029073,-64.027924
8.41555,-64.027924,-64.02701
8.437695,-64.02701,-64.026541
8.459736,-64.026541,-64.026143
8.48063,-64.026143,-64.025848
8.502007,-64.025848,-64.025768
8.523638,-64.025768,-64.0259
8.546708,-64.0259,-64.026552
8.568414,-64.026552,-64.027418
8.589108,-64.027418,-64.027967
8.61025,-64.027967,-64.027907
8.630652,-64.027907,-64.02732
8.652431,-64.02732,-64.026579
8.67381,-64.026579,-64.026071
8.69553,-64.026071,-64.026122
8.716462,-64.026122,-64.026367
8.736625,-64.026367,-64.026001
8.75818,-64.026001,-64.025214
8.780074,-64.025214,-64.02447
8.800977,-64.02447,-64.02414
8.823355,-64.02414,-64.024365
8.844791,-64.024365,-64.024953
8.865801,-64.024953,-64.025703
8.887037,-64.025703,-64.025716
8.908749,-64.025716,-64.025448
8.929235,-64.025448,-64.025056
8.951569,-64.025056,-64.024187
8.973399,-64.024187,-64.023137
8.993455,-64.023137,-64.021571
9.014383,-64.021571,-64.019989
9.034479,-64.019989,-64.01904
9.055666,-64.01904,-64.019066
9.076777,-64.019066,-64.020234
9.098436,-64.020234,-64.021825
9.119159,-64.021825,-64.023436
9.13926,-64.023436,-64.024604
9.15989,-64.024604,-64.024916
9.181481,-64.024916,-64.024676
9.204001,-64.024676,-64.024339
9.226121,-64.024339,-64.024031
9.248278,-64.024031,-64.023677
9.270352,-64.023677,-64.023219
9.291275,-64.023219,-64.022838
9.31207,-64.022838,-64.022433
9.333129,-64.022433,-64.022081
9.354496,-64.022081,-64.021725
9.375741,-64.021725,-64.021784
9.396611,-64.021784,-64.022548
9.417747,-64.022548,-64.023952
9.439449,-64.023952,-64.025594
9.45989,-64.025594,-64.027763
9.481501,-64.027763,-64.030005
9.502423,-64.030005,-64.031636
9.524015,-64.031636,-64.032413
9.545924,-64.032413,-64.032614
9.56684,-64.032614,-64.032581
9.588615,-64.032581,-64.032453
9.610463,-64.032453,-64.032149
9.631003,-64.032149,-64.032033
9.651176,-64.032033,-64.032224
9.671426,-64.032224,-64.03274
9.69316,-64.03274,-64.033635
9.714237,-64.033635,-64.034364
9.734949,-64.034364,-64.034978
9.756413,-64.034978,-64.035198
9.777221,-64.035198,-64.034808
9.798411,-64.034808,-64.033986
9.820063,-64.033986,-64.033268
9.840901,-64.033268,-64.032993
9.860972,-64.032993,-64.033041
9.882751,-64.033041,-64.033423
9.905211,-64.033423,-64.034035
9.927555,-64.034035,-64.034659
9.949745,-64.034659,-64.035438
9.971043,-64.035438,-64.035937
9.992791,-64.035937,-64.036185
10.014636,-64.036185,-64.036338
10.035471,-64.036338,-64.036429
10.056866,-64.036429,-64.036747
10.077324,-64.036747,-64.037003
10.09985,-64.037003,-64.037261
10.120032,-64.037261,-64.037392
10.143177,-64.037392,-64.036978
10.164012,-64.036978,-64.03634
10.186193,-64.03634,-64.035428
10.207413,-64.035428,-64.034182
10.229205,-64.034182,-64.032865
10.250377,-64.032865,-64.03175
10.271768,-64.03175,-64.031035
10.2921,-64.031035,-64.030672
10.314737,-64.030672,-64.030708
10.336968,-64.030708,-64.030863
10.358218,-64.030863,-64.030538
10.380296,-64.030538,-64.029919
10.400953,-64.029919,-64.028827
10.421309,-64.028827,-64.027277
10.442238,-64.027277,-64.025606
10.462312,-64.025606,-64.024173
10.482511,-64.024173,-64.02348
10.504453,-64.02348,-64.023805
10.524886,-64.023805,-64.025241
10.545427,-64.025241,-64.027218
10.567214,-64.027218,-64.028665
10.58723,-64.028665,-64.029349
10.609197,-64.029349,-64.028946
10.630848,-64.028946,-64.028602
10.6515,-64.028602,-64.028484
10.672013,-64.028484,-64.028566
10.693745,-64.028566,-64.028583
10.715457,-64.028583,-64.028302
10.736826,-64.028302,-64.027398
10.758906,-64.027398,-64.02609
10.78061,-64.02609,-64.025084
10.802063,-64.025084,-64.024668
10.823995,-64.024668,-64.024811
10.844839,-64.024811,-64.025111
10.867141,-64.025111,-64.025243
10.888439,-64.025243,-64.025448
10.910825,-64.025448,-64.025973
10.93232,-64.025973,-64.026515
10.954624,-64.026515,-64.026881
10.97569,-64.026881,-64.027411
10.99607,-64.027411,-64.027803
11.0162,-64.027803,-64.028086
11.038997,-64.028086,-64.02885
11.05913,-64.02885,-64.03038
11.080697,-64.03038,-64.032309
11.1026,-64.032309,-64.03404
11.124572,-64.03404,-64.035177
11.145378,-64.035177,-64.035488
11.166896,-64.035488,-64.035065
11.187518,-64.035065,-64.034304
11.209346,-64.034304,-64.033276
11.229665,-64.033276,-64.032197
11.251459,-64.032197,-64.031598
11.272244,-64.031598,-64.031283
11.293101,-64.031283,-64.031039
11.315054,-64.031039,-64.031459
11.335878,-64.031459,-64.032219
11.357444,-64.032219,-64.032701
11.379489,-64.032701,-64.032935
11.401399,-64.032935,-64.033117
11.422816,-64.033117,-64.033113
11.445668,-64.033113,-64.032652
11.465855,-64.032652,-64.032522
11.487219,-64.032522,-64.032738
11.509788,-64.032738,-64.032729
11.530145,-64.032729,-64.03293
11.551864,-64.03293,-64.033428
11.573273,-64.033428,-64.034013
11.595581,-64.034013,-64.034306
11.616182,-64.034306,-64.034321
11.639203,-64.034321,-64.034359
11.661866,-64.034359,-64.033817
11.684088,-64.033817,-64.033093
11.705628,-64.033093,-64.032727
11.728036,-64.032727,-64.032846
11.750957,-64.032846,-64.033169
11.771179,-64.033169,-64.033557
11.792736,-64.033557,-64.034048
11.813003,-64.034048,-64.033876
11.835296,-64.033876,-64.032998
11.85737,-64.032998,-64.032212
