file_N:23,train,seed:None,percent:2537,integrated,n:4,N:4
t,V,V'
1579.531687,-59.884954,-59.861537
1579.552569,-59.861537,-59.838722
1579.573553,-59.838722,-59.816681
1579.594701,-59.816681,-59.796394
1579.614798,-59.796394,-59.776803
1579.635035,-59.776803,-59.757662
1579.65542,-59.757662,-59.738757
1579.675865,-59.738757,-59.720855
1579.696464,-59.720855,-59.704168
1579.717395,-59.704168,-59.689537
1579.737395,-59.689537,-59.676379
1579.757817,-59.676379,-59.664759
1579.778819,-59.664759,-59.654767
1579.799009,-59.654767,-59.644939
1579.81943,-59.644939,-59.635277
1579.839906,-59.635277,-59.62619
1579.860587,-59.62619,-59.617415
1579.881511,-59.617415,-59.609118
1579.902635,-59.609118,-59.601994
1579.922678,-59.601994,-59.595748
1579.94323,-59.595748,-59.590135
1579.964381,-59.590135,-59.585513
1579.984512,-59.585513,-59.581893
1580.005485,-59.581893,-59.579793
1580.026465,-59.579793,-59.579061
1580.046506,-59.579061,-59.579509
1580.067509,-59.579509,-59.581167
1580.088425,-59.581167,-59.584372
1580.109703,-59.584372,-59.588622
1580.131018,-59.588622,-59.593363
1580.151632,-59.593363,-59.598839
1580.171644,-59.598839,-59.60562
1580.192453,-59.60562,-59.613229
1580.212678,-59.613229,-59.622547
1580.233709,-59.622547,-59.633156
1580.254091,-59.633156,-59.64575
1580.275232,-59.64575,-59.659442
1580.295911,-59.659442,-59.674431
1580.316184,-59.674431,-59.691889
1580.33725,-59.691889,-59.710683
1580.35791,-59.710683,-59.730137
1580.378314,-59.730137,-59.750128
1580.398594,-59.750128,-59.770849
1580.418718,-59.770849,-59.793479
1580.439862,-59.793479,-59.816896
1580.460855,-59.816896,-59.841777
1580.481615,-59.841777,-59.868192
1580.502082,-59.868192,-59.896223
1580.522271,-59.896223,-59.927212
1580.543321,-59.927212,-59.959604
1580.564156,-59.959604,-59.993274
1580.584794,-59.993274,-60.027901
1580.605279,-60.027901,-60.063184
1580.625667,-60.063184,-60.099371
1580.645954,-60.099371,-60.136256
1580.666147,-60.136256,-60.173995
1580.686249,-60.173995,-60.212621
1580.70625,-60.212621,-60.254226
1580.7272,-60.254226,-60.296881
1580.748042,-60.296881,-60.340703
1580.768765,-60.340703,-60.385546
1580.789378,-60.385546,-60.430892
1580.809917,-60.430892,-60.475887
1580.830469,-60.475887,-60.520297
1580.851086,-60.520297,-60.564463
1580.871769,-60.564463,-60.608971
1580.892448,-60.608971,-60.653749
1580.913108,-60.653749,-60.698887
1580.933748,-60.698887,-60.74403
1580.954375,-60.74403,-60.788167
1580.975075,-60.788167,-60.830703
1580.995942,-60.830703,-60.869412
1581.015967,-60.869412,-60.906903
1581.036187,-60.906903,-60.943391
1581.056549,-60.943391,-60.978405
1581.077094,-60.978405,-61.012062
1581.097856,-61.012062,-61.044595
1581.118803,-61.044595,-61.07424
1581.138829,-61.07424,-61.102586
1581.159064,-61.102586,-61.129768
1581.17952,-61.129768,-61.155628
1581.2002,-61.155628,-61.17907
1581.221253,-61.17907,-61.198036
1581.241758,-61.198036,-61.212879
1581.261843,-61.212879,-61.224343
1581.282993,-61.224343,-61.230921
1581.302995,-61.230921,-61.233718
1581.32421,-61.233718,-61.233424
1581.346247,-61.233424,-61.230578
1581.367999,-61.230578,-61.225421
1581.389405,-61.225421,-61.218346
1581.410722,-61.218346,-61.209859
