file_N:25,train,seed:None,percent:10000,measured,n:1,N:1
t,I,V,I',V'
0.0,-0.03953,-60.37058,-0.03968,-60.38097
0.01,-0.03968,-60.38097,-0.03993,-60.39121
0.02,-0.03993,-60.39121,-0.04027,-60.37949
0.03,-0.04027,-60.37949,-0.04062,-60.36342
0.04,-0.04062,-60.36342,-0.04117,-60.37542
0.05,-0.04117,-60.37542,-0.04177,-60.39297
0.06,-0.04177,-60.39297,-0.04209,-60.3946
0.07,-0.04209,-60.3946,-0.04236,-60.39309
0.08,-0.04236,-60.39309,-0.04229,-60.38602
0.09,-0.04229,-60.38602,-0.04215,-60.37787
0.1,-0.04215,-60.37787,-0.04206,-60.37992
0.11,-0.04206,-60.37992,-0.04197,-60.384
0.12,-0.04197,-60.384,-0.04132,-60.37114
0.13,-0.04132,-60.37114,-0.04055,-60.35492
0.14,-0.04055,-60.35492,-0.04003,-60.34791
0.15,-0.04003,-60.34791,-0.03956,-60.34273
0.16,-0.03956,-60.34273,-0.03925,-60.34245
0.17,-0.03925,-60.34245,-0.03897,-60.34314
0.18,-0.03897,-60.34314,-0.03879,-60.34428
0.19,-0.03879,-60.34428,-0.03862,-60.3455
0.2,-0.03862,-60.3455,-0.0387,-60.36446
0.21,-0.0387,-60.36446,-0.03884,-60.38694
0.22,-0.03884,-60.38694,-0.03922,-60.39546
0.23,-0.03922,-60.39546,-0.03965,-60.40123
0.24,-0.03965,-60.40123,-0.04024,-60.39613
0.25,-0.04024,-60.39613,-0.04085,-60.38888
0.26,-0.04085,-60.38888,-0.04155,-60.37526
0.27,-0.04155,-60.37526,-0.04225,-60.36039
0.28,-0.04225,-60.36039,-0.04279,-60.34581
0.29,-0.04279,-60.34581,-0.04329,-60.33129
0.3,-0.04329,-60.33129,-0.04373,-60.33176
0.31,-0.04373,-60.33176,-0.04415,-60.33519
0.32,-0.04415,-60.33519,-0.04387,-60.33914
0.33,-0.04387,-60.33914,-0.04345,-60.34318
0.34,-0.04345,-60.34318,-0.04281,-60.34151
0.35000000000000003,-0.04281,-60.34151,-0.04213,-60.3387
0.36,-0.04213,-60.3387,-0.04149,-60.34747
0.37,-0.04149,-60.34747,-0.04086,-60.35854
0.38,-0.04086,-60.35854,-0.04038,-60.38056
0.39,-0.04038,-60.38056,-0.03992,-60.40475
0.4,-0.03992,-60.40475,-0.03952,-60.40754
0.41000000000000003,-0.03952,-60.40754,-0.03913,-60.40609
0.42,-0.03913,-60.40609,-0.03921,-60.406
0.43,-0.03921,-60.406,-0.03939,-60.40618
0.44,-0.03939,-60.40618,-0.0395,-60.40673
0.45,-0.0395,-60.40673,-0.03961,-60.40736
0.46,-0.03961,-60.40736,-0.0395,-60.39347
0.47000000000000003,-0.0395,-60.39347,-0.03936,-60.37669
0.48,-0.03936,-60.37669,-0.03931,-60.36075
0.49,-0.03931,-60.36075,-0.03928,-60.34498
0.5,-0.03928,-60.34498,-0.0393,-60.3214
0.51,-0.0393,-60.3214,-0.03934,-60.29626
0.52,-0.03934,-60.29626,-0.0395,-60.29458
0.53,-0.0395,-60.29458,-0.03969,-60.29755
0.54,-0.03969,-60.29755,-0.0398,-60.30824
0.55,-0.0398,-60.30824,-0.03988,-60.32046
0.56,-0.03988,-60.32046,-0.03991,-60.32294
0.5700000000000001,-0.03991,-60.32294,-0.03992,-60.32348
0.58,-0.03992,-60.32348,-0.04027,-60.32776
0.59,-0.04027,-60.32776,-0.04069,-60.33278
0.6,-0.04069,-60.33278,-0.0406,-60.32685
0.61,-0.0406,-60.32685,-0.04042,-60.31874
0.62,-0.04042,-60.31874,-0.04036,-60.30999
0.63,-0.04036,-60.30999,-0.04032,-60.3011
0.64,-0.04032,-60.3011,-0.04047,-60.3025
0.65,-0.04047,-60.3025,-0.04065,-60.30593
0.66,-0.04065,-60.30593,-0.04034,-60.2985
0.67,-0.04034,-60.2985,-0.03993,-60.2889
0.68,-0.03993,-60.2889,-0.03963,-60.29474
0.6900000000000001,-0.03963,-60.29474,-0.03935,-60.30364
0.7000000000000001,-0.03935,-60.30364,-0.03946,-60.31155
0.71,-0.03946,-60.31155,-0.03964,-60.31926
0.72,-0.03964,-60.31926,-0.03985,-60.31279
0.73,-0.03985,-60.31279,-0.04008,-60.30351
0.74,-0.04008,-60.30351,-0.0404,-60.30753
0.75,-0.0404,-60.30753,-0.04074,-60.31418
0.76,-0.04074,-60.31418,-0.04097,-60.31323
0.77,-0.04097,-60.31323,-0.04118,-60.31077
0.78,-0.04118,-60.31077,-0.04158,-60.31359
0.79,-0.04158,-60.31359,-0.04201,-60.31745
0.8,-0.04201,-60.31745,-0.04213,-60.32173
0.81,-0.04213,-60.32173,-0.04219,-60.32609
0.8200000000000001,-0.04219,-60.32609,-0.04198,-60.3229
0.8300000000000001,-0.04198,-60.3229,-0.04171,-60.31821
0.84,-0.04171,-60.31821,-0.04143,-60.31823
0.85,-0.04143,-60.31823,-0.04116,-60.31919
0.86,-0.04116,-60.31919,-0.04081,-60.31743
0.87,-0.04081,-60.31743,-0.04044,-60.31514
0.88,-0.04044,-60.31514,-0.04036,-60.31039
0.89,-0.04036,-60.31039,-0.04033,-60.30516
0.9,-0.04033,-60.30516,-0.04028,-60.31817
0.91,-0.04028,-60.31817,-0.04023,-60.33482
0.92,-0.04023,-60.33482,-0.0402,-60.34306
0.93,-0.0402,-60.34306,-0.04017,-60.34963
0.9400000000000001,-0.04017,-60.34963,-0.0402,-60.34537
0.9500000000000001,-0.0402,-60.34537,-0.04024,-60.33894
0.96,-0.04024,-60.33894,-0.0404,-60.33953
0.97,-0.0404,-60.33953,-0.04059,-60.34151
0.98,-0.04059,-60.34151,-0.04071,-60.3317
0.99,-0.04071,-60.3317,-0.04082,-60.31955
1.0,-0.04082,-60.31955,-0.04062,-60.31644
1.01,-0.04062,-60.31644,-0.04035,-60.31514
