file_N:22,train,seed:None,percent:5275,measured,n:2,N:4
t,I,V,V'
527.5,-0.10042,-54.36724,-54.3895
527.51,-0.10017,-54.3895,-54.40884
527.52,-0.10015,-54.40884,-54.43434
527.53,-0.10015,-54.43434,-54.47008
527.54,-0.1002,-54.47008,-54.50649
527.55,-0.10026,-54.50649,-54.54405
527.5600000000001,-0.10033,-54.54405,-54.56855
527.57,-0.10025,-54.56855,-54.57141
527.58,-0.09992,-54.57141,-54.58217
527.59,-0.09968,-54.58217,-54.60605
527.6,-0.09956,-54.60605,-54.62689
527.61,-0.09908,-54.62689,-54.64269
527.62,-0.098,-54.64269,-54.64973
527.63,-0.09691,-54.64973,-54.6422
527.64,-0.0958,-54.6422,-54.64092
527.65,-0.09489,-54.64092,-54.65002
527.66,-0.09431,-54.65002,-54.65399
527.67,-0.09363,-54.65399,-54.64947
527.6800000000001,-0.09279,-54.64947,-54.65129
527.69,-0.09207,-54.65129,-54.66366
527.7,-0.09154,-54.66366,-54.67603
527.71,-0.09127,-54.67603,-54.68838
527.72,-0.0914,-54.68838,-54.69681
527.73,-0.0914,-54.69681,-54.69872
527.74,-0.09117,-54.69872,-54.70227
527.75,-0.09092,-54.70227,-54.70853
527.76,-0.09063,-54.70853,-54.71182
527.77,-0.09027,-54.71182,-54.71019
527.78,-0.0898,-54.71019,-54.70756
527.79,-0.08947,-54.70756,-54.70328
527.8,-0.08935,-54.70328,-54.7052
527.8100000000001,-0.08923,-54.7052,-54.7174
527.82,-0.0891,-54.7174,-54.72974
527.83,-0.08872,-54.72974,-54.74229
527.84,-0.08793,-54.74229,-54.75518
527.85,-0.08715,-54.75518,-54.76864
527.86,-0.0864,-54.76864,-54.78395
527.87,-0.08564,-54.78395,-54.80235
527.88,-0.08485,-54.80235,-54.81757
527.89,-0.08397,-54.81757,-54.82751
527.9,-0.08293,-54.82751,-54.83332
527.91,-0.08195,-54.83332,-54.83226
527.92,-0.08106,-54.83226,-54.83812
527.9300000000001,-0.08027,-54.83812,-54.85548
527.94,-0.07967,-54.85548,-54.87052
527.95,-0.07915,-54.87052,-54.88171
527.96,-0.07878,-54.88171,-54.895
527.97,-0.07844,-54.895,-54.91176
527.98,-0.07814,-54.91176,-54.93215
527.99,-0.07782,-54.93215,-54.95855
528.0,-0.07749,-54.95855,-54.98185
528.01,-0.07689,-54.98185,-54.99998
528.02,-0.07584,-54.99998,-55.01945
528.03,-0.07469,-55.01945,-55.04113
528.04,-0.07339,-55.04113,-55.05672
528.05,-0.07224,-55.05672,-55.06217
528.0600000000001,-0.07136,-55.06217,-55.06485
528.07,-0.07042,-55.06485,-55.06293
528.08,-0.06941,-55.06293,-55.06477
528.09,-0.06824,-55.06477,-55.07284
528.1,-0.06682,-55.07284,-55.07701
528.11,-0.06552,-55.07701,-55.07468
528.12,-0.06442,-55.07468,-55.07811
528.13,-0.06347,-55.07811,-55.09111
528.14,-0.06276,-55.09111,-55.09902
528.15,-0.06201,-55.09902,-55.09847
528.16,-0.06117,-55.09847,-55.09994
528.17,-0.06029,-55.09994,-55.10474
528.1800000000001,-0.05935,-55.10474,-55.10941
528.19,-0.05849,-55.10941,-55.11383
528.2,-0.05776,-55.11383,-55.11335
528.21,-0.057,-55.11335,-55.10469
528.22,-0.05615,-55.10469,-55.09509
528.23,-0.05523,-55.09509,-55.08389
528.24,-0.05416,-55.08389,-55.073
528.25,-0.05307,-55.073,-55.06263
528.26,-0.05192,-55.06263,-55.05911
528.27,-0.05051,-55.05911,-55.06697
528.28,-0.04867,-55.06697,-55.077
528.29,-0.04662,-55.077,-55.09064
528.3,-0.04421,-55.09064,-55.09843
528.3100000000001,-0.04109,-55.09843,-55.0965
528.32,-0.0368,-55.0965,-55.08988
528.33,-0.03173,-55.08988,-55.07546
528.34,-0.02539,-55.07546,-55.06741
528.35,-0.01847,-55.06741,-55.06993
528.36,-0.01056,-55.06993,-55.07122
528.37,-0.0021,-55.07122,-55.07042
528.38,0.00732,-55.07042,-55.06038
528.39,0.01736,-55.06038,-55.03495
528.4,0.02847,-55.03495,-55.00841
528.41,0.03955,-55.00841,-54.98002
528.42,0.05062,-54.98002,-54.95001
528.4300000000001,0.06201,-54.95001,-54.91728
528.44,0.07393,-54.91728,-54.87457
528.45,0.086,-54.87457,-54.81525
528.46,0.09833,-54.81525,-54.75457
528.47,0.11085,-54.75457,-54.69162
528.48,0.12371,-54.69162,-54.62438
528.49,0.1367,-54.62438,-54.54998
528.5,0.14993,-54.54998,-54.48705
528.51,0.163,-54.48705,-54.44319
528.52,0.17581,-54.44319,-54.39591
528.53,0.18855,-54.39591,-54.34295
528.54,0.20119,-54.34295,-54.28429
528.55,0.21417,-54.28429,-54.21612
528.5600000000001,0.22771,-54.21612,-54.15082
528.57,0.2411,-54.15082,-54.09032
528.58,0.2542,-54.09032,-54.02028
528.59,0.26767,-54.02028,-53.93438
528.6,0.28171,-53.93438,-53.844
528.61,0.29605,-53.844,-53.74618
528.62,0.31088,-53.74618,-53.64909
528.63,0.32565,-53.64909,-53.55325
528.64,0.34033,-53.55325,-53.45093
528.65,0.3551,-53.45093,-53.33785
528.66,0.36998,-53.33785,-53.22448
528.67,0.38478,-53.22448,-53.11063
528.6800000000001,0.39941,-53.11063,-52.99439
528.69,0.41376,-52.99439,-52.87415
528.7,0.42761,-52.87415,-52.75105
528.71,0.44145,-52.75105,-52.62317
528.72,0.45528,-52.62317,-52.50244
528.73,0.4693,-52.50244,-52.39365
528.74,0.48366,-52.39365,-52.27927
528.75,0.498,-52.27927,-52.15559
528.76,0.51231,-52.15559,-52.03346
528.77,0.52678,-52.03346,-51.91393
528.78,0.5415,-51.91393,-51.79183
528.79,0.55635,-51.79183,-51.66544
528.8,0.57139,-51.66544,-51.53371
528.8100000000001,0.58649,-51.53371,-51.39309
528.82,0.6017,-51.39309,-51.25241
528.83,0.6169,-51.25241,-51.11159
528.84,0.63212,-51.11159,-50.96719
528.85,0.64725,-50.96719,-50.8168
528.86,0.66226,-50.8168,-50.66398
528.87,0.67728,-50.66398,-50.50712
528.88,0.69232,-50.50712,-50.35316
528.89,0.70736,-50.35316,-50.20404
528.9,0.72239,-50.20404,-50.05199
528.91,0.73718,-50.05199,-49.89506
528.92,0.75159,-49.89506,-49.73466
528.9300000000001,0.76592,-49.73466,-49.56847
528.94,0.78012,-49.56847,-49.40179
528.95,0.79432,-49.40179,-49.23429
528.96,0.80853,-49.23429,-49.06239
528.97,0.82267,-49.06239,-48.88315
528.98,0.83672,-48.88315,-48.7036
528.99,0.85074,-48.7036,-48.52356
529.0,0.86472,-48.52356,-48.35061
529.01,0.87862,-48.35061,-48.1895
529.02,0.89236,-48.1895,-48.02568
529.03,0.90593,-48.02568,-47.85734
529.04,0.91921,-47.85734,-47.69337
529.05,0.93225,-47.69337,-47.53671
529.0600000000001,0.94487,-47.53671,-47.3854
529.07,0.95731,-47.3854,-47.24304
529.08,0.96946,-47.24304,-47.08989
529.09,0.98153,-47.08989,-46.91874
529.1,0.99348,-46.91874,-46.74905
529.11,1.00519,-46.74905,-46.5818
529.12,1.01653,-46.5818,-46.39927
529.13,1.02788,-46.39927,-46.19125
529.14,1.03925,-46.19125,-45.98314
529.15,1.05045,-45.98314,-45.77489
529.16,1.06137,-45.77489,-45.57088
529.17,1.07217,-45.57088,-45.37397
529.1800000000001,1.08276,-45.37397,-45.1729
529.19,1.09323,-45.1729,-44.96488
529.2,1.10351,-44.96488,-44.76847
529.21,1.11359,-44.76847,-44.59144
529.22,1.12333,-44.59144,-44.41522
529.23,1.13274,-44.41522,-44.24034
