file_N:17,train,seed:None,percent:10000,measured,n:2,N:2
t,I,V,I',V'
1054.99,-0.17875,-82.82589,-0.1777,-82.81148
1055.0,-0.1777,-82.81148,-0.17666,-82.79612
1055.01,-0.17666,-82.79612,-0.17545,-82.78478
1055.02,-0.17545,-82.78478,-0.17422,-82.77379
1055.03,-0.17422,-82.77379,-0.17314,-82.75165
1055.04,-0.17314,-82.75165,-0.17207,-82.7285
1055.05,-0.17207,-82.7285,-0.1713,-82.72214
1055.06,-0.1713,-82.72214,-0.17055,-82.7173
1055.07,-0.17055,-82.7173,-0.16983,-82.72328
1055.08,-0.16983,-82.72328,-0.16911,-82.73023
1055.09,-0.16911,-82.73023,-0.16824,-82.72305
1055.1,-0.16824,-82.72305,-0.16736,-82.7146
1055.1100000000001,-0.16736,-82.7146,-0.16658,-82.71434
1055.1200000000001,-0.16658,-82.71434,-0.16582,-82.71482
1055.13,-0.16582,-82.71482,-0.16516,-82.708
1055.14,-0.16516,-82.708,-0.16451,-82.70051
1055.15,-0.16451,-82.70051,-0.16402,-82.68647
1055.16,-0.16402,-82.68647,-0.16355,-82.67184
1055.17,-0.16355,-82.67184,-0.16312,-82.67625
1055.18,-0.16312,-82.67625,-0.1627,-82.68238
1055.19,-0.1627,-82.68238,-0.16214,-82.66745
1055.2,-0.16214,-82.66745,-0.16157,-82.65062
1055.21,-0.16157,-82.65062,-0.16082,-82.62789
1055.22,-0.16082,-82.62789,-0.16006,-82.60462
1055.23,-0.16006,-82.60462,-0.15923,-82.60345
1055.24,-0.15923,-82.60345,-0.15839,-82.60428
1055.25,-0.15839,-82.60428,-0.15758,-82.58653
1055.26,-0.15758,-82.58653,-0.15676,-82.56711
1055.27,-0.15676,-82.56711,-0.15623,-82.55218
1055.28,-0.15623,-82.55218,-0.15572,-82.53765
1055.29,-0.15572,-82.53765,-0.1558,-82.53184
1055.3,-0.1558,-82.53184,-0.15594,-82.52682
1055.31,-0.15594,-82.52682,-0.15596,-82.52895
1055.32,-0.15596,-82.52895,-0.15596,-82.53172
1055.33,-0.15596,-82.53172,-0.1556,-82.53614
1055.34,-0.1556,-82.53614,-0.1552,-82.54072
1055.35,-0.1552,-82.54072,-0.15485,-82.54637
1055.3600000000001,-0.15485,-82.54637,-0.15451,-82.55212
1055.3700000000001,-0.15451,-82.55212,-0.15378,-82.54516
1055.38,-0.15378,-82.54516,-0.15302,-82.53705
1055.39,-0.15302,-82.53705,-0.1521,-82.5395
1055.4,-0.1521,-82.5395,-0.15116,-82.5429
1055.41,-0.15116,-82.5429,-0.15043,-82.54257
1055.42,-0.15043,-82.54257,-0.14972,-82.54191
1055.43,-0.14972,-82.54191,-0.14865,-82.52877
1055.44,-0.14865,-82.52877,-0.14755,-82.51451
1055.45,-0.14755,-82.51451,-0.14732,-82.49803
1055.46,-0.14732,-82.49803,-0.14717,-82.48135
1055.47,-0.14717,-82.48135,-0.14735,-82.46894
1055.48,-0.14735,-82.46894,-0.14757,-82.45692
1055.49,-0.14757,-82.45692,-0.14756,-82.4303
1055.5,-0.14756,-82.4303,-0.14754,-82.40236
1055.51,-0.14754,-82.40236,-0.14778,-82.39415
1055.52,-0.14778,-82.39415,-0.14804,-82.38772
1055.53,-0.14804,-82.38772,-0.14797,-82.37417
1055.54,-0.14797,-82.37417,-0.14787,-82.35997
1055.55,-0.14787,-82.35997,-0.14729,-82.37273
1055.56,-0.14729,-82.37273,-0.14667,-82.38794
1055.57,-0.14667,-82.38794,-0.14605,-82.38675
1055.58,-0.14605,-82.38675,-0.14544,-82.38408
1055.59,-0.14544,-82.38408,-0.1445,-82.37553
1055.6,-0.1445,-82.37553,-0.14354,-82.36644
1055.6100000000001,-0.14354,-82.36644,-0.14317,-82.36822
1055.6200000000001,-0.14317,-82.36822,-0.14286,-82.37097
1055.63,-0.14286,-82.37097,-0.14286,-82.36584
1055.64,-0.14286,-82.36584,-0.14288,-82.36
1055.65,-0.14288,-82.36,-0.1428,-82.34265
1055.66,-0.1428,-82.34265,-0.14271,-82.32425
1055.67,-0.14271,-82.32425,-0.14251,-82.31251
1055.68,-0.14251,-82.31251,-0.1423,-82.30138
1055.69,-0.1423,-82.30138,-0.1419,-82.2962
1055.7,-0.1419,-82.2962,-0.14149,-82.29156
1055.71,-0.14149,-82.29156,-0.14132,-82.2929
1055.72,-0.14132,-82.2929,-0.14117,-82.29479
1055.73,-0.14117,-82.29479,-0.14113,-82.28474
1055.74,-0.14113,-82.28474,-0.14109,-82.27361
1055.75,-0.14109,-82.27361,-0.1411,-82.27115
1055.76,-0.1411,-82.27115,-0.14111,-82.26949
1055.77,-0.14111,-82.26949,-0.14123,-82.27487
1055.78,-0.14123,-82.27487,-0.14136,-82.2809
1055.79,-0.14136,-82.2809,-0.14118,-82.29188
1055.8,-0.14118,-82.29188,-0.14096,-82.3033
1055.81,-0.14096,-82.3033,-0.14068,-82.31481
1055.82,-0.14068,-82.31481,-0.1404,-82.32632
1055.83,-0.1404,-82.32632,-0.13997,-82.33692
1055.84,-0.13997,-82.33692,-0.13952,-82.34744
1055.85,-0.13952,-82.34744,-0.13902,-82.35399
1055.8600000000001,-0.13902,-82.35399,-0.13851,-82.36018
1055.8700000000001,-0.13851,-82.36018,-0.13818,-82.35829
1055.88,-0.13818,-82.35829,-0.13787,-82.35567
1055.89,-0.13787,-82.35567,-0.1379,-82.34799
1055.9,-0.1379,-82.34799,-0.13797,-82.33985
1055.91,-0.13797,-82.33985,-0.1382,-82.30413
1055.92,-0.1382,-82.30413,-0.13845,-82.2659
1055.93,-0.13845,-82.2659,-0.13854,-82.23964
1055.94,-0.13854,-82.23964,-0.13861,-82.21447
1055.95,-0.13861,-82.21447,-0.13853,-82.20456
1055.96,-0.13853,-82.20456,-0.13844,-82.19604
1055.97,-0.13844,-82.19604,-0.13836,-82.1897
1055.98,-0.13836,-82.1897,-0.13828,-82.18356
1055.99,-0.13828,-82.18356,-0.13806,-82.19599
