file_N:26,train,seed:None,percent:5025,measured,n:2,N:4
t,I,V,V'
502.5,-0.0796,-62.46144,-62.45164
502.51,-0.07987,-62.45164,-62.42298
502.52000000000004,-0.08008,-62.42298,-62.40553
502.53000000000003,-0.08026,-62.40553,-62.4071
502.54,-0.08036,-62.4071,-62.4141
502.55,-0.08055,-62.4141,-62.43033
502.56,-0.08089,-62.43033,-62.44308
502.57,-0.08096,-62.44308,-62.44992
502.58,-0.08059,-62.44992,-62.45365
502.59000000000003,-0.08022,-62.45365,-62.4521
502.6,-0.07987,-62.4521,-62.45451
502.61,-0.0796,-62.45451,-62.46366
502.62,-0.07948,-62.46366,-62.4795
502.63,-0.07936,-62.4795,-62.50673
502.64,-0.07925,-62.50673,-62.52447
502.65000000000003,-0.07921,-62.52447,-62.52607
502.66,-0.07928,-62.52607,-62.52385
502.67,-0.07926,-62.52385,-62.51511
502.68,-0.07908,-62.51511,-62.51084
502.69,-0.0789,-62.51084,-62.51416
502.7,-0.07873,-62.51416,-62.51722
502.71000000000004,-0.07858,-62.51722,-62.51985
502.72,-0.07846,-62.51985,-62.52025
502.73,-0.07825,-62.52025,-62.51688
502.74,-0.0779,-62.51688,-62.51455
502.75,-0.07756,-62.51455,-62.51397
502.76,-0.07723,-62.51397,-62.51726
502.77000000000004,-0.07694,-62.51726,-62.52712
502.78000000000003,-0.07669,-62.52712,-62.54024
502.79,-0.07631,-62.54024,-62.55892
502.8,-0.0757,-62.55892,-62.56814
502.81,-0.07537,-62.56814,-62.56129
502.82,-0.07554,-62.56129,-62.55376
502.83,-0.07575,-62.55376,-62.54509
502.84000000000003,-0.07604,-62.54509,-62.53611
502.85,-0.07632,-62.53611,-62.52658
502.86,-0.07662,-62.52658,-62.51762
502.87,-0.07683,-62.51762,-62.50963
502.88,-0.07693,-62.50963,-62.498
502.89,-0.07688,-62.498,-62.4802
502.90000000000003,-0.07659,-62.4802,-62.46502
502.91,-0.07625,-62.46502,-62.4543
502.92,-0.07586,-62.4543,-62.44464
502.93,-0.07533,-62.44464,-62.43676
502.94,-0.07456,-62.43676,-62.43036
502.95,-0.07394,-62.43036,-62.42648
502.96000000000004,-0.07354,-62.42648,-62.42625
502.97,-0.07343,-62.42625,-62.43225
502.98,-0.0738,-62.43225,-62.43631
502.99,-0.07407,-62.43631,-62.43707
503.0,-0.07416,-62.43707,-62.44167
503.01,-0.07427,-62.44167,-62.45282
503.02000000000004,-0.07444,-62.45282,-62.46523
503.03000000000003,-0.07458,-62.46523,-62.47979
503.04,-0.07469,-62.47979,-62.48803
503.05,-0.07455,-62.48803,-62.48551
503.06,-0.07399,-62.48551,-62.4913
503.07,-0.07359,-62.4913,-62.51127
503.08,-0.07343,-62.51127,-62.52592
503.09000000000003,-0.0732,-62.52592,-62.53151
503.1,-0.07284,-62.53151,-62.52883
503.11,-0.07256,-62.52883,-62.51204
503.12,-0.0724,-62.51204,-62.49999
503.13,-0.07227,-62.49999,-62.49602
503.14,-0.0722,-62.49602,-62.49045
503.15000000000003,-0.07216,-62.49045,-62.48215
503.16,-0.07218,-62.48215,-62.47209
503.17,-0.07213,-62.47209,-62.45904
503.18,-0.07193,-62.45904,-62.44794
503.19,-0.07179,-62.44794,-62.44014
503.2,-0.07174,-62.44014,-62.43503
503.21000000000004,-0.07167,-62.43503,-62.43446
503.22,-0.07154,-62.43446,-62.43803
503.23,-0.07153,-62.43803,-62.44863
503.24,-0.07172,-62.44863,-62.45355
503.25,-0.07174,-62.45355,-62.44878
503.26,-0.07145,-62.44878,-62.44267
503.27000000000004,-0.07122,-62.44267,-62.43428
503.28000000000003,-0.07109,-62.43428,-62.43142
503.29,-0.07087,-62.43142,-62.43799
503.3,-0.07051,-62.43799,-62.44744
503.31,-0.07017,-62.44744,-62.46177
503.32,-0.06989,-62.46177,-62.47245
503.33,-0.06959,-62.47245,-62.47689
503.34000000000003,-0.06928,-62.47689,-62.48598
503.35,-0.06906,-62.48598,-62.50301
503.36,-0.06898,-62.50301,-62.51431
503.37,-0.06896,-62.51431,-62.51587
503.38,-0.06905,-62.51587,-62.51717
503.39,-0.06911,-62.51717,-62.51804
503.40000000000003,-0.06913,-62.51804,-62.51861
503.41,-0.06906,-62.51861,-62.51866
503.42,-0.06883,-62.51866,-62.51137
503.43,-0.06866,-62.51137,-62.49155
503.44,-0.06862,-62.49155,-62.48062
503.45,-0.06846,-62.48062,-62.48485
503.46000000000004,-0.06812,-62.48485,-62.49071
503.47,-0.06777,-62.49071,-62.49934
503.48,-0.06739,-62.49934,-62.50202
503.49,-0.06713,-62.50202,-62.49454
503.5,-0.06706,-62.49454,-62.48995
503.51,-0.06702,-62.48995,-62.49028
503.52000000000004,-0.06703,-62.49028,-62.48694
503.53000000000003,-0.06706,-62.48694,-62.47733
503.54,-0.06713,-62.47733,-62.47196
503.55,-0.06723,-62.47196,-62.47382
503.56,-0.06736,-62.47382,-62.47477
503.57,-0.06737,-62.47477,-62.47416
503.58,-0.06715,-62.47416,-62.4687
503.59000000000003,-0.06694,-62.4687,-62.45496
503.6,-0.06673,-62.45496,-62.44949
503.61,-0.06653,-62.44949,-62.45812
503.62,-0.06633,-62.45812,-62.46256
503.63,-0.06604,-62.46256,-62.45984
503.64,-0.06561,-62.45984,-62.45975
503.65000000000003,-0.06526,-62.45975,-62.46416
503.66,-0.06508,-62.46416,-62.47057
503.67,-0.06495,-62.47057,-62.48039
503.68,-0.06491,-62.48039,-62.48874
503.69,-0.06477,-62.48874,-62.49455
503.7,-0.06447,-62.49455,-62.50133
503.71000000000004,-0.06421,-62.50133,-62.50977
503.72,-0.06404,-62.50977,-62.51143
503.73,-0.06396,-62.51143,-62.5015
503.74,-0.06405,-62.5015,-62.48979
503.75,-0.06418,-62.48979,-62.47501
503.76,-0.06439,-62.47501,-62.4637
503.77000000000004,-0.06458,-62.4637,-62.45834
503.78000000000003,-0.06473,-62.45834,-62.45375
503.79,-0.06481,-62.45375,-62.45052
503.8,-0.06477,-62.45052,-62.44917
