file_N:28,train,seed:None,percent:5025,measured,n:0, N:4
t,I,V,V'
0.0,-0.03858,-58.47601,-0.03873
0.01,-0.03873,-58.47959,-0.03895
0.02,-0.03895,-58.48014,-0.03934
0.03,-0.03934,-58.49226,-0.03977
0.04,-0.03977,-58.50679,-0.04016
0.05,-0.04016,-58.50683,-0.04055
0.06,-0.04055,-58.50384,-0.04102
0.07,-0.04102,-58.51676,-0.04152
0.08,-0.04152,-58.53301,-0.04202
0.09,-0.04202,-58.53705,-0.04252
0.1,-0.04252,-58.53854,-0.04268
0.11,-0.04268,-58.52957,-0.04278
0.12,-0.04278,-58.51842,-0.04283
0.13,-0.04283,-58.50915,-0.04288
0.14,-0.04288,-58.50027,-0.04298
0.15,-0.04298,-58.4957,-0.04308
0.16,-0.04308,-58.49203,-0.04303
0.17,-0.04303,-58.48499,-0.04296
0.18,-0.04296,-58.47725,-0.04283
0.19,-0.04283,-58.48022,-0.0427
0.2,-0.0427,-58.48544,-0.04274
0.21,-0.04274,-58.47887,-0.04283
0.22,-0.04283,-58.46984,-0.04252
0.23,-0.04252,-58.46887,-0.04212
0.24,-0.04212,-58.46958,-0.04168
0.25,-0.04168,-58.45278,-0.04122
0.26,-0.04122,-58.43232,-0.04113
0.27,-0.04113,-58.40983,-0.0411
0.28,-0.0411,-58.38693,-0.041
0.29,-0.041,-58.37943,-0.04089
0.3,-0.04089,-58.37515,-0.04085
0.31,-0.04085,-58.37234,-0.04084
0.32,-0.04084,-58.36983,-0.04126
0.33,-0.04126,-58.38022,-0.04178
0.34,-0.04178,-58.39332,-0.04212
0.35000000000000003,-0.04212,-58.40729,-0.04241
0.36,-0.04241,-58.42144,-0.04252
0.37,-0.04252,-58.42393,-0.04259
0.38,-0.04259,-58.42398,-0.04234
0.39,-0.04234,-58.43303,-0.04202
0.4,-0.04202,-58.44396,-0.04207
0.41000000000000003,-0.04207,-58.44364,-0.04219
0.42,-0.04219,-58.44096,-0.04222
0.43,-0.04222,-58.4188,-0.04224
0.44,-0.04224,-58.39256,-0.04199
0.45,-0.04199,-58.38661,-0.0417
0.46,-0.0417,-58.38491,-0.04141
0.47000000000000003,-0.04141,-58.39512,-0.04113
0.48,-0.04113,-58.40782,-0.0411
0.49,-0.0411,-58.42445,-0.04111
0.5,-0.04111,-58.4419,-0.04119
0.51,-0.04119,-58.4499,-0.04127
0.52,-0.04127,-58.45591,-0.04114
