file_N:27,train,seed:None,percent:4838,integrated,n:2,N:2
t,V,V'
1004.385777,-76.976195,-76.989247
1004.406316,-76.989247,-77.002246
1004.426842,-77.002246,-77.015107
1004.447412,-77.015107,-77.027804
1004.468035,-77.027804,-77.039893
1004.488792,-77.039893,-77.050898
1004.50993,-77.050898,-77.061354
1004.53146,-77.061354,-77.072022
1004.553047,-77.072022,-77.083144
1004.574478,-77.083144,-77.095109
1004.595635,-77.095109,-77.107672
1004.616473,-77.107672,-77.120097
1004.637223,-77.120097,-77.131702
1004.658177,-77.131702,-77.142596
1004.679476,-77.142596,-77.153165
1004.701009,-77.153165,-77.163641
1004.722644,-77.163641,-77.174258
1004.744272,-77.174258,-77.185217
1004.765781,-77.185217,-77.196427
1004.787152,-77.196427,-77.207665
1004.808468,-77.207665,-77.218654
1004.829829,-77.218654,-77.229017
1004.8514,-77.229017,-77.237842
1004.87164,-77.237842,-77.246349
1004.892189,-77.246349,-77.255092
1004.912751,-77.255092,-77.264184
1004.93315,-77.264184,-77.273855
1004.953331,-77.273855,-77.284674
1004.97492,-77.284674,-77.29539
1004.99647,-77.29539,-77.305793
1005.018125,-77.305793,-77.315158
1005.038248,-77.315158,-77.324389
1005.058463,-77.324389,-77.333448
1005.078752,-77.333448,-77.34212
1005.099195,-77.34212,-77.350464
1005.119836,-77.350464,-77.358374
1005.140701,-77.358374,-77.365952
1005.161824,-77.365952,-77.373621
1005.183019,-77.373621,-77.381529
1005.204108,-77.381529,-77.389659
1005.225048,-77.389659,-77.397873
1005.24591,-77.397873,-77.406093
1005.266726,-77.406093,-77.414186
1005.287618,-77.414186,-77.422435
1005.308478,-77.422435,-77.430883
1005.329249,-77.430883,-77.43967
1005.349869,-77.43967,-77.448942
1005.370273,-77.448942,-77.458311
1005.390488,-77.458311,-77.467365
1005.4108,-77.467365,-77.476023
1005.431274,-77.476023,-77.484179
1005.45202,-77.484179,-77.49194
1005.473032,-77.49194,-77.499374
1005.494273,-77.499374,-77.506473
1005.51574,-77.506473,-77.513511
1005.537357,-77.513511,-77.520502
1005.559021,-77.520502,-77.528171
1005.580474,-77.528171,-77.536526
1005.601454,-77.536526,-77.545153
1005.622189,-77.545153,-77.554399
1005.642665,-77.554399,-77.563945
1005.662882,-77.563945,-77.57297
1005.683158,-77.57297,-77.581039
1005.70385,-77.581039,-77.588297
1005.725079,-77.588297,-77.594947
1005.746799,-77.594947,-77.600649
1005.767062,-77.600649,-77.606503
1005.787508,-77.606503,-77.613725
1005.809292,-77.613725,-77.621128
1005.830757,-77.621128,-77.628299
1005.852233,-77.628299,-77.635502
1005.873834,-77.635502,-77.642699
1005.895358,-77.642699,-77.649626
1005.917013,-77.649626,-77.655749
1005.937044,-77.655749,-77.662067
1005.957089,-77.662067,-77.668171
1005.977112,-77.668171,-77.673982
1005.997355,-77.673982,-77.679675
1006.017777,-77.679675,-77.685701
1006.038119,-77.685701,-77.691958
1006.058223,-77.691958,-77.698883
1006.080034,-77.698883,-77.706028
1006.101732,-77.706028,-77.713372
1006.123262,-77.713372,-77.72056
1006.144793,-77.72056,-77.727617
1006.166442,-77.727617,-77.734723
1006.188104,-77.734723,-77.741664
1006.209793,-77.741664,-77.747786
1006.229856,-77.747786,-77.753967
