file_N:29,train,seed:None,percent:10000,integrated,n:2,N:2
t,V,V'
1005.077347,-65.345614,-65.280541
1005.097538,-65.280541,-65.216618
1005.117765,-65.216618,-65.154524
1005.138092,-65.154524,-65.094019
1005.158536,-65.094019,-65.034679
1005.179072,-65.034679,-64.976339
1005.199678,-64.976339,-64.919055
1005.220355,-64.919055,-64.862845
1005.241108,-64.862845,-64.807513
1005.261927,-64.807513,-64.753357
1005.282825,-64.753357,-64.700289
1005.303814,-64.700289,-64.647949
1005.324867,-64.647949,-64.599183
1005.344931,-64.599183,-64.551643
1005.365093,-64.551643,-64.504995
1005.385348,-64.504995,-64.459158
1005.405672,-64.459158,-64.414558
1005.426095,-64.414558,-64.371279
1005.44665,-64.371279,-64.328994
1005.467321,-64.328994,-64.287511
1005.488082,-64.287511,-64.246994
1005.508935,-64.246994,-64.207648
1005.529913,-64.207648,-64.169116
1005.551007,-64.169116,-64.133164
1005.571059,-64.133164,-64.09801
1005.591189,-64.09801,-64.063445
1005.611412,-64.063445,-64.029261
1005.631684,-64.029261,-63.995638
1005.652015,-63.995638,-63.962471
1005.672412,-63.962471,-63.929582
1005.692851,-63.929582,-63.896743
1005.713306,-63.896743,-63.863906
1005.733752,-63.863906,-63.831132
1005.754194,-63.831132,-63.798344
1005.774631,-63.798344,-63.765816
1005.795074,-63.765816,-63.733572
1005.815553,-63.733572,-63.701446
1005.836051,-63.701446,-63.669187
1005.856539,-63.669187,-63.636778
1005.876993,-63.636778,-63.60437
1005.897429,-63.60437,-63.571597
1005.917829,-63.571597,-63.538485
1005.938163,-63.538485,-63.505258
1005.958458,-63.505258,-63.471786
1005.978714,-63.471786,-63.43842
1005.998952,-63.43842,-63.405017
1006.01919,-63.405017,-63.371141
1006.039376,-63.371141,-63.33697
1006.059502,-63.33697,-63.302045
1006.079541,-63.302045,-63.264661
1006.100589,-63.264661,-63.22718
1006.121594,-63.22718,-63.189118
1006.142533,-63.189118,-63.150663
1006.163407,-63.150663,-63.111106
1006.184168,-63.111106,-63.07024
1006.204761,-63.07024,-63.028198
1006.225202,-63.028198,-62.984681
1006.24547,-62.984681,-62.939998
1006.265584,-62.939998,-62.89156
1006.286604,-62.89156,-62.84131
1006.307436,-62.84131,-62.78934
1006.328083,-62.78934,-62.735629
1006.348548,-62.735629,-62.680462
1006.368854,-62.680462,-62.623893
1006.389023,-62.623893,-62.565759
1006.409047,-62.565759,-62.502906
1006.429914,-62.502906,-62.437652
1006.450595,-62.437652,-62.369552
1006.471055,-62.369552,-62.298989
1006.491304,-62.298989,-62.22638
1006.511383,-62.22638,-62.148303
1006.532256,-62.148303,-62.068075
1006.552975,-62.068075,-61.985555
1006.573531,-61.985555,-61.900532
1006.593922,-61.900532,-61.812554
1006.614133,-61.812554,-61.721316
1006.634146,-61.721316,-61.62319
1006.654877,-61.62319,-61.522936
1006.675459,-61.522936,-61.42068
1006.69591,-61.42068,-61.316449
1006.716237,-61.316449,-61.21048
1006.736447,-61.21048,-61.10266
1006.756545,-61.10266,-60.988273
1006.777397,-60.988273,-60.872455
1006.798142,-60.872455,-60.755827
1006.818806,-60.755827,-60.639122
1006.839419,-60.639122,-60.522399
1006.859995,-60.522399,-60.406003
1006.880544,-60.406003,-60.290777
1006.901091,-60.290777,-60.177561
1006.921674,-60.177561,-60.067311
1006.942334,-60.067311,-59.961244
1006.963128,-59.961244,-59.864363
1006.983234,-59.864363,-59.772833
1007.003571,-59.772833,-59.686421
1007.024161,-59.686421,-59.605578
1007.045033,-59.605578,-59.534395
1007.065342,-59.534395,-59.469492
1007.086059,-59.469492,-59.413818
1007.106294,-59.413818,-59.364766
1007.127083,-59.364766,-59.324915
1007.147563,-59.324915,-59.293443
1007.167815,-59.293443,-59.269811
1007.18795,-59.269811,-59.25393
1007.208277,-59.25393,-59.245733
1007.229586,-59.245733,-59.246031
1007.250211,-59.246031,-59.254225
1007.270628,-59.254225,-59.269446
1007.291474,-59.269446,-59.289966
1007.311955,-59.289966,-59.315198
1007.332691,-59.315198,-59.343156
1007.35283,-59.343156,-59.375124
1007.373644,-59.375124,-59.40966
1007.394082,-59.40966,-59.446828
1007.414165,-59.446828,-59.488362
1007.434979,-59.488362,-59.531548
1007.455562,-59.531548,-59.575724
1007.476011,-59.575724,-59.620285
1007.496399,-59.620285,-59.664853
1007.516781,-59.664853,-59.709726
1007.537161,-59.709726,-59.755007
1007.557511,-59.755007,-59.80035
1007.577848,-59.80035,-59.845239
1007.598222,-59.845239,-59.889415
1007.618673,-59.889415,-59.932526
1007.639236,-59.932526,-59.974273
1007.659957,-59.974273,-60.015003
1007.680829,-60.015003,-60.054709
1007.701838,-60.054709,-60.091538
1007.721927,-60.091538,-60.127705
1007.742124,-60.127705,-60.163285
1007.762417,-60.163285,-60.198503
1007.782779,-60.198503,-60.232947
1007.803231,-60.232947,-60.266288
1007.823836,-60.266288,-60.298581
