file_N:27,train,seed:None,percent:5025,measured,n:4,N:4
t,I,V,V'
1507.5,-0.04323,-62.27344,-62.27427
1507.51,-0.043,-62.27427,-62.27967
1507.52,-0.04286,-62.27967,-62.29052
1507.53,-0.0428,-62.29052,-62.30069
1507.54,-0.04276,-62.30069,-62.31003
1507.55,-0.04271,-62.31003,-62.31526
1507.56,-0.04262,-62.31526,-62.31559
1507.57,-0.04248,-62.31559,-62.32046
1507.58,-0.04256,-62.32046,-62.33071
1507.59,-0.0429,-62.33071,-62.33136
1507.6000000000001,-0.04313,-62.33136,-62.32057
1507.6100000000001,-0.04322,-62.32057,-62.3156
1507.6200000000001,-0.04352,-62.3156,-62.31755
1507.63,-0.04406,-62.31755,-62.32204
1507.64,-0.04441,-62.32204,-62.32953
1507.65,-0.04452,-62.32953,-62.33062
1507.66,-0.04436,-62.33062,-62.32408
1507.67,-0.04387,-62.32408,-62.32058
1507.68,-0.04344,-62.32058,-62.3207
1507.69,-0.04309,-62.3207,-62.32425
1507.7,-0.04273,-62.32425,-62.3319
1507.71,-0.04238,-62.3319,-62.33555
1507.72,-0.04201,-62.33555,-62.33444
1507.73,-0.04161,-62.33444,-62.33531
1507.74,-0.04134,-62.33531,-62.33853
1507.75,-0.04123,-62.33853,-62.3333
1507.76,-0.04109,-62.3333,-62.31803
1507.77,-0.04092,-62.31803,-62.30872
1507.78,-0.04112,-62.30872,-62.3065
1507.79,-0.04176,-62.3065,-62.3031
1507.8,-0.04222,-62.3031,-62.29828
1507.81,-0.04246,-62.29828,-62.29506
1507.82,-0.04268,-62.29506,-62.29376
1507.83,-0.0429,-62.29376,-62.29458
1507.84,-0.04323,-62.29458,-62.29793
1507.8500000000001,-0.0437,-62.29793,-62.29928
1507.8600000000001,-0.04412,-62.29928,-62.29824
1507.8700000000001,-0.04451,-62.29824,-62.29079
1507.88,-0.04473,-62.29079,-62.27571
1507.89,-0.04475,-62.27571,-62.27211
1507.9,-0.04475,-62.27211,-62.28217
1507.91,-0.04473,-62.28217,-62.29071
1507.92,-0.04457,-62.29071,-62.29744
1507.93,-0.04425,-62.29744,-62.3065
1507.94,-0.04404,-62.3065,-62.3183
1507.95,-0.04396,-62.3183,-62.3286
1507.96,-0.04387,-62.3286,-62.33708
1507.97,-0.04375,-62.33708,-62.34085
1507.98,-0.04372,-62.34085,-62.33898
1507.99,-0.04379,-62.33898,-62.33087
1508.0,-0.04409,-62.33087,-62.31534
1508.01,-0.04465,-62.31534,-62.30297
1508.02,-0.04489,-62.30297,-62.29438
1508.03,-0.04475,-62.29438,-62.27958
1508.04,-0.04455,-62.27958,-62.25737
1508.05,-0.04428,-62.25737,-62.24485
1508.06,-0.04405,-62.24485,-62.2439
1508.07,-0.04384,-62.2439,-62.24796
1508.08,-0.04359,-62.24796,-62.258
1508.09,-0.04329,-62.258,-62.26656
1508.1000000000001,-0.04304,-62.26656,-62.27336
1508.1100000000001,-0.04286,-62.27336,-62.28343
1508.1200000000001,-0.04279,-62.28343,-62.29738
1508.13,-0.04286,-62.29738,-62.30313
1508.14,-0.04294,-62.30313,-62.29908
1508.15,-0.04305,-62.29908,-62.29079
1508.16,-0.04309,-62.29079,-62.27745
1508.17,-0.04304,-62.27745,-62.27208
1508.18,-0.04289,-62.27208,-62.27623
1508.19,-0.0426,-62.27623,-62.27679
1508.2,-0.04245,-62.27679,-62.27307
1508.21,-0.04246,-62.27307,-62.27297
1508.22,-0.0424,-62.27297,-62.27716
1508.23,-0.04225,-62.27716,-62.28602
1508.24,-0.04226,-62.28602,-62.30043
1508.25,-0.04249,-62.30043,-62.30809
1508.26,-0.04275,-62.30809,-62.3077
1508.27,-0.04305,-62.3077,-62.31707
1508.28,-0.04332,-62.31707,-62.33809
1508.29,-0.04355,-62.33809,-62.35239
1508.3,-0.04385,-62.35239,-62.35866
1508.31,-0.04424,-62.35866,-62.35885
1508.32,-0.04429,-62.35885,-62.35176
1508.33,-0.04392,-62.35176,-62.34042
1508.34,-0.04353,-62.34042,-62.32401
1508.3500000000001,-0.04311,-62.32401,-62.31334
1508.3600000000001,-0.04287,-62.31334,-62.30952
1508.3700000000001,-0.04286,-62.30952,-62.30495
1508.38,-0.04281,-62.30495,-62.29947
1508.39,-0.04269,-62.29947,-62.29273
1508.4,-0.04269,-62.29273,-62.28451
1508.41,-0.04282,-62.28451,-62.28266
1508.42,-0.04272,-62.28266,-62.28843
1508.43,-0.04235,-62.28843,-62.30174
1508.44,-0.04204,-62.30174,-62.32407
1508.45,-0.04182,-62.32407,-62.33587
1508.46,-0.04164,-62.33587,-62.33511
1508.47,-0.04151,-62.33511,-62.3313
1508.48,-0.0412,-62.3313,-62.32385
1508.49,-0.04067,-62.32385,-62.31515
1508.5,-0.04015,-62.31515,-62.30494
1508.51,-0.03966,-62.30494,-62.29453
1508.52,-0.03949,-62.29453,-62.28386
1508.53,-0.03969,-62.28386,-62.28022
1508.54,-0.03997,-62.28022,-62.28498
