file_N:23,train,seed:None,percent:5275,measured,n:3,N:4
t,I,V,V'
1056.35,-0.04164,-60.77675,-60.76958
1056.3600000000001,-0.04193,-60.76958,-60.76147
1056.3700000000001,-0.0422,-60.76147,-60.75456
1056.38,-0.04187,-60.75456,-60.74776
1056.39,-0.04148,-60.74776,-60.74631
1056.4,-0.04103,-60.74631,-60.74535
1056.41,-0.04058,-60.74535,-60.75181
1056.42,-0.04067,-60.75181,-60.75894
1056.43,-0.04081,-60.75894,-60.75552
1056.44,-0.04081,-60.75552,-60.75112
1056.45,-0.0408,-60.75112,-60.76971
1056.46,-0.04136,-60.76971,-60.7904
1056.47,-0.04198,-60.7904,-60.80724
1056.48,-0.04288,-60.80724,-60.82372
1056.49,-0.0438,-60.82372,-60.8246
1056.5,-0.04451,-60.8246,-60.82406
1056.51,-0.04519,-60.82406,-60.82389
1056.52,-0.04491,-60.82389,-60.82376
1056.53,-0.04453,-60.82376,-60.81239
1056.54,-0.04397,-60.81239,-60.79998
1056.55,-0.04339,-60.79998,-60.80952
1056.56,-0.0429,-60.80952,-60.82106
1056.57,-0.04242,-60.82106,-60.82041
1056.58,-0.04192,-60.82041,-60.81864
1056.59,-0.04142,-60.81864,-60.80235
1056.6,-0.04086,-60.80235,-60.78473
1056.6100000000001,-0.04029,-60.78473,-60.77717
1056.6200000000001,-0.0404,-60.77717,-60.77053
1056.63,-0.04058,-60.77053,-60.75582
1056.64,-0.04081,-60.75582,-60.74036
1056.65,-0.04105,-60.74036,-60.71963
1056.66,-0.0411,-60.71963,-60.69841
1056.67,-0.04113,-60.69841,-60.68661
1056.68,-0.04115,-60.68661,-60.67568
1056.69,-0.04117,-60.67568,-60.68117
1056.7,-0.04114,-60.68117,-60.68817
1056.71,-0.0411,-60.68817,-60.70476
1056.72,-0.04118,-60.70476,-60.72224
1056.73,-0.04127,-60.72224,-60.72729
1056.74,-0.04122,-60.72729,-60.7312
1056.75,-0.04116,-60.7312,-60.74266
1056.76,-0.0412,-60.74266,-60.75482
1056.77,-0.04125,-60.75482,-60.75386
1056.78,-0.04169,-60.75386,-60.7517
1056.79,-0.04217,-60.7517,-60.73884
1056.8,-0.04227,-60.73884,-60.725
1056.81,-0.04235,-60.725,-60.70856
1056.82,-0.04197,-60.70856,-60.69188
1056.83,-0.04155,-60.69188,-60.68965
1056.84,-0.04137,-60.68965,-60.68874
1056.85,-0.04122,-60.68874,-60.69099
1056.8600000000001,-0.04069,-60.69099,-60.69353
1056.8700000000001,-0.04013,-60.69353,-60.70192
1056.88,-0.04015,-60.70192,-60.71083
1056.89,-0.04023,-60.71083,-60.72391
1056.9,-0.04037,-60.72391,-60.73737
1056.91,-0.04051,-60.73737,-60.74036
1056.92,-0.0407,-60.74036,-60.74239
1056.93,-0.04089,-60.74239,-60.74343
1056.94,-0.04124,-60.74343,-60.74437
1056.95,-0.04162,-60.74437,-60.73755
1056.96,-0.04207,-60.73755,-60.73002
1056.97,-0.04254,-60.73002,-60.7087
1056.98,-0.04237,-60.7087,-60.68611
1056.99,-0.04214,-60.68611,-60.68324
1057.0,-0.04173,-60.68324,-60.68218
1057.01,-0.04129,-60.68218,-60.68201
1057.02,-0.04119,-60.68201,-60.68193
1057.03,-0.04111,-60.68193,-60.69487
1057.04,-0.04146,-60.69487,-60.709
1057.05,-0.04186,-60.709,-60.71283
1057.06,-0.04197,-60.71283,-60.7157
1057.07,-0.04205,-60.7157,-60.70008
1057.08,-0.04196,-60.70008,-60.68276
1057.09,-0.04185,-60.68276,-60.67339
1057.1,-0.04165,-60.67339,-60.66475
1057.1100000000001,-0.04145,-60.66475,-60.65881
1057.1200000000001,-0.04132,-60.65881,-60.65311
1057.13,-0.04121,-60.65311,-60.62443
1057.14,-0.04071,-60.62443,-60.59363
1057.15,-0.04017,-60.59363,-60.58737
1057.16,-0.03971,-60.58737,-60.58338
1057.17,-0.03925,-60.58338,-60.59479
1057.18,-0.03927,-60.59479,-60.60762
1057.19,-0.03934,-60.60762,-60.62001
1057.2,-0.03955,-60.62001,-60.63236
1057.21,-0.03978,-60.63236,-60.65679
1057.22,-0.03987,-60.65679,-60.68234
1057.23,-0.03995,-60.68234,-60.68816
1057.24,-0.03996,-60.68816,-60.69216
1057.25,-0.03996,-60.69216,-60.69145
1057.26,-0.03983,-60.69145,-60.69031
1057.27,-0.03968,-60.69031,-60.70361
1057.28,-0.03956,-60.70361,-60.71824
1057.29,-0.03945,-60.71824,-60.71488
1057.3,-0.03935,-60.71488,-60.70986
1057.31,-0.03925,-60.70986,-60.70938
1057.32,-0.0395,-60.70938,-60.70931
1057.33,-0.03979,-60.70931,-60.73177
1057.34,-0.03995,-60.73177,-60.75631
1057.35,-0.04009,-60.75631,-60.75847
1057.3600000000001,-0.04022,-60.75847,-60.75857
1057.3700000000001,-0.04034,-60.75857,-60.75888
1057.38,-0.04029,-60.75888,-60.75922
1057.39,-0.04022,-60.75922,-60.76669
1057.4,-0.04021,-60.76669,-60.77484
1057.41,-0.0402,-60.77484,-60.76345
1057.42,-0.04016,-60.76345,-60.75025
1057.43,-0.04012,-60.75025,-60.7394
1057.44,-0.0403,-60.7394,-60.72877
1057.45,-0.0405,-60.72877,-60.72155
1057.46,-0.04055,-60.72155,-60.71465
1057.47,-0.04059,-60.71465,-60.70257
1057.48,-0.04077,-60.70257,-60.69002
1057.49,-0.04096,-60.69002,-60.6917
1057.5,-0.04085,-60.6917,-60.69468
1057.51,-0.04071,-60.69468,-60.6844
1057.52,-0.04058,-60.6844,-60.67289
1057.53,-0.04046,-60.67289,-60.68041
1057.54,-0.04052,-60.68041,-60.68969
1057.55,-0.04059,-60.68969,-60.70219
1057.56,-0.04072,-60.70219,-60.71499
1057.57,-0.04086,-60.71499,-60.71467
1057.58,-0.04082,-60.71467,-60.71313
1057.59,-0.04077,-60.71313,-60.70441
1057.6,-0.04079,-60.70441,-60.69501
1057.6100000000001,-0.04081,-60.69501,-60.6801
1057.6200000000001,-0.04069,-60.6801,-60.66467
1057.63,-0.04056,-60.66467,-60.65425
1057.64,-0.04058,-60.65425,-60.64429
1057.65,-0.04061,-60.64429,-60.64017
1057.66,-0.04014,-60.64017,-60.63659
1057.67,-0.03963,-60.63659,-60.64816
1057.68,-0.03946,-60.64816,-60.66114
1057.69,-0.03932,-60.66114,-60.68911
1057.7,-0.03909,-60.68911,-60.71847
1057.71,-0.03886,-60.71847,-60.72255
1057.72,-0.0387,-60.72255,-60.72428
1057.73,-0.03855,-60.72428,-60.72315
1057.74,-0.03874,-60.72315,-60.72174
1057.75,-0.03896,-60.72174,-60.70706
1057.76,-0.03965,-60.70706,-60.69114
1057.77,-0.04037,-60.69114,-60.68122
1057.78,-0.04098,-60.68122,-60.67186
1057.79,-0.04157,-60.67186,-60.67793
1057.8,-0.04236,-60.67793,-60.68545
1057.81,-0.04317,-60.68545,-60.69524
1057.82,-0.0431,-60.69524,-60.70525
1057.83,-0.04294,-60.70525,-60.71363
1057.84,-0.04245,-60.71363,-60.72185
1057.85,-0.04191,-60.72185,-60.73631
1057.8600000000001,-0.04127,-60.73631,-60.75136
1057.8700000000001,-0.04062,-60.75136,-60.74779
1057.88,-0.04006,-60.74779,-60.74249
1057.89,-0.0395,-60.74249,-60.72123
1057.9,-0.03963,-60.72123,-60.69849
1057.91,-0.03982,-60.69849,-60.6789
1057.92,-0.04015,-60.6789,-60.65959
1057.93,-0.0405,-60.65959,-60.64641
1057.94,-0.04047,-60.64641,-60.63379
1057.95,-0.0404,-60.63379,-60.62605
1057.96,-0.04065,-60.62605,-60.61877
1057.97,-0.04094,-60.61877,-60.63465
1057.98,-0.04105,-60.63465,-60.65268
1057.99,-0.04116,-60.65268,-60.661
1058.0,-0.04058,-60.661,-60.66841
1058.01,-0.03995,-60.66841,-60.69439
1058.02,-0.03981,-60.69439,-60.7221
1058.03,-0.03973,-60.7221,-60.74244
1058.04,-0.03985,-60.74244,-60.76209
1058.05,-0.03999,-60.76209,-60.75025
1058.06,-0.04016,-60.75025,-60.73547
1058.07,-0.04033,-60.73547,-60.73848
1058.08,-0.04029,-60.73848,-60.74316
1058.09,-0.04022,-60.74316,-60.73937
1058.1,-0.04008,-60.73937,-60.7348
1058.1100000000001,-0.03992,-60.7348,-60.72413
1058.1200000000001,-0.04018,-60.72413,-60.71291
1058.13,-0.04048,-60.71291,-60.7122
1058.14,-0.04079,-60.7122,-60.71248
1058.15,-0.0411,-60.71248,-60.71104
1058.16,-0.04118,-60.71104,-60.70944
1058.17,-0.04125,-60.70944,-60.71082
1058.18,-0.04143,-60.71082,-60.71247
1058.19,-0.04161,-60.71247,-60.70868
1058.2,-0.04187,-60.70868,-60.70439
1058.21,-0.04213,-60.70439,-60.68872
1058.22,-0.04199,-60.68872,-60.67199
1058.23,-0.04181,-60.67199,-60.67371
