file_N:27,train,seed:None,percent:5025,measured,n:0, N:4
t,I,V,V'
1.4000000000000001,-0.0411,-59.14856,-0.04172
1.41,-0.04172,-59.14397,-0.04239
1.42,-0.04239,-59.13614,-0.0428
1.43,-0.0428,-59.14668,-0.04316
1.44,-0.04316,-59.1611,-0.04315
1.45,-0.04315,-59.1686,-0.04307
1.46,-0.04307,-59.17465,-0.04298
1.47,-0.04298,-59.17368,-0.0429
1.48,-0.0429,-59.17124,-0.0429
1.49,-0.0429,-59.17884,-0.04291
1.5,-0.04291,-59.18857,-0.04265
1.51,-0.04265,-59.20115,-0.04233
1.52,-0.04233,-59.21432,-0.04197
1.53,-0.04197,-59.22175,-0.04162
1.54,-0.04162,-59.22796,-0.04156
1.55,-0.04156,-59.23794,-0.04156
1.56,-0.04156,-59.24873,-0.04209
1.57,-0.04209,-59.26037,-0.04272
1.58,-0.04272,-59.27219,-0.04329
1.59,-0.04329,-59.28659,-0.04384
1.6,-0.04384,-59.30154,-0.04386
1.61,-0.04386,-59.30255,-0.04377
1.62,-0.04377,-59.30061,-0.04362
1.6300000000000001,-0.04362,-59.29455,-0.04346
1.6400000000000001,-0.04346,-59.28761,-0.04347
1.6500000000000001,-0.04347,-59.28769,-0.04352
1.6600000000000001,-0.04352,-59.28924,-0.04345
1.67,-0.04345,-59.29642,-0.04336
1.68,-0.04336,-59.3048,-0.043
1.69,-0.043,-59.29277,-0.04258
1.7,-0.04258,-59.27644,-0.0424
1.71,-0.0424,-59.2638,-0.04227
1.72,-0.04227,-59.25194,-0.04236
1.73,-0.04236,-59.2453,-0.04251
1.74,-0.04251,-59.23975,-0.04253
1.75,-0.04253,-59.228,-0.04252
1.76,-0.04252,-59.21493,-0.04238
1.77,-0.04238,-59.21456,-0.04223
1.78,-0.04223,-59.21688,-0.04208
1.79,-0.04208,-59.21784,-0.04193
1.8,-0.04193,-59.21852,-0.04222
1.81,-0.04222,-59.22624,-0.0426
1.82,-0.0426,-59.23546,-0.04311
1.83,-0.04311,-59.26546,-0.04364
1.84,-0.04364,-59.29986,-0.04369
1.85,-0.04369,-59.30343,-0.04363
1.86,-0.04363,-59.30049,-0.04353
1.87,-0.04353,-59.30781,-0.04343
1.8800000000000001,-0.04343,-59.31729,-0.04296
1.8900000000000001,-0.04296,-59.32203,-0.04241
1.9000000000000001,-0.04241,-59.32578,-0.0417
1.9100000000000001,-0.0417,-59.31245,-0.04094
1.92,-0.04094,-59.29551,-0.04032
1.93,-0.04032,-59.28182,-0.03972
1.94,-0.03972,-59.26882,-0.03985
1.95,-0.03985,-59.2612,-0.04014
1.96,-0.04014,-59.25471,-0.0407
1.97,-0.0407,-59.2551,-0.04133
1.98,-0.04133,-59.25695,-0.04219
1.99,-0.04219,-59.26892,-0.0431
2.0,-0.0431,-59.28302,-0.0437
2.0100000000000002,-0.0437,-59.29941,-0.04423
2.02,-0.04423,-59.31629,-0.04477
2.0300000000000002,-0.04477,-59.33135,-0.04531
2.04,-0.04531,-59.34603,-0.04524
2.05,-0.04524,-59.3343,-0.04504
2.06,-0.04504,-59.31698,-0.04432
2.07,-0.04432,-59.29179,-0.04349
2.08,-0.04349,-59.26494,-0.04297
2.09,-0.04297,-59.24182,-0.04252
2.1,-0.04252,-59.21949,-0.04247
2.11,-0.04247,-59.19887,-0.0425
2.12,-0.0425,-59.17861,-0.04236
2.13,-0.04236,-59.1715,-0.04218
2.14,-0.04218,-59.16717,-0.04195
2.15,-0.04195,-59.18339,-0.04171
2.16,-0.04171,-59.20394,-0.04203
2.17,-0.04203,-59.21649,-0.04247
2.18,-0.04247,-59.22734,-0.04288
2.19,-0.04288,-59.23206,-0.04329
2.2,-0.04329,-59.23548,-0.04328
2.21,-0.04328,-59.24642,-0.04318
2.22,-0.04318,-59.25895,-0.04309
