file_N:24,train,seed:None,percent:5275,measured,n:4,N:4
t,I,V,V'
1582.5,0.2576,-48.16989,-48.16176
1582.51,0.25762,-48.16176,-48.15621
1582.52,0.25764,-48.15621,-48.1537
1582.53,0.25765,-48.1537,-48.14841
1582.54,0.25758,-48.14841,-48.13982
1582.55,0.2574,-48.13982,-48.12126
1582.56,0.25728,-48.12126,-48.09092
1582.57,0.25723,-48.09092,-48.06602
1582.58,0.25723,-48.06602,-48.04755
1582.5900000000001,0.25728,-48.04755,-48.03191
1582.6000000000001,0.2574,-48.03191,-48.01964
1582.6100000000001,0.2576,-48.01964,-47.99866
1582.6200000000001,0.25785,-47.99866,-47.96738
1582.63,0.25816,-47.96738,-47.93691
1582.64,0.25819,-47.93691,-47.90738
1582.65,0.25789,-47.90738,-47.87804
1582.66,0.25758,-47.87804,-47.84891
1582.67,0.25727,-47.84891,-47.82335
1582.68,0.25698,-47.82335,-47.80201
1582.69,0.25672,-47.80201,-47.78171
1582.7,0.25651,-47.78171,-47.76262
1582.71,0.25635,-47.76262,-47.74376
1582.72,0.25631,-47.74376,-47.72519
1582.73,0.25642,-47.72519,-47.70616
1582.74,0.25691,-47.70616,-47.68661
1582.75,0.25784,-47.68661,-47.67356
1582.76,0.25882,-47.67356,-47.66819
1582.77,0.25986,-47.66819,-47.66451
1582.78,0.26067,-47.66451,-47.66283
1582.79,0.26121,-47.66283,-47.65169
1582.8,0.26164,-47.65169,-47.62938
1582.81,0.26192,-47.62938,-47.60508
1582.82,0.26213,-47.60508,-47.57843
1582.83,0.26226,-47.57843,-47.55363
1582.8400000000001,0.26232,-47.55363,-47.53102
1582.8500000000001,0.26227,-47.53102,-47.50734
1582.8600000000001,0.26225,-47.50734,-47.48239
1582.8700000000001,0.26226,-47.48239,-47.46458
1582.88,0.26225,-47.46458,-47.45522
1582.89,0.26221,-47.45522,-47.43797
1582.9,0.26218,-47.43797,-47.41142
1582.91,0.26215,-47.41142,-47.39026
1582.92,0.26208,-47.39026,-47.37548
1582.93,0.26196,-47.37548,-47.35635
1582.94,0.26187,-47.35635,-47.33207
1582.95,0.26181,-47.33207,-47.3052
1582.96,0.26185,-47.3052,-47.27526
1582.97,0.26201,-47.27526,-47.24916
1582.98,0.26229,-47.24916,-47.2276
1582.99,0.2627,-47.2276,-47.20697
1583.0,0.26326,-47.20697,-47.18747
1583.01,0.26398,-47.18747,-47.17043
1583.02,0.26458,-47.17043,-47.15629
1583.03,0.26504,-47.15629,-47.15301
1583.04,0.26557,-47.15301,-47.16255
1583.05,0.26617,-47.16255,-47.16789
1583.06,0.26683,-47.16789,-47.16825
1583.07,0.26757,-47.16825,-47.15848
1583.08,0.26817,-47.15848,-47.13671
1583.0900000000001,0.26862,-47.13671,-47.11365
1583.1000000000001,0.26889,-47.11365,-47.08904
1583.1100000000001,0.26898,-47.08904,-47.06206
1583.1200000000001,0.26899,-47.06206,-47.03227
1583.13,0.2689,-47.03227,-46.99442
1583.14,0.26886,-46.99442,-46.94704
1583.15,0.26888,-46.94704,-46.91113
1583.16,0.26893,-46.91113,-46.88877
1583.17,0.26902,-46.88877,-46.85772
1583.18,0.26899,-46.85772,-46.81638
1583.19,0.26884,-46.81638,-46.78658
1583.2,0.26914,-46.78658,-46.77041
1583.21,0.26997,-46.77041,-46.7629
1583.22,0.27102,-46.7629,-46.76562
1583.23,0.27231,-46.76562,-46.7614
1583.24,0.27361,-46.7614,-46.74894
1583.25,0.27494,-46.74894,-46.73964
1583.26,0.27609,-46.73964,-46.73406
