file_N:25,train,seed:None,percent:2555,integrated,n:0, N:4
t,V,V'
0.0,-63.849182,-63.849342
0.020697,-63.849342,-63.849952
0.042169,-63.849952,-63.851184
0.062373,-63.851184,-63.852961
0.082569,-63.852961,-63.854845
0.104176,-63.854845,-63.856335
0.124261,-63.856335,-63.857084
0.145831,-63.857084,-63.856918
0.165967,-63.856918,-63.85625
0.186701,-63.85625,-63.855343
0.207317,-63.855343,-63.854585
0.227675,-63.854585,-63.854383
0.247817,-63.854383,-63.854996
0.267986,-63.854996,-63.856682
0.289467,-63.856682,-63.859114
0.310634,-63.859114,-63.861825
0.330831,-63.861825,-63.863992
0.351256,-63.863992,-63.865119
0.37144,-63.865119,-63.865297
0.393713,-63.865297,-63.864676
0.415979,-63.864676,-63.86374
0.43647,-63.86374,-63.863042
0.457105,-63.863042,-63.86242
0.478879,-63.86242,-63.861708
0.500358,-63.861708,-63.861043
0.521734,-63.861043,-63.860587
0.544013,-63.860587,-63.860394
0.566554,-63.860394,-63.860329
0.589365,-63.860329,-63.860704
0.610609,-63.860704,-63.861009
0.63186,-63.861009,-63.861233
0.652043,-63.861233,-63.86157
0.673965,-63.86157,-63.861383
0.696274,-63.861383,-63.860935
0.717524,-63.860935,-63.860782
0.739833,-63.860782,-63.861108
0.762112,-63.861108,-63.861903
0.78424,-63.861903,-63.863222
0.806309,-63.863222,-63.864673
0.826994,-63.864673,-63.865818
0.848002,-63.865818,-63.866464
0.868397,-63.866464,-63.866619
0.88976,-63.866619,-63.866602
0.910648,-63.866602,-63.866534
0.930653,-63.866534,-63.866439
0.951388,-63.866439,-63.866429
0.973064,-63.866429,-63.866654
0.993127,-63.866654,-63.866988
1.015015,-63.866988,-63.866905
1.036812,-63.866905,-63.866355
1.058373,-63.866355,-63.865664
1.080174,-63.865664,-63.865278
1.102277,-63.865278,-63.865178
1.125626,-63.865178,-63.865047
1.147779,-63.865047,-63.864962
1.16819,-63.864962,-63.864928
1.189965,-63.864928,-63.864942
1.212127,-63.864942,-63.864885
1.234923,-63.864885,-63.865148
1.255759,-63.865148,-63.865844
1.278112,-63.865844,-63.86623
1.298168,-63.86623,-63.866635
1.319421,-63.866635,-63.867167
1.339587,-63.867167,-63.86758
1.362231,-63.86758,-63.867711
1.383011,-63.867711,-63.86783
1.40569,-63.86783,-63.867717
1.42716,-63.867717,-63.867588
1.448822,-63.867588,-63.867753
1.469491,-63.867753,-63.868216
1.491307,-63.868216,-63.868623
1.511988,-63.868623,-63.869168
1.532223,-63.869168,-63.869868
1.554128,-63.869868,-63.8707
1.574598,-63.8707,-63.870543
1.596287,-63.870543,-63.869611
1.618264,-63.869611,-63.868295
1.64023,-63.868295,-63.866465
1.660382,-63.866465,-63.864718
1.681965,-63.864718,-63.863519
1.702944,-63.863519,-63.862943
1.723006,-63.862943,-63.863003
1.74397,-63.863003,-63.863349
1.76507,-63.863349,-63.864214
1.787143,-63.864214,-63.865338
1.809231,-63.865338,-63.866341
1.831328,-63.866341,-63.867206
1.851424,-63.867206,-63.867612
1.873398,-63.867612,-63.868154
1.894462,-63.868154,-63.869376
1.914795,-63.869376,-63.871184
1.934949,-63.871184,-63.873245
1.956439,-63.873245,-63.875407
1.977542,-63.875407,-63.877172
1.999073,-63.877172,-63.878193
2.020017,-63.878193,-63.87856
2.041961,-63.87856,-63.878588
2.063813,-63.878588,-63.878405
2.085119,-63.878405,-63.877854
2.106821,-63.877854,-63.877294
2.128707,-63.877294,-63.877283
2.152375,-63.877283,-63.877704
2.173103,-63.877704,-63.878799
2.194028,-63.878799,-63.880346
2.214862,-63.880346,-63.881922
2.235037,-63.881922,-63.88333
2.255492,-63.88333,-63.884734
2.276206,-63.884734,-63.886235
2.296798,-63.886235,-63.887745
2.31707,-63.887745,-63.888938
2.337986,-63.888938,-63.889909
2.359952,-63.889909,-63.890682
2.380572,-63.890682,-63.89129
2.401732,-63.89129,-63.891516
2.422855,-63.891516,-63.891513
2.443816,-63.891513,-63.891462
2.467604,-63.891462,-63.891287
2.488805,-63.891287,-63.891074
2.509204,-63.891074,-63.891207
2.532349,-63.891207,-63.891663
2.554313,-63.891663,-63.891973
2.575193,-63.891973,-63.891851
2.598313,-63.891851,-63.891637
2.619015,-63.891637,-63.891732
2.641751,-63.891732,-63.892339
2.663704,-63.892339,-63.893218
2.68456,-63.893218,-63.894481
2.706561,-63.894481,-63.896191
2.727066,-63.896191,-63.8982
2.748605,-63.8982,-63.899706
2.770674,-63.899706,-63.900599
2.792586,-63.900599,-63.901305
2.813486,-63.901305,-63.901666
2.835929,-63.901666,-63.901605
2.856414,-63.901605,-63.901914
2.876645,-63.901914,-63.902923
2.89791,-63.902923,-63.903777
2.920078,-63.903777,-63.903667
2.942435,-63.903667,-63.903177
2.963836,-63.903177,-63.902946
2.985131,-63.902946,-63.902983
3.006379,-63.902983,-63.903443
3.027019,-63.903443,-63.904543
3.047817,-63.904543,-63.906124
3.068557,-63.906124,-63.907503
3.089014,-63.907503,-63.909118
3.109612,-63.909118,-63.911716
3.130728,-63.911716,-63.915188
3.15221,-63.915188,-63.918655
3.173209,-63.918655,-63.92153
3.194646,-63.92153,-63.923243
3.215724,-63.923243,-63.923814
3.237698,-63.923814,-63.923445
3.257973,-63.923445,-63.923437
3.281695,-63.923437,-63.924071
3.3031,-63.924071,-63.924946
3.323932,-63.924946,-63.926153
3.346039,-63.926153,-63.927543
3.367086,-63.927543,-63.928627
3.388291,-63.928627,-63.929101
3.409491,-63.929101,-63.9293
3.431691,-63.9293,-63.929183
3.452367,-63.929183,-63.928814
3.472814,-63.928814,-63.928129
3.494664,-63.928129,-63.928331
3.517615,-63.928331,-63.928812
3.538328,-63.928812,-63.929069
3.560183,-63.929069,-63.929622
3.581879,-63.929622,-63.93042
3.602901,-63.93042,-63.931099
3.624062,-63.931099,-63.931372
3.644196,-63.931372,-63.931681
3.664975,-63.931681,-63.932207
3.685347,-63.932207,-63.932819
3.707574,-63.932819,-63.933726
3.728808,-63.933726,-63.935298
3.750038,-63.935298,-63.937228
3.771928,-63.937228,-63.938958
3.793763,-63.938958,-63.940127
3.814788,-63.940127,-63.941443
3.835949,-63.941443,-63.942425
3.857641,-63.942425,-63.943055
3.878674,-63.943055,-63.943448
3.901314,-63.943448,-63.943266
3.922725,-63.943266,-63.942778
3.943823,-63.942778,-63.94265
3.965634,-63.94265,-63.943286
3.988018,-63.943286,-63.944214
4.008644,-63.944214,-63.945452
4.030475,-63.945452,-63.946681
4.051749,-63.946681,-63.947564
4.073813,-63.947564,-63.948072
4.09583,-63.948072,-63.949011
4.117556,-63.949011,-63.950488
4.13853,-63.950488,-63.951585
4.159765,-63.951585,-63.952241
4.180223,-63.952241,-63.95238
4.201451,-63.95238,-63.95228
4.22228,-63.95228,-63.952226
4.245463,-63.952226,-63.951955
4.268024,-63.951955,-63.951721
4.291051,-63.951721,-63.951182
4.312663,-63.951182,-63.950686
4.334716,-63.950686,-63.951034
4.354873,-63.951034,-63.952123
4.37594,-63.952123,-63.953553
4.396954,-63.953553,-63.954762
4.417925,-63.954762,-63.955371
4.438186,-63.955371,-63.955301
4.458379,-63.955301,-63.954667
4.480029,-63.954667,-63.953778
4.500724,-63.953778,-63.952847
4.520982,-63.952847,-63.951748
