file_N:30,train,seed:None,percent:2429,integrated,n:4,N:4
t,V,V'
1509.958441,-72.268305,-72.265771
1509.978625,-72.265771,-72.2635
1509.999174,-72.2635,-72.261501
1510.020302,-72.261501,-72.259561
1510.041873,-72.259561,-72.257529
1510.06334,-72.257529,-72.255697
1510.084914,-72.255697,-72.254298
1510.10496,-72.254298,-72.252947
1510.125574,-72.252947,-72.251233
1510.145672,-72.251233,-72.249028
1510.167083,-72.249028,-72.246277
1510.187533,-72.246277,-72.243128
1510.209302,-72.243128,-72.240675
1510.229372,-72.240675,-72.238704
1510.250282,-72.238704,-72.237252
1510.272502,-72.237252,-72.236119
1510.293743,-72.236119,-72.234885
1510.314922,-72.234885,-72.233681
1510.336027,-72.233681,-72.23263
1510.357408,-72.23263,-72.232076
1510.377648,-72.232076,-72.231866
1510.398331,-72.231866,-72.231615
1510.421212,-72.231615,-72.231189
1510.44222,-72.231189,-72.230295
1510.463399,-72.230295,-72.228916
1510.484656,-72.228916,-72.227571
1510.505192,-72.227571,-72.226359
1510.52608,-72.226359,-72.225128
1510.547186,-72.225128,-72.223952
1510.568237,-72.223952,-72.222978
1510.590134,-72.222978,-72.221461
1510.611396,-72.221461,-72.218998
1510.632699,-72.218998,-72.216256
1510.652869,-72.216256,-72.213614
1510.672887,-72.213614,-72.211237
1510.693197,-72.211237,-72.209228
1510.714166,-72.209228,-72.207655
1510.736104,-72.207655,-72.206447
1510.756948,-72.206447,-72.205386
1510.778213,-72.205386,-72.204939
1510.798691,-72.204939,-72.205193
1510.821368,-72.205193,-72.205876
1510.843698,-72.205876,-72.206652
1510.86415,-72.206652,-72.206752
1510.886416,-72.206752,-72.205379
1510.907257,-72.205379,-72.203132
1510.928794,-72.203132,-72.200907
1510.949736,-72.200907,-72.198728
1510.970636,-72.198728,-72.196893
1510.99207,-72.196893,-72.195239
1511.014198,-72.195239,-72.193955
1511.034586,-72.193955,-72.192771
1511.055743,-72.192771,-72.191474
1511.07669,-72.191474,-72.19045
1511.097857,-72.19045,-72.189843
1511.118242,-72.189843,-72.189349
1511.140046,-72.189349,-72.188808
1511.162392,-72.188808,-72.18791
1511.183276,-72.18791,-72.186387
1511.20433,-72.186387,-72.184334
1511.22612,-72.184334,-72.182106
1511.247219,-72.182106,-72.17991
1511.268138,-72.17991,-72.177783
1511.289246,-72.177783,-72.175446
1511.310138,-72.175446,-72.173002
1511.330727,-72.173002,-72.170472
1511.351102,-72.170472,-72.168086
1511.371487,-72.168086,-72.166253
1511.392562,-72.166253,-72.165284
1511.413284,-72.165284,-72.164743
1511.434041,-72.164743,-72.164242
1511.456074,-72.164242,-72.163719
1511.478332,-72.163719,-72.16334
1511.500978,-72.16334,-72.162831
1511.521493,-72.162831,-72.161694
1511.541589,-72.161694,-72.15996
1511.561811,-72.15996,-72.15754
1511.582938,-72.15754,-72.154589
1511.602963,-72.154589,-72.15186
1511.624815,-72.15186,-72.150629
1511.64658,-72.150629,-72.15092
1511.669567,-72.15092,-72.151817
1511.690599,-72.151817,-72.152621
1511.712905,-72.152621,-72.152545
1511.73442,-72.152545,-72.151387
1511.755875,-72.151387,-72.149831
1511.776114,-72.149831,-72.148634
1511.796597,-72.148634,-72.147948
1511.818842,-72.147948,-72.147824
1511.839676,-72.147824,-72.147844
1511.86188,-72.147844,-72.147509
1511.883677,-72.147509,-72.146613
1511.905026,-72.146613,-72.14524
1511.926223,-72.14524,-72.14401
1511.947036,-72.14401,-72.142608
1511.967783,-72.142608,-72.141093
1511.988069,-72.141093,-72.138975
1512.009883,-72.138975,-72.136076
1512.030295,-72.136076,-72.132176
1512.051416,-72.132176,-72.127962
1512.071882,-72.127962,-72.123847
1512.092168,-72.123847,-72.120323
1512.112892,-72.120323,-72.117675
1512.134623,-72.117675,-72.116192
1512.156234,-72.116192,-72.115313
1512.177834,-72.115313,-72.114748
1512.198569,-72.114748,-72.114325
1512.220957,-72.114325,-72.113976
1512.241414,-72.113976,-72.113399
1512.264055,-72.113399,-72.112744
1512.28529,-72.112744,-72.112105
1512.306397,-72.112105,-72.111357
1512.3272,-72.111357,-72.110559
1512.347374,-72.110559,-72.109714
1512.367596,-72.109714,-72.108081
1512.388551,-72.108081,-72.105931
1512.40998,-72.105931,-72.103801
1512.431105,-72.103801,-72.101478
1512.452037,-72.101478,-72.099042
1512.472554,-72.099042,-72.096695
1512.493133,-72.096695,-72.094316
1512.513726,-72.094316,-72.091946
1512.534301,-72.091946,-72.089702
1512.554976,-72.089702,-72.087759
1512.576132,-72.087759,-72.085798
