file_N:17,train,seed:None,percent:5136,integrated,n:2,N:2
t,V,V'
1055.449493,-83.989585,-83.970558
1055.470262,-83.970558,-83.952333
1055.491138,-83.952333,-83.934922
1055.512236,-83.934922,-83.918357
1055.533551,-83.918357,-83.902435
1055.555105,-83.902435,-83.886459
1055.576743,-83.886459,-83.870205
1055.598316,-83.870205,-83.853426
1055.619753,-83.853426,-83.836783
1055.641121,-83.836783,-83.8207
1055.662604,-83.8207,-83.805037
1055.684236,-83.805037,-83.790752
1055.704289,-83.790752,-83.776518
1055.724363,-83.776518,-83.762582
1055.744494,-83.762582,-83.749044
1055.764739,-83.749044,-83.735965
1055.785128,-83.735965,-83.723313
1055.805688,-83.723313,-83.71074
1055.826331,-83.71074,-83.698116
1055.846982,-83.698116,-83.685277
1055.867577,-83.685277,-83.672274
1055.888089,-83.672274,-83.659447
1055.908594,-83.659447,-83.647159
1055.929235,-83.647159,-83.635416
1055.950096,-83.635416,-83.623961
1055.971122,-83.623961,-83.612683
1055.992239,-83.612683,-83.601464
1056.013413,-83.601464,-83.590203
1056.034581,-83.590203,-83.57894
1056.055732,-83.57894,-83.56805
1056.076957,-83.56805,-83.557466
1056.09835,-83.557466,-83.54699
1056.119822,-83.54699,-83.53694
1056.141417,-83.53694,-83.528263
1056.16144,-83.528263,-83.520285
1056.181782,-83.520285,-83.513223
1056.202626,-83.513223,-83.506725
1056.224,-83.506725,-83.500153
1056.24555,-83.500153,-83.493225
1056.266923,-83.493225,-83.486114
1056.288084,-83.486114,-83.479072
1056.30923,-83.479072,-83.471934
1056.330367,-83.471934,-83.464848
1056.351445,-83.464848,-83.457926
1056.372643,-83.457926,-83.451165
1056.39392,-83.451165,-83.44464
1056.415355,-83.44464,-83.438504
1056.437018,-83.438504,-83.432597
1056.458964,-83.432597,-83.426531
1056.480919,-83.426531,-83.420477
1056.502783,-83.420477,-83.415216
1056.522803,-83.415216,-83.409966
1056.542885,-83.409966,-83.405138
1056.563178,-83.405138,-83.400593
1056.583847,-83.400593,-83.395828
1056.604542,-83.395828,-83.390791
1056.624963,-83.390791,-83.385822
1056.645291,-83.385822,-83.381187
1056.665776,-83.381187,-83.377176
1056.686799,-83.377176,-83.373814
1056.708541,-83.373814,-83.371504
1056.729172,-83.371504,-83.369659
1056.750977,-83.369659,-83.368307
1056.771291,-83.368307,-83.36724
1056.792553,-83.36724,-83.366141
1056.814658,-83.366141,-83.364689
1056.83587,-83.364689,-83.36285
1056.855898,-83.36285,-83.360677
1056.877614,-83.360677,-83.35864
1056.899357,-83.35864,-83.356947
1056.921686,-83.356947,-83.355899
1056.942614,-83.355899,-83.355703
1056.964103,-83.355703,-83.355809
1056.984262,-83.355809,-83.355427
1057.007461,-83.355427,-83.354923
1057.029841,-83.354923,-83.354642
1057.052744,-83.354642,-83.354587
1057.073231,-83.354587,-83.355203
1057.095418,-83.355203,-83.35682
1057.116981,-83.35682,-83.359092
1057.138999,-83.359092,-83.361906
1057.159894,-83.361906,-83.364684
1057.180244,-83.364684,-83.366965
1057.20115,-83.366965,-83.36936
1057.222392,-83.36936,-83.37172
1057.243668,-83.37172,-83.374542
1057.264412,-83.374542,-83.377434
1057.284776,-83.377434,-83.380655
1057.304834,-83.380655,-83.384659
1057.326491,-83.384659,-83.388832
1057.347829,-83.388832,-83.393491
1057.368812,-83.393491,-83.398826
1057.389172,-83.398826,-83.405536
1057.410917,-83.405536,-83.412794
1057.432054,-83.412794,-83.419984
1057.453068,-83.419984,-83.426917
1057.474187,-83.426917,-83.433715
1057.495467,-83.433715,-83.440733
1057.516718,-83.440733,-83.448033
1057.537791,-83.448033,-83.455901
1057.558609,-83.455901,-83.464668
1057.578973,-83.464668,-83.474739
1057.600778,-83.474739,-83.485426
1057.622323,-83.485426,-83.497067
1057.643489,-83.497067,-83.509337
