file_N:25,train,seed:None,percent:5275,measured,n:1,N:4
t,I,V,V'
0.0,-0.03953,-60.37058,-60.38097
0.01,-0.03968,-60.38097,-60.39121
0.02,-0.03993,-60.39121,-60.37949
0.03,-0.04027,-60.37949,-60.36342
0.04,-0.04062,-60.36342,-60.37542
0.05,-0.04117,-60.37542,-60.39297
0.06,-0.04177,-60.39297,-60.3946
0.07,-0.04209,-60.3946,-60.39309
0.08,-0.04236,-60.39309,-60.38602
0.09,-0.04229,-60.38602,-60.37787
0.1,-0.04215,-60.37787,-60.37992
0.11,-0.04206,-60.37992,-60.384
0.12,-0.04197,-60.384,-60.37114
0.13,-0.04132,-60.37114,-60.35492
0.14,-0.04055,-60.35492,-60.34791
0.15,-0.04003,-60.34791,-60.34273
0.16,-0.03956,-60.34273,-60.34245
0.17,-0.03925,-60.34245,-60.34314
0.18,-0.03897,-60.34314,-60.34428
0.19,-0.03879,-60.34428,-60.3455
0.2,-0.03862,-60.3455,-60.36446
0.21,-0.0387,-60.36446,-60.38694
0.22,-0.03884,-60.38694,-60.39546
0.23,-0.03922,-60.39546,-60.40123
0.24,-0.03965,-60.40123,-60.39613
0.25,-0.04024,-60.39613,-60.38888
0.26,-0.04085,-60.38888,-60.37526
0.27,-0.04155,-60.37526,-60.36039
0.28,-0.04225,-60.36039,-60.34581
0.29,-0.04279,-60.34581,-60.33129
0.3,-0.04329,-60.33129,-60.33176
0.31,-0.04373,-60.33176,-60.33519
0.32,-0.04415,-60.33519,-60.33914
0.33,-0.04387,-60.33914,-60.34318
0.34,-0.04345,-60.34318,-60.34151
0.35000000000000003,-0.04281,-60.34151,-60.3387
0.36,-0.04213,-60.3387,-60.34747
0.37,-0.04149,-60.34747,-60.35854
0.38,-0.04086,-60.35854,-60.38056
0.39,-0.04038,-60.38056,-60.40475
0.4,-0.03992,-60.40475,-60.40754
0.41000000000000003,-0.03952,-60.40754,-60.40609
0.42,-0.03913,-60.40609,-60.406
0.43,-0.03921,-60.406,-60.40618
0.44,-0.03939,-60.40618,-60.40673
0.45,-0.0395,-60.40673,-60.40736
0.46,-0.03961,-60.40736,-60.39347
0.47000000000000003,-0.0395,-60.39347,-60.37669
0.48,-0.03936,-60.37669,-60.36075
0.49,-0.03931,-60.36075,-60.34498
0.5,-0.03928,-60.34498,-60.3214
0.51,-0.0393,-60.3214,-60.29626
0.52,-0.03934,-60.29626,-60.29458
0.53,-0.0395,-60.29458,-60.29755
0.54,-0.03969,-60.29755,-60.30824
0.55,-0.0398,-60.30824,-60.32046
0.56,-0.03988,-60.32046,-60.32294
0.5700000000000001,-0.03991,-60.32294,-60.32348
0.58,-0.03992,-60.32348,-60.32776
0.59,-0.04027,-60.32776,-60.33278
0.6,-0.04069,-60.33278,-60.32685
0.61,-0.0406,-60.32685,-60.31874
0.62,-0.04042,-60.31874,-60.30999
0.63,-0.04036,-60.30999,-60.3011
0.64,-0.04032,-60.3011,-60.3025
0.65,-0.04047,-60.3025,-60.30593
