t,v1,v2,i
0.0,0.37926545,0.058339,-0.08167691
0.25006938662225925,0.440276020612402,0.10022755906185961,-0.058342435112581734
0.5001387732445185,0.5131321643977028,0.13726088701300942,-0.02646163160346464
0.7502081598667778,0.5989948385011052,0.16893770574334965,0.012302032904978064
1.000277546489037,0.6988887958101648,0.1955398734924922,0.056332266854114174
1.2503469331112962,0.8130038043163099,0.21871093761504204,0.10429884951829471
1.5004163197335556,0.9380050260594501,0.24360104159174004,0.15570266899632706
1.7504857063558148,1.0616672927338024,0.2826183824383425,0.21221022908315668
2.000555092978074,1.1710160475157672,0.34507163940714536,0.27846150235534894
2.2506244796003334,1.270288280590638,0.42086583047636406,0.35883997686851987
2.5006938662225924,1.364581099031897,0.49984122257320296,0.4543639779942071
2.750763252844852,1.4541911700987875,0.5771191783432109,0.5643153041060015
3.000832639467111,1.5407152279952807,0.6464261779854038,0.6873924688632127
3.25090202608937,1.6079243850141187,0.72001205577349,0.8208120623467764
3.5009714127116296,1.6791280275255074,0.7693059482182887,0.963269175680791
3.7510407993338886,1.7342397546477097,0.8108237420466133,1.1110352919417423
4.001110185956148,1.7715559907442104,0.8424915065193476,1.260834957446412
4.251179572578407,1.7950957108290162,0.8568179468920367,1.409343790989591
4.501248959200667,1.7982095548320685,0.8579035284448674,1.5526195331384351
4.751318345822925,1.788740697287366,0.8357163474952236,1.6870707196967545
5.001387732445185,1.7466117386287137,0.8096651865548089,1.80817596188002
5.251457119067444,1.678404398601602,0.7725656043025565,1.912568433056028
5.501526505689704,1.636317464275932,0.6719149414149244,1.997907313955976
5.751595892311963,1.540301523736837,0.5912390151039882,2.0585548404952334
6.001665278934222,1.4621064422051433,0.45975075607142635,2.0937998951286976
6.251734665556481,1.3255126258806311,0.3587382676063966,2.099414637966826
6.50180405217874,1.18223742522184,0.24036694263830743,2.0744891288111056
6.751873438801,1.0397087609562916,0.10213956773213995,2.0185534613565217
7.001942825423259,0.8886753659953532,-0.0402584443915485,1.9309119105318413
7.252012212045519,0.7349605452290451,-0.18606003268461527,1.8122608283036217
7.502081598667777,0.578751685788155,-0.3282439805048679,1.6639045746787553
7.7521509852900365,0.42657421964006376,-0.4661395927221968,1.4883410793928489
8.002220371912296,0.275618600807796,-0.5892688297525099,1.2882835683498424
8.252289758534555,0.14352180034870415,-0.7094157204892944,1.0694244892243918
8.502359145156815,0.010633037761965725,-0.798985847512244,0.8344709471691768
8.752428531779074,-0.10879689092706196,-0.8683229471490199,0.5910600804313875
9.002497918401334,-0.22202705416197818,-0.9067082593385084,0.3457944139582707
