N,a,p,iss,reg,in_connectivity,rc_connectivity,load_time,init_time,states_time,train_time,test_time,mae,mse,rmse,nrmse,r2,max_err,iter_time
1500,0.94,1.06,1.04,0.0004,1.0,0.003,0.06300000008195639,1.421000000089407,48.20399999991059,1.6559999999590218,13.812000000150874,0.23080578620315526,0.18357734656868827,0.42845927060654,0.5370499322159767,0.7115773988205396,4.369129563660656,65.15600000019185
1500,0.88,1.06,1.2,0.0004,1.0,0.003,0.06300000008195639,1.577999999979511,60.375,1.797000000020489,17.890000000130385,0.21182596046739652,0.19563123521768044,0.44230219897450257,0.5544012751596377,0.6926392564873347,4.500501253877609,81.70300000021234
1500,0.88,0.9,0.88,0.0004,1.0,0.003,0.06200000015087426,1.577999999979511,62.062999999849126,1.75,16.82799999997951,0.24831757062957915,0.20537824547676983,0.4531867666611304,0.5680444770677877,0.6773255039726823,4.498048759308288,82.28099999995902
1500,1.0,1.06,0.88,0.0004,1.0,0.003,0.06199999991804361,1.4690000000409782,49.76600000006147,1.6869999999180436,14.952999999979511,0.22845845849403562,0.20622984440946643,0.4541253619976167,0.5692209542650826,0.67598753725772,4.410927531294876,67.93699999991804
1500,1.0,1.22,1.2,0.0004,1.0,0.003,0.06300000008195639,1.5,50.311999999918044,1.6560000001918525,15.078999999910593,0.26037040956593094,0.22027022005454103,0.4693295431299217,0.5882785520501524,0.6539283794107362,4.55940076724772,68.61000000010245
1500,1.0,0.98,1.2,0.0004,1.0,0.003,0.06299999984912574,1.4370000001508743,50.82899999991059,1.718000000109896,15.343999999808148,0.2728228131228603,0.2347898275390284,0.48455116090979333,0.6073580057058642,0.6311162893731798,4.432150819278,69.39099999982864
1500,0.88,1.3,1.2,0.0004,1.0,0.003,0.06299999984912574,1.5,55.85900000017136,1.7189999998081475,16.04700000002049,0.2496250208439285,0.2476229656973615,0.49761728838271035,0.6237356718110267,0.6109538501719088,4.813623792545798,75.18799999984913
1500,0.94,1.06,1.2,0.0004,1.0,0.003,0.06299999984912574,1.422000000020489,47.686999999918044,1.625,13.578000000212342,0.2617938568540444,0.2573132721141848,0.507260556434447,0.6358229734726158,0.5957291863710272,4.6674183619793315,64.375
1500,1.0,1.06,1.04,0.0004,1.0,0.003,0.07800000021234155,1.4219999997876585,49.985000000102445,1.6869999999180436,14.875,0.2629143792858619,0.2654979368931386,0.515264919136883,0.6458559981769008,0.5828700708567691,4.586842966369209,68.04700000002049
1500,1.0,0.98,1.04,0.0004,1.0,0.003,0.06200000015087426,1.5469999997876585,51.15600000019185,1.7189999998081475,15.031000000191852,0.2753108797389737,0.2675545535945785,0.517256757901314,0.648352657595446,0.5796388729462116,5.085781380033944,69.51500000013039
1500,0.76,0.98,1.2,0.0004,1.0,0.003,0.06199999991804361,1.547000000020489,60.01600000006147,1.75,17.515000000130385,0.2340740623686487,0.2737045901064495,0.523167841238784,0.6557618727145804,0.5699764088063959,4.7853685364266445,80.89000000013039
1500,1.0,1.14,1.04,0.0004,1.0,0.003,0.06300000008195639,1.468000000109896,50.031999999890104,1.672000000020489,15.077999999979511,0.28098017076302756,0.28300658069794277,0.5319836282235975,0.6668119727530794,0.555361836950486,4.604602400183647,68.31300000008196
1500,0.94,0.98,1.04,0.0004,1.0,0.003,0.0470000000204891,1.422000000020489,47.0,1.625,13.891000000061467,0.2999333112283553,0.2854846145075907,0.5343076028914343,0.6697249461054042,0.5514685409063476,4.596411852665268,63.985000000102445
1500,0.7,1.06,1.2,0.0004,1.0,0.003,0.06199999991804361,1.5940000000409782,57.17200000002049,1.718000000109896,16.984999999869615,0.30811952592038994,0.3314919463091531,0.575753372816133,0.7216749200135162,0.4791853613117013,4.81691334823194,77.5460000000894
1500,0.82,1.06,1.04,0.0004,1.0,0.003,0.06299999984912574,1.5620000001508743,60.39099999982864,1.8130000000819564,18.843000000109896,0.2908060602192951,0.33268956506723196,0.5767924800716736,0.7229773833266876,0.47730375487232946,4.756526612775711,82.67200000002049
1500,0.82,0.9,0.72,0.0004,1.0,0.003,0.06299999984912574,1.5150000001303852,61.76599999982864,1.875,19.42200000002049,0.3229461642966699,0.34704230878057934,0.5891029695906984,0.7384078991663344,0.4547538283523006,4.765150098392675,84.64099999982864
